"","year","name","franchise","price","buyer","details","current_pic_url"
"137",1974,"Jazz","New Orleans Jazz",6.15,"9-man group headed by Fred Rosenfield","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/5/53/Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg/400px-Utah_Jazz_logo%2C_%282010_%27new_look%27%29.svg.png"
"38",1976,"Nuggets","Denver Nuggets",1,"local group including Carl Scheer","Entering Price When ABa Disbands","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"64",1976,"Pacers","Indiana Pacers",3.2,"Tom Binford & five others","Entering Price When ABA Disbands","http://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/200px-Indiana_Pacers.svg.png"
"108",1976,"Sixers","Philadelphia 76ers",8,"Fitz Dixon","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Philadelphia_76ers_Logo.svg/495px-Philadelphia_76ers_Logo.svg.png"
"126",1976,"Spurs","San Antonio Spurs",3.2,"36 San Antonio businessmen, led by Angelo Drossos, John Schaefer & Red McCombs","Entering Price When ABa Disbands","http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png"
"39",1978,"Nuggets","Denver Nuggets",2,"Red McCombs","Bought Team","http://upload.wikimedia.org/wikipedia/en/thumb/7/76/Denver_Nuggets.svg/400px-Denver_Nuggets.svg.png"
"75",1979,"Lakers","Los Angeles Lakers",20,"Jerry Buss","Total Deal Was 67.5M but Incl. La Kings, the Forum, Nv Real Estate","http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/LosAngeles_Lakers_logo.svg/400px-LosAngeles_Lakers_logo.svg.png"
"29",1980,"Cavaliers","Cleveland Cavaliers",2,"Ted Stepien","Bought 37% and Soon Became the Majority Shareholder [82%]","http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png"
"35",1980,"Mavericks","Dallas Mavericks",12,"Donald Carter & Norm Sonju","Expansion Fee","http://upload.wikimedia.org/wikipedia/en/thumb/9/97/Dallas_Mavericks_logo.svg/400px-Dallas_Mavericks_logo.svg.png"
"70",1981,"Clippers","Los Angeles Clippers",13,"Donald Sterling","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/6/66/Los_Angeles_Clippers_logo.svg/400px-Los_Angeles_Clippers_logo.svg.png"
"105",1981,"Sixers","Philadelphia 76ers",12,"Harold Katz","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Philadelphia_76ers_Logo.svg/495px-Philadelphia_76ers_Logo.svg.png"
"57",1982,"Rockets","Houston Rockets",9.8,"Charlie Thomas","Bought Team","http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/400px-Houston_Rockets.svg.png"
"17",1983,"Celtics","Boston Celtics",17,"Don Gaston, Alan N. Cohen, Paul Dupee","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/400px-Boston_Celtics.svg.png"
"30",1983,"Cavaliers","Cleveland Cavaliers",20,"George & Gordon Gund","Purchased the Franchise","http://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Cleveland_Cavaliers_2010.svg/400px-Cleveland_Cavaliers_2010.svg.png"
"63",1983,"Pacers","Indiana Pacers",11,"Herb Simon","Purchased Team","http://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Indiana_Pacers.svg/200px-Indiana_Pacers.svg.png"
