"year","volume","transactions","value_min","value_mean","value_max","value_cumulative","share_historic_volume","detail","league"
1934,0.052,2,0.022,0.026,0.03,0.225651,23.0444358766414,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1934 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.052<br /><strong>Transactions:</strong> 2<br /><strong>Mean Valuation (m):</strong> $0.026<br /><strong>Minimum Valuation (m):</strong> $0.03<br /><strong>Maximum Valuation (m):</strong> $0.022<br /><strong>Cumulative Sales Volume (m):</strong> $0.226</span></span></td></tr></tbody></table></html>","NFL"
1935,0.0025,1,0.0025,0.0025,0.0025,0.228151,1.09576552371017,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1935 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.0025<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.0025<br /><strong>Minimum Valuation (m):</strong> $0.0025<br /><strong>Maximum Valuation (m):</strong> $0.0025<br /><strong>Cumulative Sales Volume (m):</strong> $0.228</span></span></td></tr></tbody></table></html>","NFL"
1936,0.004,1,0.004,0.004,0.004,0.232151,1.72301648496022,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1936 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.004<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.004<br /><strong>Minimum Valuation (m):</strong> $0.004<br /><strong>Maximum Valuation (m):</strong> $0.004<br /><strong>Cumulative Sales Volume (m):</strong> $0.232</span></span></td></tr></tbody></table></html>","NFL"
1937,0.01,1,0.01,0.01,0.01,0.242151,4.12965463698271,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1937 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.01<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.01<br /><strong>Minimum Valuation (m):</strong> $0.01<br /><strong>Maximum Valuation (m):</strong> $0.01<br /><strong>Cumulative Sales Volume (m):</strong> $0.242</span></span></td></tr></tbody></table></html>","NFL"
1940,0.39,2,0.165,0.195,0.225,0.632151,61.6941205503116,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1940 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.39<br /><strong>Transactions:</strong> 2<br /><strong>Mean Valuation (m):</strong> $0.195<br /><strong>Minimum Valuation (m):</strong> $0.225<br /><strong>Maximum Valuation (m):</strong> $0.165<br /><strong>Cumulative Sales Volume (m):</strong> $0.632</span></span></td></tr></tbody></table></html>","NFL"
1941,0.29,2,0.125,0.145,0.165,0.922151,31.4482118438303,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1941 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.29<br /><strong>Transactions:</strong> 2<br /><strong>Mean Valuation (m):</strong> $0.145<br /><strong>Minimum Valuation (m):</strong> $0.165<br /><strong>Maximum Valuation (m):</strong> $0.125<br /><strong>Cumulative Sales Volume (m):</strong> $0.922</span></span></td></tr></tbody></table></html>","NFL"
1946,0.003,1,0.003,0.003,0.003,0.003,100,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1946 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://www.scuygo.com/images/nba.png width='200' heigh='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.003<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.003<br /><strong>Minimum Valuation (m):</strong> $0.003<br /><strong>Maximum Valuation (m):</strong> $0.003<br /><strong>Cumulative Sales Volume (m):</strong> $0.003</span></span></td></tr></tbody></table></html>","NBA"
1947,0.000004,1,0.000004,0.000004,0.000004,0.922155,0.000433766557682819,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1947 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.000004<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.000004<br /><strong>Minimum Valuation (m):</strong> $0.000004<br /><strong>Maximum Valuation (m):</strong> $0.000004<br /><strong>Cumulative Sales Volume (m):</strong> $0.922</span></span></td></tr></tbody></table></html>","NFL"
1947,0.015,1,0.015,0.015,0.015,0.018,83.3333333333333,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1947 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://www.scuygo.com/images/nba.png width='200' heigh='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.015<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.015<br /><strong>Minimum Valuation (m):</strong> $0.015<br /><strong>Maximum Valuation (m):</strong> $0.015<br /><strong>Cumulative Sales Volume (m):</strong> $0.018</span></span></td></tr></tbody></table></html>","NBA"
1948,0.185,1,0.185,0.185,0.185,1.107155,16.7094941539351,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1948 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.185<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.185<br /><strong>Minimum Valuation (m):</strong> $0.185<br /><strong>Maximum Valuation (m):</strong> $0.185<br /><strong>Cumulative Sales Volume (m):</strong> $1.11</span></span></td></tr></tbody></table></html>","NFL"
1949,0.25,1,0.25,0.25,0.25,1.357155,18.420887813109,"<html><table border='2' cellpadding='1' style='line-height:1.1'><tbody><tr><th colspan='15'><span style='font-family:times new roman,times,serif;'><span style='font-size:14px;'>1949 NBA Franchise Sale Analysis</span></span></th></tr><tr><td style='text-align: center;'><img src=http://img3.wikia.nocookie.net/__cb20140711021414/looneytunes/images/4/49/NFL-logo.png width='200' width='200'/></span></td><td style='text-align: center;'><span style='font-family:times new roman,times,serif;'><span style='font-size:10px;'><strong>Transaction Volume (m):</strong> $0.25<br /><strong>Transactions:</strong> 1<br /><strong>Mean Valuation (m):</strong> $0.25<br /><strong>Minimum Valuation (m):</strong> $0.25<br /><strong>Maximum Valuation (m):</strong> $0.25<br /><strong>Cumulative Sales Volume (m):</strong> $1.36</span></span></td></tr></tbody></table></html>","NFL"
