player,agency,agent,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Josh Harrellson,United Sports and Entertainment Group,Merle Scott,"$884,293 ","$948,163 ",$0 ,$0 ,$0 
Josh McRoberts,BDA Sports Management,Mike Conley,"$2,652,000 ","$2,771,340 ",$0 ,$0 ,$0 
Josh Smith,Perennial,Wallace Prather,"$14,000,000 ","$14,000,000 ","$14,000,000 ","$14,000,000 ",$0 
Jrue Holiday,"Dutt Sports Services, Inc",Tony Dutt,"$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 ",$0 
Kawhi Leonard,Impact Sports Basketball,Brian Elfus,"$1,991,760 ","$3,053,368 ","$4,268,608 ",$0 ,$0 
Kelly Olynyk,Wasserman Media Group,Arn Tellem,"$1,986,360 ","$2,075,760 ","$2,165,160 ","$3,094,013 ","$4,279,020 "
Kemba Walker,Excel Sports Management,Jeff Schwartz,"$2,709,720 ","$3,452,183 ","$4,677,708 ",$0 ,$0 
Kendall Marshall,Octagon Athlete Representation,Jeff Austin,"$2,005,560 ","$2,091,840 ","$2,989,239 ","$4,134,117 ",$0 
Kendrick Perkins,Wasserman Media Group,Arn Tellem,"$8,477,437 ","$9,154,342 ",$0 ,$0 ,$0 
Kenneth Faried,Wasserman Media Group,Arn Tellem,"$1,442,880 ","$2,373,537 ","$3,436,881 ",$0 ,$0 
Kent Bazemore,Walton Sports,Austin Walton,"$762,195 ",$0 ,$0 ,$0 ,$0 
Kentavious Caldwell-Pope,Wasserman Media Group,Thaddeus Foucher,"$2,653,080 ","$2,772,480 ","$2,891,760 ","$3,678,319 ","$4,958,374 "
Kenyon Martin,ASM Sports,Andy Miller,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Kevin Durant,Roc Nation Sports,Juan Perez,"$18,773,176 ","$19,997,513 ","$21,221,850 ",$0 ,$0 
Kevin Garnett,ASM Sports,Andy Miller,"$11,532,468 ","$12,000,000 ",$0 ,$0 ,$0 
Kevin Love,Excel Sports Management,Jeff Schwartz,"$14,693,906 ","$15,719,063 ","$16,744,219 ",$0 ,$0 
Kevin Martin,Relativity Sports,Dan Fegan,"$6,500,000 ","$6,792,500 ","$7,085,000 ","$7,377,500 ",$0 
Kevin Seraphin,Klutch Sports Management,Rich Paul,"$2,761,113 ","$3,898,691 ",$0 ,$0 ,$0 
Khris Middleton,Excel Sports Management,Michael Lindeman,"$788,872 ","$915,243 ","$1,181,348 ",$0 ,$0 
Kirk Hinrich,Octagon Athlete Representation,Jeff Austin,"$4,059,000 ",$0 ,$0 ,$0 ,$0 
Klay Thompson,BDA Sports Management,Bill Duffy,"$3,245,151 ","$4,469,547 ","$6,118,809 ",$0 ,$0 
Kobe Bryant,Landmark Sports Agency,Rob Pelinka,"$30,453,000 ",$0 ,$0 ,$0 ,$0 
Kosta Koufos,Mark Termini Associates,Mark Termini,"$3,000,000 ","$3,000,000 ",$0 ,$0 ,$0 
Kris Humphries,Wasserman Media Group,Arn Tellem,"$12,000,000 ",$0 ,$0 ,$0 ,$0 
Kris Joseph,CGL Sports,Chris Grier Luchey,"$788,872 ",$0 ,$0 ,$0 ,$0 
Kwame Brown,Priority Sports & Entertainment,Mark Bartelstein,"$3,000,000 ",$0 ,$0 ,$0 ,$0 
Kyle Korver,Excel Sports Management,Jeff Schwartz,"$6,760,563 ","$6,253,521 ","$5,746,479 ","$5,239,437 ",$0 
Kyle Lowry,ASM Sports,Andy Miller,"$6,210,000 ",$0 ,$0 ,$0 ,$0 
Kyle Singler,Wasserman Media Group,Arn Tellem,"$1,045,000 ","$1,090,000 ",$0 ,$0 ,$0 
Kyrie Irving,24/7 Sports Management,Jeff Wechsler,"$5,915,880 ","$7,459,924 ","$9,697,901 ",$0 ,$0 
LaMarcus Aldridge,Wasserman Media Group,Arn Tellem,"$14,100,000 ","$15,200,000 ",$0 ,$0 ,$0 
Lance Thomas,540 Sports and Entertainment LLC,John Spencer,"$884,293 ","$948,143 ",$0 ,$0 ,$0 
Landry Fields,Octagon Athlete Representation,Chris Emens,"$5,225,000 ","$8,500,000 ",$0 ,$0 ,$0 
Larry Sanders,Relativity Sports,Dan Fegan,"$3,053,368 ","$11,000,000 ","$11,000,000 ","$11,000,000 ","$11,000,000 "
Lavoy Allen,ASM Sports,Andy Miller,"$3,120,000 ",$0 ,$0 ,$0 ,$0 
LeBron James,Klutch Sports Management,Rich Paul,"$19,067,500 ","$20,590,000 ","$22,112,500 ",$0 ,$0 
Linas Kleiza,BDA Sports Management,Rade Filipovich,"$4,600,000*",$0 ,$0 ,$0 ,$0 
Louis Amundson,Priority Sports & Entertainment,Mark Bartelstein,TBD,TBD,TBD,TBD,TBD
Louis Williams,Creative Artists Agency,Leon Rose,"$5,225,000 ","$5,450,000 ",$0 ,$0 ,$0 
Luc Mbah a Moute,Excel Sports Management,Jeff Schwartz,"$4,588,384 ","$4,382,576 ",$0 ,$0 ,$0 
Luis Scola,AAI Sports,George Bass,"$5,724,622*","$6,541,037*",$0 ,$0 ,$0 
Luis Scola,AAI Sports,George Bass,"$4,500,000 ","$4,500,000 ",$0 ,$0 ,$0 
Luke Ridnour,Williams & Connolly,Jim Tanner,"$4,320,000 ",$0 ,$0 ,$0 ,$0 
Luol Deng,Interperformances,Herb Rudoy,"$14,312,125 ",$0 ,$0 ,$0 ,$0 
Maalik Wayns,ASM Sports,Andy Miller,"$788,872 ","$1,115,243 ",$0 ,$0 ,$0 
Malcolm Lee,Impact Sports Basketball,Mitch Frankel,"$854,389 ",$0 ,$0 ,$0 ,$0 
Manu Ginobili,Interperformances,Herb Rudoy,"$7,000,000 ","$7,000,000 ",$0 ,$0 ,$0 
Marc Gasol,Wasserman Media Group,Arn Tellem,"$14,860,523 ","$15,829,688 ",$0 ,$0 ,$0 
Marcin Gortat,Zucker International,Guy Zucker,"$7,727,280 ",$0 ,$0 ,$0 ,$0 
Marco Belinelli,Excel Sports Management,Jeff Schwartz,"$2,750,000 ","$2,873,750 ",$0 ,$0 ,$0 
Marcus Morris,"Dutt Sports Services, Inc",Tony Dutt,"$2,096,760 ","$3,105,301 ","$4,319,473 ",$0 ,$0 
Marcus Thornton,"Dutt Sports Services, Inc",Tony Dutt,"$8,165,000 ","$8,697,500 ",$0 ,$0 ,$0 
Mario Chalmers,Excel Sports Management,Jeff Schwartz,"$4,000,000 ",$0 ,$0 ,$0 ,$0 
Markieff Morris,"Dutt Sports Services, Inc",Tony Dutt,"$2,207,040 ","$3,153,860 ","$4,361,788 ",$0 ,$0 
Marquis Teague,ASM Sports,Andy Miller,"$1,074,720 ","$1,120,920 ","$2,023,260 ","$3,034,890 ",$0 
Marreese Speights,ASM Sports,Andy Miller,"$3,500,000 ","$3,657,500 ","$3,815,500 ",$0 ,$0 
Marshon Brooks,Verus Management Team,Seth Cohen,"$1,276,560 ","$2,299,084 ","$3,377,354 ",$0 ,$0 
Martell Webster,Relativity Sports,Dan Fegan,TBD,TBD,TBD,TBD,TBD
Marvin Williams,Williams & Connolly,Jim Tanner,"$7,500,000 ",$0 ,$0 ,$0 ,$0 
Mason Plumlee,Priority Sports & Entertainment,Mark Bartelstein,"$1,298,640 ","$1,357,080 ","$1,415,520 ","$2,328,530 ","$3,371,711 "
Matt Barnes,Goodwin Management Group,Aaron Goodwin,TBD,TBD,TBD,TBD,TBD
Matt Bonner,Championship Sports,Kenny Grant,"$3,945,000 ",$0 ,$0 ,$0 ,$0 
Maurice Williams,Priority Sports & Entertainment,Mark Bartelstein,"$2,652,000 ","$2,771,340 ",$0 ,$0 ,$0 
Metta World Peace,Pinnacle Management Corporation,Marc Cornstein,"$7,727,280*",$0 ,$0 ,$0 ,$0 
Metta World Peace,Pinnacle Management Corporation,Marc Cornstein,"$1,590,000 ","$1,661,550 ",,,
Meyers Leonard,Excel Sports Management,Jeff Schwartz,"$2,222,160 ","$2,317,920 ","$3,075,879 ","$4,210,878 ",$0 
Michael Beasley,Excel Sports Management,Jeff Schwartz,"$6,000,000*","$6,250,000*",$0 ,$0 ,$0 
Michael Beasley,Excel Sports Management,Jeff Schwartz,"$1,027,000 ",,,,
Michael Carter-Williams,Excel Sports Management,Jeff Schwartz,"$2,200,920 ","$2,300,040 ","$2,399,040 ","$3,183,526 ","$4,358,247 "
Michael Kidd-Gilchrist,Creative Artists Agency,Leon Rose,"$4,809,840 ","$5,016,960 ","$6,331,403 ","$8,262,481 ",$0 
Mike Conley,BDA Sports Management,Mike Conley,"$7,900,000 ","$8,760,000 ","$9,680,000 ",$0 ,$0 
Mike Dunleavy,Wasserman Media Group,Arn Tellem,"$3,000,000 ","$3,000,000 ",$0 ,$0 ,$0 
Mike James,Lee Basketball Services LTD,Bernie Lee,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Mike Miller,Wasserman Media Group,Arn Tellem,"$6,200,000*","$6,600,000*",$0 ,$0 ,$0 
Mike Miller,Wasserman Media Group,Arn Tellem,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Mike Scott,Creative Artists Agency,Aaron Mintz,"$788,872 ",$0 ,$0 ,$0 ,$0 
Miles Plumlee,Priority Sports & Entertainment,Mark Bartelstein,"$1,121,520 ","$1,169,880 ","$2,109,293 ","$3,113,316 ",$0 
Mirza Teletovic,Excel Sports Management,Jeff Schwartz,"$3,229,050 ","$3,368,100 ",$0 ,$0 ,$0 
Moe Harkless,Relativity Sports,Dan Fegan,"$1,809,840 ","$1,887,840 ","$2,894,058 ","$4,045,893 ",$0 
Monta Ellis,Relativity Sports,Happy Walters,"$8,360,000 ","$8,720,000 ","$9,080,000 ",$0 ,$0 
Nando De Colo,Creative Artists Agency,Steve Heumann,"$1,463,000 ",$0 ,$0 ,$0 ,$0 
Nate Robinson,Goodwin Management Group,Aaron Goodwin,TBD,TBD,TBD,TBD,TBD
Nate Wolters,Allegiant Athletic Agency,Jared Karnes,TBD,TBD,TBD,TBD,TBD
Nazr Mohammed,Excel Sports Management,Mike Higgins,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Nemanja Nedovic,Excel Sports Management,Jeff Schwartz,"$1,056,720 ","$1,104,240 ","$1,151,760 ","$2,078,927 ","$3,118,390 "
Nene,Relativity Sports,Dan Fegan,"$13,000,000 ","$13,000,000 ","$13,000,000 ",$0 ,$0 
Nerlens Noel,ASM Sports,Andy Miller,"$3,172,320 ","$3,315,120 ","$3,457,800 ","$4,384,490 ","$5,848,909 "
Nick Calathes,Relativity Sports,Dan Fegan,TBD,TBD,TBD,TBD,TBD
Nick Collison,Excel Sports Management,Mike Higgins,"$2,585,668 ","$2,242,003 ",$0 ,$0 ,$0 
Nick Young,Priority Sports & Entertainment,Mark Bartelstein,"$1,106,942 ","$1,227,985 ",$0 ,$0 ,$0 
Nicolas Batum,Comsport,Bouna Ndiaye,"$10,920,250 ","$11,390,500 ","$11,860,750 ",$0 ,$0 
Nikola Pekovic,Excel Sports Management,Jeff Schwartz,"$12,100,000 ","$12,100,000 ","$12,100,000 ","$12,100,000 ","$11,600,000 "
Nikola Vucevic,BDA Sports Management,Rade Filipovich,"$1,892,280 ","$2,902,757 ","$4,078,373 ",$0 ,$0 
Norris Cole,Bell Management,Joel Bell,"$1,191,240 ","$2,150,188 ","$3,203,780 ",$0 ,$0 
O.J. Mayo,Landmark Sports Agency,Rob Pelinka,"$8,000,000 ","$8,000,000 ","$8,000,000 ",$0 ,$0 
Omer Asik,ASM Sports,Andy Miller,"$5,225,000 ","$14,898,938 ",$0 ,$0 ,$0 
Omri Casspi,Creative Artists Agency,Steve Heumann,"$947,907 ",$0 ,$0 ,$0 ,$0 
Orlando Johnson,BDA Sports Management,Bill Duffy,"$788,872 ","$915,243 ","$1,181,348 ",$0 ,$0 
Otto Porter,FAME,David Falk,"$4,278,000 ","$4,470,480 ","$4,662,960 ","$5,893,981 ","$7,732,904 "
Pablo Prigioni,AAI Sports,George Bass,"$1,591,350 ","$1,662,961 ","$1,734,572 ",$0 ,$0 
Patrick Christopher,Relativity Sports,Chris Patrick,"$490,180 ",$0 ,$0 ,$0 ,$0 
Patrick Mills,Creative Artists Agency,Steve Heumann,"$1,133,950 ",$0 ,$0 ,$0 ,$0 
Patrick Patterson,Excel Sports Management,Sam Goldfeder,"$3,105,301 ","$4,319,473 ",$0 ,$0 ,$0 
Pau Gasol,Wasserman Media Group,Arn Tellem,"$19,285,850 ",$0 ,$0 ,$0 ,$0 
Paul George,Creative Artists Agency,Aaron Mintz,"$3,282,003 ",$0 ,$0 ,$0 ,$0 
Paul Millsap,BDS Sports,DeAngelo Simmons,"$9,500,000 ","$9,500,000 ",$0 ,$0 ,$0 
Paul Pierce,Excel Sports Management,Jeff Schwartz,"$15,333,334 ",$0 ,$0 ,$0 ,$0 
Pero Antic,Excel Sports Management,Michael Lindeman,"$1,200,000 ","$1,250,000 ",$0 ,$0 ,$0 
Perry Jones,BDA Sports Management,Bill Duffy,"$1,082,520 ","$1,129,200 ","$2,038,206 ","$3,036,926 ",$0 
Peyton Siva,ASM Sports,Andy Miller,"$490,180 ","$816,482 ",$0 ,$0 ,$0 
Phil Pressey,Creative Artists Agency,Aaron Mintz,TBD,TBD,TBD,TBD,TBD
Quentin Richardson,24/7 Sports Management,Jeff Wechsler,"$2,808,600 ",$0 ,$0 ,$0 ,$0 
Quincy Acy,Athlete Management,Michael Silverman,"$788,872 ","$915,243 ","$1,181,348 ",$0 ,$0 
Quincy Pondexter,Wasserman Media Group,Arn Tellem,"$2,225,478 ","$3,284,805 ",$0 ,$0 ,$0 
Rajon Rondo,BDA Sports Management,Bill Duffy,"$12,000,000 ","$13,000,000 ",$0 ,$0 ,$0 
Ramon Sessions,Allegiant Athletic Agency,Jared Karnes,"$5,000,000 ",$0 ,$0 ,$0 ,$0 
Randy Foye,Creative Artists Agency,Steve Heumann,TBD,TBD,TBD,TBD,TBD
Rashard Lewis,"Dutt Sports Services, Inc",Tony Dutt,"$1,399,507 ",$0 ,$0 ,$0 ,$0 
Ray Allen,Williams & Connolly,Jim Tanner,"$3,229,050 ",$0 ,$0 ,$0 ,$0 
Ray McCallum,Wasserman Media Group,Thaddeus Foucher,"$524,616 ","$816,482 ","$947,276 ",$0 ,$0 
Raymond Felton,"Dutt Sports Services, Inc",Colin Bryant,"$4,180,000 ","$4,360,000 ","$4,540,000 ",$0 ,$0 
Reggie Bullock,Excel Sports Management,Jeff Schwartz,"$1,149,000 ","$1,200,720 ","$1,252,400 ","$2,255,644 ","$3,313,542 "
Reggie Evans,ASM Sports,Andy Miller,"$1,695,636 ","$1,768,654 ",$0 ,$0 ,$0 
Reggie Jackson,Priority Sports & Entertainment,Mark Bartelstein,"$1,329,720 ","$2,325,680 ","$3,400,144 ",$0 ,$0 
Richard Hamilton,Creative Artists Agency,Leon Rose,"$1,000,000 ",$0 ,$0 ,$0 ,$0 
Richard Howell,ASM Sports,Andy Miller,TBD,TBD,TBD,TBD,TBD
Richard Jefferson,Stratosphere Sports,Todd Eley,"$11,046,000 ",$0 ,$0 ,$0 ,$0 
Ricky Ledo,Verus Management Team,Seth Cohen,"$550,000 ","$816,482 ","$947,276 ","$1,015,696 ",$0 
Ricky Rubio,Relativity Sports,Dan Fegan,"$4,002,120 ","$5,070,686 ","$6,723,729 ",$0 ,$0 
Robert Covington,Relativity Sports,Happy Walters,"$490,180 ","$816,482 ","$947,276 ",$0 ,$0 
Robert Sacre,Edge Sports,Keith Kreiter,"$788,873 ","$915,243 ","$981,358 ",$0 ,$0 
Robin Lopez,Wasserman Media Group,Arn Tellem,"$5,119,761 ","$5,340,229 ",$0 ,$0 ,$0 
Rodney Stuckey,Creative Artists Agency,Leon Rose,"$8,500,000 ",$0 ,$0 ,$0 ,$0 
Rodney Williams,BDA Sports Management,Kevin Bradbury,"$490,180 ",$0 ,$0 ,$0 ,$0 
Roger Mason,ASM Sports,Andy Miller,"$1,272,279 ",$0 ,$0 ,$0 ,$0 
Romero Osby,Relativity Sports,Happy Walters,"$490,180 ",$0 ,$0 ,$0 ,$0 
Ron Howard,Lee Basketball Services LTD,Bernie Lee,"$490,180 ",$0 ,$0 ,$0 ,$0 
Ronnie Brewer,Creative Artists Agency,Henry Thomas,"$1,186,459 ",$0 ,$0 ,$0 ,$0 
Ronnie Price,Excel Sports Management,Mike Higgins,"$1,265,977 ",$0 ,$0 ,$0 ,$0 
Ronny Turiaf,Priority Sports & Entertainment,Mark Bartelstein,"$1,600,000 ","$1,600,000 ",$0 ,$0 ,$0 
Roy Hibbert,FAME,David Falk,"$14,283,844 ","$14,898,938 ","$15,514,031 ",$0 ,$0 
Royce White,ASM Sports,Andy Miller,"$1,719,480 ","$1,793,520 ","$2,751,259 ","$3,865,519 ",$0 
Rudy Gay,Octagon Athlete Representation,Jeff Austin,"$17,888,932 ","$19,317,326 ",$0 ,$0 ,$0 
Rudy Gobert,Comsport,Bouna Ndiaye,"$1,078,800 ","$1,127,400 ","$1,175,880 ","$2,121,287 ","$3,145,868 "
Russell Westbrook,Wasserman Media Group,Arn Tellem,"$14,693,906 ","$15,719,062 ","$16,744,218 ","$17,769,374 ",$0 
Ryan Anderson,Octagon Athlete Representation,Jeff Austin,"$8,308,500 ","$8,491,500 ","$8,500,000 ",$0 ,$0 
Ryan Gomes,Wasserman Media Group,Dan Tobin,"$1,186,459 ",$0 ,$0 ,$0 ,$0 
Ryan Hollins,BDA Sports Management,Todd Ramasar,"$1,186,459 ",$0 ,$0 ,$0 ,$0 
Ryan Kelly,Octagon Athlete Representation,Alex Saratsis,"$490,180 ",$0 ,$0 ,$0 ,$0 
Samuel Dalembert,Pinnacle Management Corporation,Marc Cornstein,TBD,TBD,TBD,TBD,TBD
Scott Machado,Relativity Sports,Dan Fegan,TBD,TBD,TBD,TBD,TBD
Serge Ibaka,ASM Sports,Andy Miller,"$12,250,000 ","$12,250,000 ","$12,250,000 ","$12,250,000 ",$0 
Sergey Karasev,ASM Sports,Andy Miller,"$1,467,840 ","$1,533,840 ","$1,599,840 ","$2,463,753 ","$3,513,312 "
Seth Curry,Octagon Athlete Representation,Alex Saratsis,TBD,TBD,TBD,TBD,TBD
Shabazz Muhammad,BDA Sports Management,Bill Duffy,"$1,887,120 ","$1,971,960 ","$2,056,920 ","$3,046,299 ","$4,237,401 "
Shane Battier,Williams & Connolly,Jim Tanner,"$3,270,000 ",$0 ,$0 ,$0 ,$0 
Shane Larkin,Relativity Sports,Happy Walters,"$1,536,960 ","$1,606,080 ","$1,675,320 ","$2,576,642 ","$3,656,255 "
Shannon Brown,Priority Sports & Entertainment,Mark Bartelstein,"$3,500,000 ",$0 ,$0 ,$0 ,$0 
Shaun Livingston,Creative Artists Agency,Henry Thomas,"$1,265,977 ",$0 ,$0 ,$0 ,$0 
Shawn Marion,Relativity Sports,Dan Fegan,"$9,316,796 ",$0 ,$0 ,$0 ,$0 
Shawne Williams,Relativity Sports,Dan Fegan,"$1,027,424 ",$0 ,$0 ,$0 ,$0 
Shelvin Mack,The Neustadt Group,Doug Neustadt,"$884,293 ","$1,148,163 ",$0 ,$0 ,$0 
Solomon Hill,Octagon Athlete Representation,Chris Emens,"$1,246,680 ","$1,302,840 ","$1,358,880 ","$2,306,019 ","$3,355,258 "
Solomon Jones,Priority Sports & Entertainment,Mark Bartelstein,"$1,186,459 ",$0 ,$0 ,$0 ,$0 
Spencer Hawes,Wasserman Media Group,Arn Tellem,"$6,500,000 ",$0 ,$0 ,$0 ,$0 
Stephen Curry,Octagon Athlete Representation,Jeff Austin,"$9,887,642 ","$10,629,213 ","$11,370,786 ","$12,112,359 ",$0 
Steve Blake,Bell Management,Joel Bell,"$4,000,000 ",$0 ,$0 ,$0 ,$0 
Steve Nash,BDA Sports Management,Bill Duffy,"$9,300,500 ","$9,701,000 ",$0 ,$0 ,$0 
Steve Novak,Priority Sports & Entertainment,Mark Bartelstein,"$3,750,001 ","$3,445,947 ","$3,750,000 ",$0 ,$0 
Steven Adams,Wasserman Media Group,Arn Tellem,"$2,090,880 ","$2,184,960 ","$2,279,040 ","$3,140,517 ","$4,321,352 "
Taj Gibson,Priority Sports & Entertainment,Mark Bartelstein,"$7,550,000 ","$8,000,000 ","$8,500,000 ","$8,950,000 ",$0 
Tayshaun Prince,BDA Sports Management,Bill Duffy,"$7,235,955 ","$7,707,865 ",$0 ,$0 ,$0 
Terrel Harris,Impact Sports Basketball,Brian Elfus,"$884,293 ","$1,148,163 ",$0 ,$0 ,$0 
Terrence Jones,Wasserman Media Group,Arn Tellem,"$1,551,840 ","$1,618,680 ","$2,489,529 ","$3,532,642 ",$0 
Terrence Ross,Creative Artists Agency,Aaron Mintz,"$2,678,640 ","$2,793,960 ","$3,553,917 ","$4,790,680 ",$0 
Thabo Sefolosha,Zucker International,Guy Zucker,"$3,900,000 ",$0 ,$0 ,$0 ,$0 
Thaddeus Young,Williams & Connolly,Jim Tanner,"$8,600,000 ","$9,160,870 ","$9,721,740 ",$0 ,$0 
Thomas Robinson,BDA Sports Management,Bill Duffy,"$3,526,440 ","$3,678,360 ","$4,660,482 ","$6,179,799 ",$0 
Tiago Splitter,Wasserman Media Group,Arn Tellem,"$10,000,000 ","$9,250,000 ","$8,500,000 ","$8,250,000 ",$0 
Tim Duncan,Williams & Connolly,Jim Tanner,"$10,361,446 ","$10,361,446 ",$0 ,$0 ,$0 
Tim Hardaway Jr,Priority Sports & Entertainment,Mark Bartelstein,"$1,196,760 ","$1,250,640 ","$1,304,520 ","$2,281,605 ","$3,335,707 "
Timofey Mozgov,ASM Sports,Andy Miller,"$4,400,000 ","$4,650,000 ","$4,950,000 ",$0 ,$0 
Tobias Harris,Creative Artists Agency,Henry Thomas,"$1,630,800 ","$2,511,432 ","$3,581,302 ",$0 ,$0 
Toney Douglas,FAME,David Falk,"$1,600,000 ",$0 ,$0 ,$0 ,$0 
Tony Allen,IAM Sports,Raymond Brothers,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",$0 
Tony Mitchell,Wasserman Media Group,Arn Tellem,"$490,180 ","$816,482 ","$947,276 ",$0 ,$0 
Tony Parker,Creative Artists Agency,Steve Heumann,"$12,500,000 ","$12,500,000 ",$0 ,$0 ,$0 
Tony Snell,Lagardere Unlimited,Mitchell Butler,"$1,409,040 ","$1,472,400 ","$1,535,880 ","$2,368,327 ","$3,393,813 "
Tony Wroten,Wasserman Media Group,Greg Lawrence,"$1,160,040 ","$1,210,080 ","$2,179,354 ","$3,201,471 ",$0 
Tornike Shengelia,Zucker International,Guy Zucker,"$788,872 ",$0 ,$0 ,$0 ,$0 
Toure Murry,Lee Basketball Services LTD,Bernie Lee,"$490,180 ",$0 ,$0 ,$0 ,$0 
Travis Outlaw,BDA Sports Management,Bill Duffy,"$4,000,000*","$4,000,000*",$0 ,$0 ,$0 
Travis Outlaw,BDA Sports Management,Bill Duffy,"$3,000,000 ","$3,000,000 ",$0 ,$0 ,$0 
Trent Lockett,CGL Sports,Chris Grier Luchey,TBD,TBD,TBD,TBD,TBD
Trevor Ariza,David Lee Services,David Lee,"$7,727,280 ",$0 ,$0 ,$0 ,$0 
Trevor Booker,ASM Sports,Andy Miller,"$2,350,820 ","$3,420,443 ",$0 ,$0 ,$0 
Tristan Thompson,Klutch Sports Management,Rich Paul,"$4,285,560 ","$5,421,233 ","$7,150,606 ",$0 ,$0 
Ty Lawson,Relativity Sports,Happy Walters,"$10,786,517 ","$11,595,506 ","$12,404,495 ","$13,213,482 ",$0 
Tyler Hansbrough,Excel Sports Management,Jeff Schwartz,"$3,183,000 ","$3,326,235 ",$0 ,$0 ,$0 
Tyler Zeller,Excel Sports Management,Jeff Schwartz,"$1,633,440 ","$1,703,760 ","$2,616,975 ","$3,695,168 ",$0 
Tyreke Evans,Wasserman Media Group,Arn Tellem,"$11,796,247 ","$11,265,416 ","$10,734,586 ","$10,203,755 ",$0 
Tyrus Thomas,Performance Sports Management,John Hamilton,"$8,694,215*","$9,388,430*",$0 ,$0 ,$0 
Tyshawn Taylor,Excel Sports Management,Mike Higgins,"$788,872 ",$0 ,$0 ,$0 ,$0 
Tyson Chandler,Excel Sports Management,Jeff Schwartz,"$14,100,538 ","$14,596,888 ",$0 ,$0 ,$0 
Udonis Haslem,Creative Artists Agency,Henry Thomas,"$4,340,000 ","$4,620,000 ",$0 ,$0 ,$0 
Vander Blue,Wasserman Media Group,Makhtar Ndiaye,"$490,180 ",$0 ,$0 ,$0 ,$0 
Victor Oladipo,IAM Sports,Raymond Brothers,"$4,763,760 ","$4,978,200 ","$5,192,520 ","$6,552,960 ","$8,551,612 "
Vince Carter,IMG,Kurt Schoeppler,"$3,180,000 ",$0 ,$0 ,$0 ,$0 
Vitor Faverani,Interperformances,Herb Rudoy,TBD,TBD,TBD,TBD,TBD
Vyacheslav Kravtsov,Excel Sports Management,Jeff Schwartz,"$1,500,000 ",$0 ,$0 ,$0 ,$0 
Wayne Ellington,Wasserman Media Group,Arn Tellem,"$2,500,000 ","$2,500,000 ",$0 ,$0 ,$0 
Wesley Johnson,Landmark Sports Agency,Rob Pelinka,"$916,099 ",$0 ,$0 ,$0 ,$0 
Wesley Matthews,Octagon Athlete Representation,Jeff Austin,"$6,875,480 ","$7,245,640 ",$0 ,$0 ,$0 
Will Barton,Impact Sports Basketball,Brian Elfus,"$788,872 ","$915,243 ","$1,181,348 ",$0 ,$0 
Will Bynum,Priority Sports & Entertainment,Mark Bartelstein,"$2,790,343 ","$2,915,908 ",$0 ,$0 ,$0 
Wilson Chandler,Relativity Sports,Dan Fegan,"$6,344,164 ","$6,754,913 ","$7,171,662 ",$0 ,$0 
Xavier Henry,Wasserman Media Group,Arn Tellem,"$916,099 ",$0 ,$0 ,$0 ,$0 
Zach Randolph,IAM Sports,Raymond Brothers,"$17,800,000 ","$16,500,000 ",$0 ,$0 ,$0 
Zaza Pachulia,Williams & Connolly,Jim Tanner,"$5,200,000 ","$5,200,000 ","$5,200,000 ",$0 ,$0 
