start_year,end_year,season,team_id,player_name,league,age,games_played,min_pg,pts_pg,trb_pg,ast_pg,stl_pg,blk_pg,fg_pct,X3pt_pct,ft_pct,ws,ws_per48,winner_tie,team_season_url,team,record,division_standing,division,team_wins,team_losses,team_win_pct
1974,1975,1974-75,GSW,Jamaal Wilkes,NBA,21,82,30.70,14.20,8.20,2.20,1.30,0.30,44.20,NA,73.40,5.10,9.70,FALSE,http://www.basketball-reference.com//teams/GSW/1975.html,Golden State Warriors,48-34,1,Pacific,48,34,58.54
1975,1976,1975-76,PHO,Alvan Adams,NBA,21,80,33.20,19.00,9.10,5.60,1.50,1.50,46.90,NA,73.50,7.20,13.00,FALSE,http://www.basketball-reference.com//teams/PHO/1976.html,Phoenix Suns,42-40,3,Pacific,42,40,51.22
1976,1977,1976-77,BUF,Adrian Dantley,NBA,20,77,36.60,20.30,7.60,1.90,1.20,0.20,52.00,NA,81.80,9.80,16.70,FALSE,http://www.basketball-reference.com//teams/BUF/1977.html,Buffalo Braves,30-52,4,Atlantic,30,52,36.59
1977,1978,1977-78,PHO,Walter Davis,NBA,23,81,32.00,24.20,6.00,3.40,1.40,0.20,52.60,NA,83.00,10.10,18.70,FALSE,http://www.basketball-reference.com//teams/PHO/1978.html,Phoenix Suns,49-33,2,Pacific,49,33,59.76
1978,1979,1978-79,KCK,Phil Ford,NBA,22,79,34.50,15.90,2.30,8.60,2.20,0.10,46.50,NA,81.30,5.70,10.10,FALSE,http://www.basketball-reference.com//teams/KCK/1979.html,Kansas City Kings,48-34,1,Midwest,48,34,58.54
1979,1980,1979-80,BOS,Larry Bird,NBA,23,82,36.00,21.30,10.40,4.50,1.70,0.60,47.40,40.60,83.60,11.20,18.20,FALSE,http://www.basketball-reference.com//teams/BOS/1980.html,Boston Celtics,61-21,1,Atlantic,61,21,74.39
1980,1981,1980-81,UTA,Darrell Griffith,NBA,22,81,35.40,20.60,3.60,2.40,1.30,0.50,46.40,19.20,71.60,0.40,0.60,FALSE,http://www.basketball-reference.com//teams/UTA/1981.html,Utah Jazz,28-54,5,Midwest,28,54,34.15
1981,1982,1981-82,NJN,Buck Williams,NBA,21,82,34.50,15.50,12.30,1.30,1.00,1.00,58.20,0.00,62.40,8.90,15.20,FALSE,http://www.basketball-reference.com//teams/NJN/1982.html,New Jersey Nets,44-38,3,Atlantic,44,38,53.66
1982,1983,1982-83,SDC,Terry Cummings,NBA,21,70,36.20,23.70,10.60,2.50,1.80,0.90,52.30,0.00,70.90,8.70,16.40,FALSE,http://www.basketball-reference.com//teams/SDC/1983.html,San Diego Clippers,25-57,6,Pacific,25,57,30.49
1983,1984,1983-84,HOU,Ralph Sampson,NBA,23,82,32.80,21.00,11.10,2.00,0.90,2.40,52.30,25.00,66.10,6.00,10.80,FALSE,http://www.basketball-reference.com//teams/HOU/1984.html,Houston Rockets,29-53,6,Midwest,29,53,35.37
1984,1985,1984-85,CHI,Michael Jordan,NBA,21,82,38.30,28.20,6.50,5.90,2.40,0.80,51.50,17.30,84.50,14.00,21.30,FALSE,http://www.basketball-reference.com//teams/CHI/1985.html,Chicago Bulls,38-44,3,Central,38,44,46.34
1985,1986,1985-86,NYK,Patrick Ewing,NBA,23,50,35.40,20.00,9.00,2.00,1.10,2.10,47.40,0.00,73.90,3.10,8.40,FALSE,http://www.basketball-reference.com//teams/NYK/1986.html,New York Knicks,23-59,5,Atlantic,23,59,28.05
1986,1987,1986-87,IND,Chuck Person,NBA,22,82,36.00,18.80,8.30,3.60,1.10,0.20,46.80,35.50,74.70,5.40,8.80,FALSE,http://www.basketball-reference.com//teams/IND/1987.html,Indiana Pacers,41-41,4,Central,41,41,50.00
1987,1988,1987-88,NYK,Mark Jackson,NBA,22,82,39.60,13.60,4.80,10.60,2.50,0.10,43.20,25.40,77.40,7.60,11.30,FALSE,http://www.basketball-reference.com//teams/NYK/1988.html,New York Knicks,38-44,3,Atlantic,38,44,46.34
