,hometown,longitude,latitude
123,"Bougouni, Mali",-7.4833333,11.4166667
124,"Boulder, CO, USA",-105.2705456,40.0149856
125,"Bowbells, ND, USA",-102.2460008,48.8030833
126,"Bowling Green, KY, USA",-86.4436018,36.9903199
127,"Boyd, TX, USA",-97.5653027,33.0787326
128,"Boynton Beach, FL, USA",-80.0664309,26.5253491
129,"Braddock, PA, USA",-79.8683824,40.4034024
130,"Bradenton, FL, USA",-82.5748194,27.4989278
131,"Brandon, FL, USA",-82.2859247,27.937801
132,"Brantley, AL, USA",-86.2571786,31.5823832
133,"Brazzaville, Republic of the Congo",15.2833333,-4.2666667
134,"Bremerton, WA, USA",-122.6329356,47.5673202
135,"Bridgeport, CT, USA",-73.1951767,41.1865478
136,"Bristol, CT, USA",-72.9492703,41.6717648
137,"Britton, SD, USA",-97.7509366,45.7916192
138,"Broaddus, TX, USA",-94.2690876,31.3068546
139,"Bronx, NY, USA",-73.866667,40.85
140,"Bronx, United States of America",-73.8654295,40.8370495
141,"Brookfield, IL, USA",-87.8517253,41.8239203
142,"Brookhaven, NY, USA",-72.9153827,40.7792653
143,"Brookings, SD, USA",-96.7983877,44.3113573
144,"Brookline, MA, USA",-71.1211635,42.3317642
145,"Brooklyn, IL, USA",-90.1659431,38.6586617
146,"Brooklyn, NY, USA",-73.95,40.65
147,"Brownsville, TN, USA",-89.262291,35.5939671
148,"Bruges, Belgium",3.2248692,51.2108365
149,"Brunswick, GA, USA",-81.4914894,31.1499528
150,"Buenos Aires, Argentina",-58.3815931,-34.6037232
151,"Buenos Aries, Argentina",-58.3815931,-34.6037232
152,"Buffalo, NY, USA",-78.8783689,42.8864468
153,"Burgin, KY, USA",-84.7666148,37.7534112
154,"Burlington, NC, USA",-79.4377991,36.0956918
155,"Burnsville, MN, USA",-93.2777226,44.7677424
156,"Bursa, Turkey",29.0634479,40.266864
157,"Butler, PA, USA",-79.8953328,40.8611755
158,"Cacak, Serbia",20.35038,43.888908
159,"Cairo, Egypt",31.2357116,30.0444196
160,"Cairo, IL, USA",-89.1764608,37.0053293
161,"Caldwell, NJ, USA",-74.2765366,40.8398218
162,"Cambridge, MA, USA",-71.1097335,42.3736158
163,"Camden, AR, USA",-92.8343294,33.5845581
164,"Camden, NJ, USA",-75.1196199,39.9259463
165,"Campbell Hill, IL, USA",-89.5489852,37.9300513
166,"Campbellsville, KY, USA",-85.3419069,37.3433974
167,"Canal Winchester, OH, USA",-82.8123646,39.8466556
168,"Canberra, Australia",149.1286843,-35.2819998
169,"Canouan, Saint Vincent and the Grenadines",-61.3239372,12.7254927
170,"Canton, GA, USA",-84.4907621,34.2367621
171,"Canton, MS, USA",-90.0367512,32.6126381
172,"Canton, OH, USA",-81.378447,40.7989473
173,"Cap-Haitian, Haiti",-72.199669,19.75622
174,"Cape Coral, FL, USA",-81.9495331,26.5628537
175,"Capitol Heights, MD, USA",-76.9158068,38.8851122
176,"Caracas, Venezuela",-66.902061,10.491016
177,"Carbondale, IL, USA",-89.2167501,37.7272727
178,"Carlisle, PA, USA",-77.195,40.2025
179,"Carlton, Australia",144.9698607,-37.8010469
180,"Carolina, Puerto Rico",-65.9573872,18.3807819
181,"Carrollton, GA, USA",-85.0766113,33.5801103
182,"Carrolton, MS, USA",-89.9203608,33.5081773
183,"Cartersville, GA, USA",-84.7999382,34.1650972
184,"Carthage, MS, USA",-89.5361825,32.7326356
185,"Casablanca, Morocco",-7.5833333,33.5333333
186,"Caserta, Italy",14.3311337,41.0723484
187,"Casper, WY, USA",-106.313081,42.866632
188,"Casselberry, FL, USA",-81.3278455,28.677775
189,"Cassopolis, MI, USA",-86.0100068,41.9117133
190,"Cayenne, French Guiana",-52.3269,4.9227
191,"Cedar Rapids, IA, USA",-91.6656232,41.9778795
192,"Celje, Slovenia",15.2677063,46.2397495
193,"Centralia, IL, USA",-89.1316944,38.5285169
194,"Centreville, AL, USA",-87.1386067,32.9445682
195,"Chanute, KS, USA",-95.4572034,37.6792135
196,"Chapel Hill, NC, USA",-79.0558445,35.9131996
197,"Charleston, IL, USA",-88.1761521,39.4961458
198,"Charleston, SC, USA",-79.9309216,32.7765656
