player,player_id,draft_year,pick,round,position_id,college,draft_team_id,location_type,location,city,state,state_name,country
Barrett Green,GreeBa20,2000,50,2,LB,West Virginia,DET,birth,"West Palm Beach, FL",West Palm Beach,FL,Florida,USA
Cosey Coleman,ColeCo21,2000,51,2,G,Tennessee,TAM,birth,"Clarkston, GA",Clarkston,GA,Georgia,USA
Ike Charlton,CharIk20,2000,52,2,DB,Virginia Tech,SEA,birth,"Orlando, FL",Orlando,FL,Florida,USA
Todd Wade,WadeTo20,2000,53,2,T,Mississippi,MIA,birth,"Greenwood, MS",Greenwood,MS,Mississippi,USA
William Bartee,BartWi20,2000,54,2,DB,Oklahoma,KAN,birth,"Daytona Beach, FL",Daytona Beach,FL,Florida,USA
Fred Robbins,RobbFr20,2000,55,2,DT,Wake Forest,MIN,birth,"Pensacola, FL",Pensacola,FL,Florida,USA
Michael Boireau,BoriMi01,2000,56,2,DE,Miami (FL),MIN,birth,"Miami, FL",Miami,FL,Florida,USA
Deon Grant,GranDe21,2000,57,2,DB,Tennessee,CAR,birth,"Augusta, GA",Augusta,GA,Georgia,USA
Travares Tillman,TillTr20,2000,58,2,DB,Georgia Tech,BUF,birth,"Lyons, GA",Lyons,GA,Georgia,USA
Marcus Washington,WashMa99,2000,59,2,LB,Auburn,IND,birth,"Auburn, AL",Auburn,AL,Alabama,USA
Brad Meester,MeesBr20,2000,60,2,C,Northern Iowa,JAX,birth,"Iowa Falls, IA",Iowa Falls,IA,Iowa,USA
Bobbie Williams,WillBo21,2000,61,2,G,Arkansas,PHI,birth,"Jefferson, TX",Jefferson,TX,Texas,USA
Jacoby Shepherd,ShepJa20,2000,62,2,DB,Oklahoma St.,STL,birth,"Lufkin, TX",Lufkin,TX,Texas,USA
Michael Vick,VickMi00,2001,1,1,QB,Virginia Tech,ATL,birth,"Newport News, VA",Newport News,VA,Virginia,USA
Leonard Davis,DaviLe21,2001,2,1,T,Texas,ARI,birth,"Wortham, TX",Wortham,TX,Texas,USA
Gerard Warren,WarrGe20,2001,3,1,DT,Florida,CLE,birth,"Lake City, FL",Lake City,FL,Florida,USA
Justin Smith,SmitJu20,2001,4,1,DE,Missouri,CIN,birth,"Jefferson City, MO",Jefferson City,MO,Missouri,USA
LaDainian Tomlinson,TomlLa00,2001,5,1,RB,TCU,SDG,birth,"Rosebud, TX",Rosebud,TX,Texas,USA
Richard Seymour,SeymRi00,2001,6,1,DE,Georgia,NWE,birth,"Gadsden, SC",Gadsden,SC,South Carolina,USA
Andre Carter,CartAn20,2001,7,1,DE,California,SFO,birth,"Denver, CO",Denver,CO,Colorado,USA
David Terrell,TerrDa00,2001,8,1,WR,Michigan,CHI,birth,"Richmond, VA",Richmond,VA,Virginia,USA
Koren Robinson,RobiKo00,2001,9,1,WR,North Carolina St.,SEA,birth,"Belmont, NC",Belmont,NC,North Carolina,USA
Jamal Reynolds,ReynJa20,2001,10,1,DE,Florida St.,GNB,birth,"Augusta, GA",Augusta,GA,Georgia,USA
Dan Morgan,MorgDa99,2001,11,1,LB,Miami (FL),CAR,birth,"Coral Springs, FL",Coral Springs,FL,Florida,USA
Damione Lewis,LewiDa20,2001,12,1,DT,Miami (FL),STL,birth,"Sulphur Springs, TX",Sulphur Springs,TX,Texas,USA
Marcus Stroud,StroMa01,2001,13,1,DT,Georgia,JAX,birth,"Thomasville, GA",Thomasville,GA,Georgia,USA
Kenyatta Walker,WalkKe21,2001,14,1,T,Florida,TAM,birth,"Meridian, MS",Meridian,MS,Mississippi,USA
Rod Gardner,GardRo00,2001,15,1,WR,Clemson,WAS,birth,"Jacksonville, FL",Jacksonville,FL,Florida,USA
Santana Moss,MossSa00,2001,16,1,WR,Miami (FL),NYJ,birth,"Miami, FL",Miami,FL,Florida,USA
Steve Hutchinson,HutcSt00,2001,17,1,G,Michigan,SEA,birth,"Fort Lauderdale, FL",Fort Lauderdale,FL,Florida,USA
Jeff Backus,BackJe20,2001,18,1,T,Michigan,DET,birth,"Midland, MI",Midland,MI,Michigan,USA
Casey Hampton,HampCa00,2001,19,1,NT,Texas,PIT,birth,"Galveston, TX",Galveston,TX,Texas,USA
Adam Archuleta,ArchAd20,2001,20,1,DB,Arizona St.,STL,birth,"Chandler, AZ",Chandler,AZ,Arizona,USA
Nate Clements,ClemNa99,2001,21,1,DB,Ohio St.,BUF,birth,"Shaker Heights, OH",Shaker Heights,OH,Ohio,USA
Will Allen,AlleWi20,2001,22,1,DB,Syracuse,NYG,birth,"Syracuse, NY",Syracuse,NY,New York,USA
Deuce McAllister,McAlDe00,2001,23,1,RB,Mississippi,NOR,birth,"Lena, MS",Lena,MS,Mississippi,USA
Willie Middlebrooks,MiddWi20,2001,24,1,DB,Minnesota,DEN,birth,"Miami, FL",Miami,FL,Florida,USA
Freddie Mitchell,MitcFr00,2001,25,1,WR,UCLA,PHI,birth,"Lakeland, FL",Lakeland,FL,Florida,USA
Jamar Fletcher,FletJa20,2001,26,1,DB,Wisconsin,MIA,birth,"St. Louis, MO",St. Louis,MO,Missouri,USA
Michael Bennett,BennMi00,2001,27,1,RB,Wisconsin,MIN,birth,"Milwaukee, WI",Milwaukee,WI,Wisconsin,USA
Derrick Gibson,GibsDe21,2001,28,1,DB,Florida St.,OAK,birth,"Miami, FL",Miami,FL,Florida,USA
Ryan Pickett,PickRy20,2001,29,1,DT,Ohio St.,STL,birth,"Zephyrhills, FL",Zephyrhills,FL,Florida,USA
Reggie Wayne,WaynRe00,2001,30,1,WR,Miami (FL),IND,birth,"New Orleans, LA",New Orleans,LA,Louisiana,USA
Todd Heap,HeapTo00,2001,31,1,TE,Arizona St.,BAL,birth,"Mesa, AZ",Mesa,AZ,Arizona,USA
Drew Brees,BreeDr00,2001,32,2,QB,Purdue,SDG,birth,"Austin, TX",Austin,TX,Texas,USA
Quincy Morgan,MorgQu00,2001,33,2,WR,Kansas St.,CLE,birth,"Garland, TX",Garland,TX,Texas,USA
Kyle Vanden Bosch,VandKy99,2001,34,2,DE,Nebraska,ARI,birth,"Larchwood, IA",Larchwood,IA,Iowa,USA
Alge Crumpler,CrumAl00,2001,35,2,TE,North Carolina,ATL,birth,"Wilmington, NC",Wilmington,NC,North Carolina,USA
Chad Johnson,JohnCh01,2001,36,2,WR,Oregon St.,CIN,birth,"Miami, FL",Miami,FL,Florida,USA
Idrees Bashir,BashId20,2001,37,2,DB,Memphis,IND,birth,"Decatur, GA",Decatur,GA,Georgia,USA
Anthony Thomas,ThomAn01,2001,38,2,RB,Michigan,CHI,birth,"Pineville, LA",Pineville,LA,Louisiana,USA
Kendrell Bell,BellKe20,2001,39,2,LB,Georgia,PIT,birth,"Augusta, GA",Augusta,GA,Georgia,USA
Ken Lucas,LucaKe20,2001,40,2,DB,Mississippi,SEA,birth,"Cleveland, MS",Cleveland,MS,Mississippi,USA
Robert Ferguson,FergRo00,2001,41,2,WR,Texas A&M,GNB,birth,"Houston, TX",Houston,TX,Texas,USA
Tommy Polley,PollTo21,2001,42,2,LB,Florida St.,STL,birth,"Baltimore, MD",Baltimore,MD,Maryland,USA
Maurice Williams,WillMa25,2001,43,2,T,Michigan,JAX,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Kris Jenkins,JenkKr00,2001,44,2,DT,Maryland,CAR,birth,"Ypsilanti, MI",Ypsilanti,MI,Michigan,USA
Fred Smoot,SmooFr20,2001,45,2,DB,Mississippi St.,WAS,birth,"Jackson, MS",Jackson,MS,Mississippi,USA
Aaron Schobel,SchoAa99,2001,46,2,DE,TCU,BUF,birth,"Columbus, TX",Columbus,TX,Texas,USA
Jamie Winborn,WinbJa20,2001,47,2,LB,Vanderbilt,SFO,birth,"Wetumpka, AL",Wetumpka,AL,Alabama,USA
Matt Light,LighMa20,2001,48,2,T,Purdue,NWE,birth,"Greenville, OH",Greenville,OH,Ohio,USA
LaMont Jordan,JordLa00,2001,49,2,RB,Maryland,NYJ,birth,"Suitland, MD",Suitland,MD,Maryland,USA
Dominic Raiola,RaioDo20,2001,50,2,C,Nebraska,DET,birth,"Honolulu, HI",Honolulu,HI,Hawaii,USA
Paul Toviessi,ToviPa01,2001,51,2,DE,Marshall,DEN,birth,"Alexandria, VA",Alexandria,VA,Virginia,USA
Chris Chambers,ChamCh00,2001,52,2,WR,Wisconsin,MIA,birth,"Cleveland, OH",Cleveland,OH,Ohio,USA
Quincy Carter,CartQu00,2001,53,2,QB,Georgia,DAL,birth,"Decatur, GA",Decatur,GA,Georgia,USA
Michael Stone,StonMi20,2001,54,2,DB,Memphis,ARI,birth,"Southfield, MI",Southfield,MI,Michigan,USA
Quinton Caver,CaveQu20,2001,55,2,LB,Arkansas,PHI,birth,"Anniston, AL",Anniston,AL,Alabama,USA
Tony Dixon,DixoTo20,2001,56,2,DB,Alabama,DAL,birth,"Tuscaloosa, AL",Tuscaloosa,AL,Alabama,USA
Willie Howard,HowaWi20,2001,57,2,DE,Stanford,MIN,birth,"Mountain View, CA",Mountain View,CA,California,USA
Travis Henry,HenrTr00,2001,58,2,RB,Tennessee,BUF,birth,"Frostproof, FL",Frostproof,FL,Florida,USA
Marques Tuiasosopo,TuiaMa00,2001,59,2,QB,Washington,OAK,birth,"Seattle, WA",Seattle,WA,Washington,USA
Andre Dyson,DysoAn20,2001,60,2,DB,Utah,TEN,birth,"Logan, UT",Logan,UT,Utah,USA
