player,player_id,draft_year,pick,round,position_id,college,draft_team_id,location_type,location,city,state,state_name,country
Andre Woolfolk,WoolAn20,2003,28,1,DB,Oklahoma,TEN,birth,"Denver, CO",Denver,CO,Colorado,USA
Nick Barnett,BarnNi20,2003,29,1,LB,Oregon St.,GNB,birth,"Fontana, CA",Fontana,CA,California,USA
Sammy Davis,DaviSa21,2003,30,1,DB,Texas A&M,SDG,birth,"Humble, TX",Humble,TX,Texas,USA
Nnamdi Asomugha,AsomNn20,2003,31,1,DB,California,OAK,birth,"Lafayette, LA",Lafayette,LA,Louisiana,USA
Tyler Brayton,BrayTy20,2003,32,1,DE,Colorado,OAK,birth,"Richland, WA",Richland,WA,Washington,USA
Eric Steinbach,SteiEr20,2003,33,2,G,Iowa,CIN,birth,"New Lenox, IL",New Lenox,IL,Illinois,USA
Boss Bailey,BailBo20,2003,34,2,LB,Georgia,DET,birth,"Folkston, GA",Folkston,GA,Georgia,USA
Charles Tillman,TillCh20,2003,35,2,DB,La-Lafayette,CHI,birth,"Chicago, IL",Chicago,IL,Illinois,USA
Eugene Wilson,WilsEu20,2003,36,2,DB,Illinois,NWE,birth,"Maywood, IL",Maywood,IL,Illinois,USA
Jon Stinchcomb,StinJo20,2003,37,2,T,Georgia,NOR,birth,"Lilburn, GA",Lilburn,GA,Georgia,USA
Al Johnson,JohnAl22,2003,38,2,C,Wisconsin,DAL,birth,"Brussels, WI",Brussels,WI,Wisconsin,USA
Rashean Mathis,MathRa99,2003,39,2,DB,Bethune-Cookman,JAX,birth,"Nashville, GA",Nashville,GA,Georgia,USA
E.J. Henderson,HendE.20,2003,40,2,LB,Maryland,MIN,birth,"Aberdeen, MD",Aberdeen,MD,Maryland,USA
Bennie Joppru,JoppBe00,2003,41,2,TE,Michigan,HOU,birth,"Dickinson, ND",Dickinson,ND,North Dakota,USA
Ken Hamlin,HamlKe20,2003,42,2,DB,Arkansas,SEA,birth,"Memphis, TN",Memphis,TN,Tennessee,USA
Pisa Tinoisamoa,TinoPi20,2003,43,2,LB,Hawaii,STL,birth,"San Diego, CA",San Diego,CA,California,USA
Taylor Jacobs,JacoTa00,2003,44,2,WR,Florida,WAS,birth,"Tallahassee, FL",Tallahassee,FL,Florida,USA
Bethel Johnson,JohnBe00,2003,45,2,WR,Texas A&M,NWE,birth,"Corsicana, TX",Corsicana,TX,Texas,USA
Drayton Florence,FlorDr20,2003,46,2,DB,Tuskegee,SDG,birth,"Waycross, GA",Waycross,GA,Georgia,USA
Kawika Mitchell,MitcKa20,2003,47,2,LB,South Florida,KAN,birth,"Winter Springs, FL",Winter Springs,FL,Florida,USA
Chris Kelsay,KelsCh21,2003,48,2,DE,Nebraska,BUF,birth,"Auburn, NE",Auburn,NE,Nebraska,USA
Eddie Moore,MoorEd20,2003,49,2,LB,Tennessee,MIA,birth,"Chattanooga, TN",Chattanooga,TN,Tennessee,USA
Bruce Nelson,NelsBr20,2003,50,2,G,Iowa,CAR,birth,"Emmetsburg, IA",Emmetsburg,IA,Iowa,USA
Terry Pierce,PierTe20,2003,51,2,LB,Kansas St.,DEN,birth,"Fort Worth, TX",Fort Worth,TX,Texas,USA
Chaun Thompson,ThomCh23,2003,52,2,LB,West Texas A&M,CLE,birth,"Mount Pleasant, TX",Mount Pleasant,TX,Texas,USA
Victor Hobson,HobsVi20,2003,53,2,LB,Michigan,NYJ,birth,"Mount Laurel, NJ",Mount Laurel,NJ,New Jersey,USA
Anquan Boldin,BoldAn00,2003,54,2,WR,Florida St.,ARI,birth,"Pahokee, FL",Pahokee,FL,Florida,USA
Bryan Scott,ScotBr20,2003,55,2,DB,Penn St.,ATL,birth,"Warrington, PA",Warrington,PA,Pennsylvania,USA
Osi Umenyiora,UmenOs99,2003,56,2,DE,,NYG,birth,"London, England",London,,,England
Anthony Adams,AdamAn20,2003,57,2,DT,Penn St.,SFO,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Mike Doss,DossMi20,2003,58,2,DB,Ohio St.,IND,birth,"Canton, OH",Canton,OH,Ohio,USA
Alonzo Jackson,JackAl23,2003,59,2,LB,Florida St.,PIT,birth,"Americus, GA",Americus,GA,Georgia,USA
Tyrone Calico,CaliTy00,2003,60,2,WR,Middle Tenn. St.,TEN,birth,"Orange County, CA",Orange County,CA,California,USA
L.J. Smith,SmitL.00,2003,61,2,TE,Rutgers,PHI,birth,"New Brunswick, NJ",New Brunswick,NJ,New Jersey,USA
Terrence Kiel,KielTe20,2003,62,2,DB,Texas A&M,SDG,birth,"Lufkin, TX",Lufkin,TX,Texas,USA
Teyo Johnson,JohnTe00,2003,63,2,TE,Stanford,OAK,birth,"White Rock, Canada",White Rock,,,Canada
Dewayne White,WhitDe20,2003,64,2,DE,Louisville,TAM,birth,"Marbury, AL",Marbury,AL,Alabama,USA
Eli Manning,MannEl00,2004,1,1,QB,Mississippi,SDG,birth,"New Orleans, LA",New Orleans,LA,Louisiana,USA
Robert Gallery,GallRo20,2004,2,1,T,Iowa,OAK,birth,"Manchester, IA",Manchester,IA,Iowa,USA
Larry Fitzgerald,FitzLa00,2004,3,1,WR,Pittsburgh,ARI,birth,"Minneapolis, MN",Minneapolis,MN,Minnesota,USA
Philip Rivers,RivePh00,2004,4,1,QB,North Carolina St.,NYG,birth,"Decatur, AL",Decatur,AL,Alabama,USA
Sean Taylor,TaylSe20,2004,5,1,DB,Miami (FL),WAS,birth,"Miami, FL",Miami,FL,Florida,USA
Kellen Winslow Jr.,WinsKe01,2004,6,1,TE,Miami (FL),CLE,birth,"San Diego, CA",San Diego,CA,California,USA
Roy E. Williams,WillRo04,2004,7,1,WR,Texas,DET,birth,"Odessa, TX",Odessa,TX,Texas,USA
DeAngelo Hall,HallDe99,2004,8,1,DB,Virginia Tech,ATL,birth,"Chesapeake, VA",Chesapeake,VA,Virginia,USA
Reggie Williams,WillRe00,2004,9,1,WR,Washington,JAX,birth,"Landstuhl, Germany",Landstuhl,,,Germany
Dunta Robinson,RobiDu20,2004,10,1,DB,South Carolina,HOU,birth,"Athens, GA",Athens,GA,Georgia,USA
Ben Roethlisberger,RoetBe00,2004,11,1,QB,,PIT,birth,"Findlay, OH",Findlay,OH,Ohio,USA
Jonathan Vilma,VilmJo99,2004,12,1,LB,Miami (FL),NYJ,birth,"Coral Gables, FL",Coral Gables,FL,Florida,USA
Lee Evans,EvanLe00,2004,13,1,WR,Wisconsin,BUF,birth,"Bedford, OH",Bedford,OH,Ohio,USA
Tommie Harris,HarrTo99,2004,14,1,DT,Oklahoma,CHI,birth,"Killeen, TX",Killeen,TX,Texas,USA
Michael Clayton,ClayMi00,2004,15,1,WR,LSU,TAM,birth,"Baton Rouge, LA",Baton Rouge,LA,Louisiana,USA
Shawn Andrews,AndrSh55,2004,16,1,G,Arkansas,PHI,birth,"Camden, AR",Camden,AR,Arkansas,USA
D.J. Williams,WillD.20,2004,17,1,LB,Miami (FL),DEN,birth,"Pittsburg, CA",Pittsburg,CA,California,USA
Will Smith,SmitWi99,2004,18,1,DE,Ohio St.,NOR,birth,"Queens, NY",Queens,NY,New York,USA
Vernon Carey,CareVe20,2004,19,1,T,Miami (FL),MIA,birth,"Miami, FL",Miami,FL,Florida,USA
Kenechi Udeze,UdezKe20,2004,20,1,DE,USC,MIN,birth,"Los Angeles, CA",Los Angeles,CA,California,USA
Vince Wilfork,WilfVi20,2004,21,1,NT,Miami (FL),NWE,birth,"Boynton Beach, FL",Boynton Beach,FL,Florida,USA
J.P. Losman,LosmJ.00,2004,22,1,QB,Tulane,BUF,birth,"Venice, CA",Venice,CA,California,USA
Marcus Tubbs,TubbMa20,2004,23,1,DT,Texas,SEA,birth,"Dallas, TX",Dallas,TX,Texas,USA
Steven Jackson,JackSt00,2004,24,1,RB,Oregon St.,STL,birth,"Las Vegas, NV",Las Vegas,NV,Nevada,USA
Ahmad Carroll,CarrAh20,2004,25,1,DB,Arkansas,GNB,birth,"Atlanta, GA",Atlanta,GA,Georgia,USA
Chris Perry,PerrCh00,2004,26,1,RB,Michigan,CIN,birth,"Advance, NC",Advance,NC,North Carolina,USA
Jason Babin,BabiJa20,2004,27,1,LB,West. Michigan,HOU,birth,"Kalamazoo, MI",Kalamazoo,MI,Michigan,USA
Chris Gamble,GambCh20,2004,28,1,DB,Ohio St.,CAR,birth,"Boston, MA",Boston,MA,Massachusetts,USA
Michael Jenkins,JenkMi00,2004,29,1,WR,Ohio St.,ATL,birth,"Tampa, FL",Tampa,FL,Florida,USA
Kevin Jones,JoneKe02,2004,30,1,RB,Virginia Tech,DET,birth,"Chester, PA",Chester,PA,Pennsylvania,USA
Rashaun Woods,WoodRa00,2004,31,1,WR,Oklahoma St.,SFO,birth,"Oklahoma City, OK",Oklahoma City,OK,Oklahoma,USA
Ben Watson,WatsBe00,2004,32,1,TE,Georgia,NWE,birth,"Norfolk, VA",Norfolk,VA,Virginia,USA
Karlos Dansby,DansKa20,2004,33,2,LB,Auburn,ARI,birth,"Birmingham, AL",Birmingham,AL,Alabama,USA
Chris Snee,SneeCh20,2004,34,2,G,Boston Col.,NYG,birth,"Edison, NJ",Edison,NJ,New Jersey,USA
Igor Olshansky,OlshIg20,2004,35,2,DE,Oregon,SDG,birth,"Dnepropetrovsk, Ukraine",Dnepropetrovsk,,,Ukraine
Junior Siavii,SiavJu20,2004,36,2,DT,Oregon,KAN,birth,"Pago Pago, American Samoa",Pago Pago,,,American Samoa
Teddy Lehman,LehmTe20,2004,37,2,LB,Oklahoma,DET,birth,"Tulsa, OK",Tulsa,OK,Oklahoma,USA
Ricardo Colclough,ColcRi20,2004,38,2,DB,Tusculum,PIT,birth,"Sumter, SC",Sumter,SC,South Carolina,USA
Daryl Smith,SmitDa24,2004,39,2,LB,Georgia Tech,JAX,birth,"Albany, GA",Albany,GA,Georgia,USA
Ben Troupe,TrouBe00,2004,40,2,TE,Florida,TEN,birth,"Swainsboro, GA",Swainsboro,GA,Georgia,USA
Tatum Bell,BellTa00,2004,41,2,RB,Oklahoma St.,DEN,birth,"Dallas, TX",Dallas,TX,Texas,USA
Travis LaBoy,LaBoTr20,2004,42,2,DE,Hawaii,TEN,birth,"Honolulu, HI",Honolulu,HI,Hawaii,USA
Julius Jones,JoneJu01,2004,43,2,RB,Notre Dame,DAL,birth,"Big Stone Gap, VA",Big Stone Gap,VA,Virginia,USA
Bob Sanders,SandBo99,2004,44,2,DB,Iowa,IND,birth,"Erie, PA",Erie,PA,Pennsylvania,USA
Jake Grove,GrovJa20,2004,45,2,C,Virginia Tech,OAK,birth,"Johnson City, TN",Johnson City,TN,Tennessee,USA
Justin Smiley,SmilJu20,2004,46,2,G,Alabama,SFO,birth,"Ellabell, GA",Ellabell,GA,Georgia,USA
Tank Johnson,JohnTa20,2004,47,2,DT,Washington,CHI,birth,"Chandler, AZ",Chandler,AZ,Arizona,USA
Dontarrious Thomas,ThomDo21,2004,48,2,LB,Auburn,MIN,birth,"Perry, AL",Perry,AL,Alabama,USA
Keiwan Ratliff,RatlKe20,2004,49,2,DB,Florida,CIN,birth,"Youngstown, OH",Youngstown,OH,Ohio,USA
Devery Henderson,HendDe00,2004,50,2,WR,LSU,NOR,birth,"Lafayette, LA",Lafayette,LA,Louisiana,USA
Dwan Edwards,EdwaDw20,2004,51,2,DT,Oregon St.,BAL,birth,"Billings, MT",Billings,MT,Montana,USA
Jacob Rogers,RogeJa20,2004,52,2,T,USC,DAL,birth,"Oxnard, CA",Oxnard,CA,California,USA
Michael Boulware,BoulMi20,2004,53,2,DB,Florida St.,SEA,birth,"Columbia, SC",Columbia,SC,South Carolina,USA
Darius Watts,WattDa00,2004,54,2,WR,Marshall,DEN,birth,"Atlanta, GA",Atlanta,GA,Georgia,USA
Greg Jones,JoneGr01,2004,55,2,RB,Florida St.,JAX,birth,"Columbia, SC",Columbia,SC,South Carolina,USA
Madieu Williams,WillMa20,2004,56,2,DB,Maryland,CIN,birth,"Freetown, Sierra Leone",Freetown,,,Sierra Leone
Antwan Odom,OdomAn20,2004,57,2,DE,Alabama,TEN,birth,"Mobile, AL",Mobile,AL,Alabama,USA
Shawntae Spencer,SpenSh20,2004,58,2,DB,Pittsburgh,SFO,birth,"Rankin, PA",Rankin,PA,Pennsylvania,USA
Sean Jones,JoneSe20,2004,59,2,DB,Georgia,CLE,birth,"Atlanta, GA",Atlanta,GA,Georgia,USA
Courtney Watson,WatsCo20,2004,60,2,LB,Notre Dame,NOR,birth,"Sarasota, FL",Sarasota,FL,Florida,USA
Kris Wilson,WilsKr00,2004,61,2,TE,Pittsburgh,KAN,birth,"Lancaster, PA",Lancaster,PA,Pennsylvania,USA
Keary Colbert,ColbKe00,2004,62,2,WR,USC,CAR,birth,"Oxnard, CA",Oxnard,CA,California,USA
Marquise Hill,HillMa21,2004,63,2,DE,LSU,NWE,birth,"New Orleans, LA",New Orleans,LA,Louisiana,USA
Alex Smith,SmitAl02,2005,1,1,QB,Utah,SFO,birth,"Denver, CO",Denver,CO,Colorado,USA
Alex Smith,SmitAl03,2005,1,1,QB,Utah,SFO,birth,"Seattle, WA",Seattle,WA,Washington,USA
Ronnie Brown,BrowRo05,2005,2,1,RB,Auburn,MIA,birth,"Rome, GA",Rome,GA,Georgia,USA
Braylon Edwards,EdwaBr00,2005,3,1,WR,Michigan,CLE,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Cedric Benson,BensCe00,2005,4,1,RB,Texas,CHI,birth,"Midland, TX",Midland,TX,Texas,USA
Cadillac Williams,WillCa02,2005,5,1,RB,Auburn,TAM,birth,"Gadsden, AL",Gadsden,AL,Alabama,USA
Adam Jones,JonePa20,2005,6,1,DB,West Virginia,TEN,birth,"College Park, GA",College Park,GA,Georgia,USA
Troy Williamson,WillTr01,2005,7,1,WR,South Carolina,MIN,birth,"Aiken, SC",Aiken,SC,South Carolina,USA
Antrel Rolle,RollAn20,2005,8,1,DB,Miami (FL),ARI,birth,"Homestead, FL",Homestead,FL,Florida,USA
Carlos Rogers,RogeCa20,2005,9,1,DB,Auburn,WAS,birth,"Augusta, GA",Augusta,GA,Georgia,USA
Mike Williams,WillMi03,2005,10,1,WR,USC,DET,birth,"Tampa, FL",Tampa,FL,Florida,USA
DeMarcus Ware,WareDe99,2005,11,1,LB,,DAL,birth,"Auburn, AL",Auburn,AL,Alabama,USA
Shawne Merriman,MerrSh99,2005,12,1,LB,Maryland,SDG,birth,"Washington, DC",Washington,DC,District of Columbia,USA
Jammal Brown,BrowJa55,2005,13,1,T,Oklahoma,NOR,birth,"Lawton, OK",Lawton,OK,Oklahoma,USA
Thomas Davis,DaviTh20,2005,14,1,LB,Georgia,CAR,birth,"Shellman, GA",Shellman,GA,Georgia,USA
Derrick O. Johnson,JohnDe25,2005,15,1,LB,Texas,KAN,birth,"Waco, TX",Waco,TX,Texas,USA
Travis Johnson,JohnTr20,2005,16,1,DT,Florida St.,HOU,birth,"Sherman Oaks, CA",Sherman Oaks,CA,California,USA
David Pollack,PollDa20,2005,17,1,LB,Georgia,CIN,birth,"Snellville, GA",Snellville,GA,Georgia,USA
Erasmus James,JameEr20,2005,18,1,DE,Wisconsin,MIN,birth,"Basseterre, Saint Kitts and Nevis",Basseterre,,,Saint Kitts and Nevis
Alex Barron,BarrAl20,2005,19,1,T,Florida St.,STL,birth,"Orangeburg, SC",Orangeburg,SC,South Carolina,USA
Marcus R. Spears,SpeaMa21,2005,20,1,DE,LSU,DAL,birth,"Baton Rouge, LA",Baton Rouge,LA,Louisiana,USA
Matt Jones,JoneMa00,2005,21,1,WR,Arkansas,JAX,birth,"Fort Smith, AR",Fort Smith,AR,Arkansas,USA
Mark Clayton,ClayMa01,2005,22,1,WR,Oklahoma,BAL,birth,"Oklahoma City, OK",Oklahoma City,OK,Oklahoma,USA
Fabian Washington,WashFa20,2005,23,1,DB,Washington,OAK,birth,"Bradenton, FL",Bradenton,FL,Florida,USA
Aaron Rodgers,RodgAa00,2005,24,1,QB,California,GNB,birth,"Chico, CA",Chico,CA,California,USA
Jason Campbell,CampJa00,2005,25,1,QB,Auburn,WAS,birth,"Laurel, MS",Laurel,MS,Mississippi,USA
Chris Spencer,SpenCh21,2005,26,1,C,Mississippi,SEA,birth,"Madison, MS",Madison,MS,Mississippi,USA
Roddy White,WhitRo00,2005,27,1,WR,Ala-Birmingham,ATL,birth,"James Island, SC",James Island,SC,South Carolina,USA
Luis Castillo,CastLu20,2005,28,1,DE,Northwestern,SDG,birth,"Brooklyn, NY",Brooklyn,NY,New York,USA
Marlin Jackson,JackMa22,2005,29,1,DB,Michigan,IND,birth,"Sharon, PA",Sharon,PA,Pennsylvania,USA
Heath Miller,MillHe00,2005,30,1,TE,Virginia,PIT,birth,"Richlands, VA",Richlands,VA,Virginia,USA
Mike Patterson,PattMi20,2005,31,1,DT,USC,PHI,birth,"Sacramento, CA",Sacramento,CA,California,USA
Logan Mankins,MankLo20,2005,32,1,G,Fresno St.,NWE,birth,"Catheys Valley, CA",Catheys Valley,CA,California,USA
David Baas,BaasDa20,2005,33,2,G,Michigan,SFO,birth,"Bixby, OK",Bixby,OK,Oklahoma,USA
Brodney Pool,PoolBr20,2005,34,2,DB,Oklahoma,CLE,birth,"Houston, TX",Houston,TX,Texas,USA
Reggie Brown,BrowRe01,2005,35,2,WR,Georgia,PHI,birth,"Carrollton, GA",Carrollton,GA,Georgia,USA
Barrett Ruud,RuudBa20,2005,36,2,LB,Nebraska,TAM,birth,"Lincoln, NE",Lincoln,NE,Nebraska,USA
Shaun Cody,CodySh20,2005,37,2,DT,USC,DET,birth,"Whittier, CA",Whittier,CA,California,USA
Stanford Routt,RoutSt20,2005,38,2,DB,Houston,OAK,birth,"Austin, TX",Austin,TX,Texas,USA
Mark Bradley,BradMa00,2005,39,2,WR,Oklahoma,CHI,birth,"Pine Bluff, AR",Pine Bluff,AR,Arkansas,USA
Josh Bullocks,BullJo20,2005,40,2,DB,Nebraska,NOR,birth,"Chattanooga, TN",Chattanooga,TN,Tennessee,USA
Michael Roos,RoosMi20,2005,41,2,T,East. Washington,TEN,birth,"Tallin, Estonia",Tallin,,,Estonia
Kevin Burnett,BurnKe20,2005,42,2,LB,Tennessee,DAL,birth,"Englewood, CA",Englewood,CA,California,USA
Corey Webster,WebsCo20,2005,43,2,DB,LSU,NYG,birth,"Vacherie, LA",Vacherie,LA,Louisiana,USA
J.J. Arrington,ArriJ.00,2005,44,2,RB,California,ARI,birth,"Rocky Mount, NC",Rocky Mount,NC,North Carolina,USA
Lofa Tatupu,TatuLo99,2005,45,2,LB,USC,SEA,birth,"Wrentham, MA",Wrentham,MA,Massachusetts,USA
Matt Roth,RothMa20,2005,46,2,DE,Iowa,MIA,birth,"Villa Park, IL",Villa Park,IL,Illinois,USA
Mike Nugent,nugenmik01,2005,47,2,K,Ohio St.,NYJ,birth,"Centerville, OH",Centerville,OH,Ohio,USA
Odell Thurman,ThurOd20,2005,48,2,LB,Georgia,CIN,birth,"Monticello, GA",Monticello,GA,Georgia,USA
Marcus Johnson,JohnMa20,2005,49,2,G,Mississippi,MIN,birth,"Greenville, MS",Greenville,MS,Mississippi,USA
Ronald Bartell,BartRo20,2005,50,2,DB,Howard,STL,birth,"Detroit, MI",Detroit,MI,Michigan,USA
Nick Collins,CollNi20,2005,51,2,DB,Bethune-Cookman,GNB,birth,"Gainesville, FL",Gainesville,FL,Florida,USA
Khalif Barnes,BarnKh20,2005,52,2,T,Washington,JAX,birth,"San Diego, CA",San Diego,CA,California,USA
Dan Cody,CodyDa20,2005,53,2,DE,Oklahoma,BAL,birth,"Ada, OK",Ada,OK,Oklahoma,USA
Eric Shelton,ShelEr00,2005,54,2,RB,Louisville,CAR,birth,"Lexington, KY",Lexington,KY,Kentucky,USA
Roscoe Parrish,ParrRo00,2005,55,2,WR,Miami (FL),BUF,birth,"Miami, FL",Miami,FL,Florida,USA
Darrent Williams,WillDa21,2005,56,2,DB,Oklahoma St.,DEN,birth,"Fort Worth, TX",Fort Worth,TX,Texas,USA
Justin Miller,MillJu99,2005,57,2,DB,Clemson,NYJ,birth,"Owensboro, KY",Owensboro,KY,Kentucky,USA
Terrence Murphy,MurpTe00,2005,58,2,WR,Texas A&M,GNB,birth,"Tyler, TX",Tyler,TX,Texas,USA
Jonathan Babineaux,BabiJo20,2005,59,2,DE,Iowa,ATL,birth,"Port Arthur, TX",Port Arthur,TX,Texas,USA
Kelvin Hayden,HaydKe20,2005,60,2,DB,Illinois,IND,birth,"Chicago, IL",Chicago,IL,Illinois,USA
Vincent Jackson,JackVi00,2005,61,2,WR,Northern Colorado,SDG,birth,"Fort Polk, LA",Fort Polk,LA,Louisiana,USA
Bryant McFadden,McFaBr20,2005,62,2,DB,Florida St.,PIT,birth,"Hollywood, FL",Hollywood,FL,Florida,USA
Matt McCoy,McCoMa20,2005,63,2,LB,San Diego St.,PHI,birth,"Orange County, CA",Orange County,CA,California,USA
Adam Terry,TerrAd20,2005,64,2,T,Syracuse,BAL,birth,"Glen Falls, NY",Glen Falls,NY,New York,USA
Mario Williams,WillMa22,2006,1,1,DE,North Carolina St.,HOU,birth,"Richlands, NC",Richlands,NC,North Carolina,USA
Reggie Bush,BushRe00,2006,2,1,RB,USC,NOR,birth,"Spring Valley, CA",Spring Valley,CA,California,USA
Vince Young,YounVi00,2006,3,1,QB,Texas,TEN,birth,"Houston, TX",Houston,TX,Texas,USA
D'Brickashaw Ferguson,FergDB20,2006,4,1,T,Virginia,NYJ,birth,"New York, NY",New York,NY,New York,USA
A.J. Hawk,HawkA.20,2006,5,1,LB,Ohio St.,GNB,birth,"Centerville, OH",Centerville,OH,Ohio,USA
Vernon Davis,DaviVe00,2006,6,1,TE,Maryland,SFO,birth,"Washington, DC",Washington,DC,District of Columbia,USA
Michael Huff,HuffMi20,2006,7,1,DB,Texas,OAK,birth,"Irving, TX",Irving,TX,Texas,USA
Donte Whitner,WhitDo20,2006,8,1,DB,Ohio St.,BUF,birth,"Cleveland, OH",Cleveland,OH,Ohio,USA
Ernie Sims,SimsEr20,2006,9,1,LB,Florida St.,DET,birth,"Tallahassee, FL",Tallahassee,FL,Florida,USA
Matt Leinart,LeinMa00,2006,10,1,QB,USC,ARI,birth,"Santa Ana, CA",Santa Ana,CA,California,USA
Jay Cutler,CutlJa00,2006,11,1,QB,Vanderbilt,DEN,birth,"Santa Claus, IN",Santa Claus,IN,Indiana,USA
Haloti Ngata,NgatHa20,2006,12,1,DT,Oregon,BAL,birth,"Inglewood, CA",Inglewood,CA,California,USA
Kamerion Wimbley,WimbKa20,2006,13,1,DE,Florida St.,CLE,birth,"Wichita, KS",Wichita,KS,Kansas,USA
Brodrick Bunkley,BunkBr20,2006,14,1,DT,Florida St.,PHI,birth,"Tampa, FL",Tampa,FL,Florida,USA
Tye Hill,HillTy20,2006,15,1,DB,Clemson,STL,birth,"St. George, SC",St. George,SC,South Carolina,USA
Jason Allen,AlleJa23,2006,16,1,DB,Tennessee,MIA,birth,"Muscle Shoals, AL",Muscle Shoals,AL,Alabama,USA
Chad Greenway,GreeCh99,2006,17,1,LB,Iowa,MIN,birth,"Mount Vernon, SD",Mount Vernon,SD,South Dakota,USA
Bobby Carpenter,CarpBo20,2006,18,1,LB,Ohio St.,DAL,birth,"Lancaster, OH",Lancaster,OH,Ohio,USA
Antonio Cromartie,CromAn20,2006,19,1,DB,Florida St.,SDG,birth,"Tallahassee, FL",Tallahassee,FL,Florida,USA
Tamba Hali,HaliTa20,2006,20,1,DE,Penn St.,KAN,birth,"Gbanga, Liberia",Gbanga,,,Liberia
Laurence Maroney,MaroLa00,2006,21,1,RB,Minnesota,NWE,birth,"St. Louis, MO",St. Louis,MO,Missouri,USA
Manny Lawson,LawsMa20,2006,22,1,DE,North Carolina St.,SFO,birth,"Goldsboro, NC",Goldsboro,NC,North Carolina,USA
Davin Joseph,JoseDa20,2006,23,1,G,Oklahoma,TAM,birth,"Hallandale, FL",Hallandale,FL,Florida,USA
Johnathan Joseph,JoseJo20,2006,24,1,DB,South Carolina,CIN,birth,"Rock Hill, SC",Rock Hill,SC,South Carolina,USA
Santonio Holmes,HolmSa00,2006,25,1,WR,Ohio St.,PIT,birth,"Belle Glade, FL",Belle Glade,FL,Florida,USA
John McCargo,McCaJo22,2006,26,1,DT,North Carolina St.,BUF,birth,"Drake's Branch, VA",Drake's Branch,VA,Virginia,USA
DeAngelo Williams,WillDe02,2006,27,1,RB,Memphis,CAR,birth,"Little Rock, AR",Little Rock,AR,Arkansas,USA
Marcedes Lewis,LewiMa00,2006,28,1,TE,UCLA,JAX,birth,"Long Beach, CA",Long Beach,CA,California,USA
Nick Mangold,MangNi20,2006,29,1,C,Ohio St.,NYJ,birth,"Centerville, OH",Centerville,OH,Ohio,USA
Joseph Addai,AddaJo00,2006,30,1,RB,LSU,IND,birth,"Houston, TX",Houston,TX,Texas,USA
Kelly Jennings,JennKe20,2006,31,1,DB,Miami (FL),SEA,birth,"Live Oak, FL",Live Oak,FL,Florida,USA
Mathias Kiwanuka,KiwaMa20,2006,32,1,DE,Boston Col.,NYG,birth,"Indianapolis, IN",Indianapolis,IN,Indiana,USA
DeMeco Ryans,RyanDe20,2006,33,2,LB,Alabama,HOU,birth,"Bessemer, AL",Bessemer,AL,Alabama,USA
D'Qwell Jackson,JackDQ20,2006,34,2,LB,Maryland,CLE,birth,"Largo, FL",Largo,FL,Florida,USA
Rocky McIntosh,McInRo20,2006,35,2,LB,Miami (FL),WAS,birth,"Gaffney, SC",Gaffney,SC,South Carolina,USA
Chad Jackson,JackCh00,2006,36,2,WR,Florida,NWE,birth,"Birmingham, AL",Birmingham,AL,Alabama,USA
Jimmy F. Williams,WillJi23,2006,37,2,DB,Virginia Tech,ATL,birth,"Hampton, VA",Hampton,VA,Virginia,USA
Thomas Howard,HowaTh20,2006,38,2,LB,Texas-El Paso,OAK,birth,"Lubbock, TX",Lubbock,TX,Texas,USA
Winston Justice,JustWi20,2006,39,2,T,USC,PHI,birth,"Long Beach, CA",Long Beach,CA,California,USA
Daniel Bullocks,BullDa20,2006,40,2,DB,Nebraska,DET,birth,"Chattanooga, TN",Chattanooga,TN,Tennessee,USA
Deuce Lutui,LutuDe20,2006,41,2,G,USC,ARI,birth,"Hai'api, Tonga",Hai'api,,,Tonga
Danieal Manning,MannDa21,2006,42,2,DB,Abilene Christian,CHI,birth,"Corsicana, TX",Corsicana,TX,Texas,USA
Roman Harper,HarpRo21,2006,43,2,DB,Alabama,NOR,birth,"Prattville, AL",Prattville,AL,Alabama,USA
Sinorice Moss,MossSi00,2006,44,2,WR,Miami (FL),NYG,birth,"Miami, FL",Miami,FL,Florida,USA
LenDale White,WhitLe01,2006,45,2,RB,USC,TEN,birth,"Denver, CO",Denver,CO,Colorado,USA
Joe Klopfenstein,KlopJo00,2006,46,2,TE,Colorado,STL,birth,"Denver, CO",Denver,CO,Colorado,USA
Daryn Colledge,CollDa20,2006,47,2,T,Boise St.,GNB,birth,"North Pole, AK",North Pole,AK,Alaska,USA
Cedric Griffin,GrifCe20,2006,48,2,DB,Texas,MIN,birth,"Natchez, MS",Natchez,MS,Mississippi,USA
Kellen Clemens,ClemKe00,2006,49,2,QB,Oregon,NYJ,birth,"Burns, OR",Burns,OR,Oregon,USA
Marcus McNeill,McNeMa20,2006,50,2,T,Auburn,SDG,birth,"Ellenwood, GA",Ellenwood,GA,Georgia,USA
Ryan Cook,CookRy20,2006,51,2,C,New Mexico,MIN,birth,"Albuquerque, NM",Albuquerque,NM,New Mexico,USA
Greg Jennings,JennGr00,2006,52,2,WR,West. Michigan,GNB,birth,"Kalamazoo, MI",Kalamazoo,MI,Michigan,USA
Anthony Fasano,FasaAn00,2006,53,2,TE,Notre Dame,DAL,birth,"Glen Ridge, NJ",Glen Ridge,NJ,New Jersey,USA
