"","country","year_code","athletes","total_medals","gold_medals","silver_medals","bronze_medals","rgb_color","image_url","detail","date","pos_date"
"11","Kazakhstan",1994,1,3,1,2,0,"rgb(0,159,191)","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kazakhstan</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 3<br>Gold Medals: 1<br>Silver Medals: 2<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",1994-02-10,760838400000
"14","Russia",1994,28,36,19,13,4,"rgb(0,31,152)","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Russia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 36<br>Gold Medals: 19<br>Silver Medals: 13<br>Bronze Medals: 4<br>Athletes: 28</td></tr></table>",1994-02-10,760838400000
"21","Ukraine",1994,2,2,1,0,1,"rgb(255,208,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ukraine</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 2<br>Gold Medals: 1<br>Silver Medals: 0<br>Bronze Medals: 1<br>Athletes: 2</td></tr></table>",1994-02-10,760838400000
"31","Uzbekistan",1994,1,1,1,0,0,"rgb(0,135,168)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/200px-Flag_of_Uzbekistan.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Uzbekistan</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/200px-Flag_of_Uzbekistan.svg.png' height='125' width='100'></td><td align='left'>Year: 1994<br>Total Medals: 1<br>Gold Medals: 1<br>Silver Medals: 0<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",1994-02-10,760838400000
"2","Belarus",1998,2,2,0,0,2,"rgb(58, 154, 66)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Belarus</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png' height='125' width='100'></td><td align='left'>Year: 1998<br>Total Medals: 2<br>Gold Medals: 0<br>Silver Medals: 0<br>Bronze Medals: 2<br>Athletes: 2</td></tr></table>",1998-02-10,887068800000
"9","Kazakhstan",1998,2,2,0,0,2,"rgb(0,159,191)","http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kazakhstan</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/200px-Flag_of_Kazakhstan.svg.png' height='125' width='100'></td><td align='left'>Year: 1998<br>Total Medals: 2<br>Gold Medals: 0<br>Silver Medals: 0<br>Bronze Medals: 2<br>Athletes: 2</td></tr></table>",1998-02-10,887068800000
"15","Russia",1998,45,31,14,11,6,"rgb(0,31,152)","http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Russia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/200px-Flag_of_Russia.svg.png' height='125' width='100'></td><td align='left'>Year: 1998<br>Total Medals: 31<br>Gold Medals: 14<br>Silver Medals: 11<br>Bronze Medals: 6<br>Athletes: 45</td></tr></table>",1998-02-10,887068800000
"19","Ukraine",1998,1,1,0,1,0,"rgb(255,208,0)","http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ukraine</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/200px-Flag_of_Ukraine.svg.png' height='125' width='100'></td><td align='left'>Year: 1998<br>Total Medals: 1<br>Gold Medals: 0<br>Silver Medals: 1<br>Bronze Medals: 0<br>Athletes: 1</td></tr></table>",1998-02-10,887068800000
"4","Belarus",2002,1,1,0,0,1,"rgb(58, 154, 66)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Belarus</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/200px-Flag_of_Belarus.svg.png' height='125' width='100'></td><td align='left'>Year: 2002<br>Total Medals: 1<br>Gold Medals: 0<br>Silver Medals: 0<br>Bronze Medals: 1<br>Athletes: 1</td></tr></table>",2002-02-10,1013299200000
"6","Estonia",2002,2,3,1,1,1,"rgb(55, 122, 11)","http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png","<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Estonia</th></tr><tr><td><img src='http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/200px-Flag_of_Estonia.svg.png' height='125' width='100'></td><td align='left'>Year: 2002<br>Total Medals: 3<br>Gold Medals: 1<br>Silver Medals: 1<br>Bronze Medals: 1<br>Athletes: 2</td></tr></table>",2002-02-10,1013299200000
