team,player,player_off_roster_13,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,total
Clippers,Chris Paul,FALSE,18668431,20068563,21468695,22868827,24268959,NA,107343475
Clippers,Blake Griffin,FALSE,16441500,17674613,18907725,20140838,21373950,NA,94538626
Clippers,DeAndre Jordan,FALSE,10986550,11440123,NA,NA,NA,NA,22426673
Clippers,J.J. Redick,FALSE,6500000,6792500,7085000,7377500,NA,NA,27755000
Clippers,Jamal Crawford,FALSE,5225000,5450000,5675000,NA,NA,NA,16350000
Clippers,Jared Dudley,FALSE,4250000,4250000,4250000,NA,NA,NA,12750000
Clippers,Matt Barnes,FALSE,3250000,3396250,3542500,NA,NA,NA,10188750
Clippers,Darren Collison,FALSE,1900000,1985500,NA,NA,NA,NA,3885500
Clippers,Willie Green,FALSE,1399507,1448490,NA,NA,NA,NA,2847997
Clippers,Reggie Bullock,FALSE,1149000,1200720,1252440,2255644,3313542,NA,5857804
Clippers,Byron Mullens,FALSE,947907,1063384,NA,NA,NA,NA,2011291
Clippers,Ryan Hollins,FALSE,884293,NA,NA,NA,NA,NA,884293
Clippers,Antawn Jamison,FALSE,884293,NA,NA,NA,NA,NA,884293
Clippers,Maalik Wayns,FALSE,788872,1115243,NA,NA,NA,NA,788872
Clippers,Brandon Davies,FALSE,490180,816482,1147276,NA,NA,NA,1306662
Grizzlies,Zach Randolph,FALSE,18238333,16938333,NA,NA,NA,NA,35176666
Grizzlies,Marc Gasol,FALSE,14860523,15829688,NA,NA,NA,NA,30690211
Grizzlies,Mike Conley,FALSE,8600001,9294216,9988426,NA,NA,NA,27882643
Grizzlies,Tayshaun Prince,FALSE,7235955,7707865,NA,NA,NA,NA,14943820
Grizzlies,Tony Allen,FALSE,4494383,4831461,5168539,5505618,NA,NA,20000001
Grizzlies,Ed Davis,FALSE,3153860,4361789,NA,NA,NA,NA,3153860
Grizzlies,Jerryd Bayless,FALSE,3135000,NA,NA,NA,NA,NA,3135000
Grizzlies,Kosta Koufos,FALSE,3000000,3000000,NA,NA,NA,NA,6000000
Grizzlies,Quincy Pondexter,FALSE,2225479,3284807,NA,NA,NA,NA,2225479
Grizzlies,Jon Leuer,FALSE,900000,967500,1035000,NA,NA,NA,2902500
