Player_Name,Draft_Year,Player_Combine_Year,Player_Height_WO_Shoes,Player_Height_WO_Shoes_Inches,Player_Height_W_Shoes,Player_Height_W_Shoes_Inches,Player_Height,Player_Height_Inches,Player_Weight_LBS,Player_Wingspan,Player_Wingspan_Inches,Player_Reach,Player_Reach_Inches,Player_Bodyfat_Percent,Player_Hand_Length_Inches,Player_Hand_Width_Inches,Player_Vertical_No_Step,Player_Vertical_No_Step_Reach,Player_Vertical_No_Step_Reach_Inches,Player_Max_Vertical_Inches,Player_Max_Vertical_Reach,Player_Max_Vertical_Reach_Inches,Player_Bench_225,Player_Agility_Seconds,Player_Sprint_Three_Quarter_Court,Player_Rank,Pick,Player_DraftExpress_Profile,Player_DraftExpress_Stats,Player_DBPedia_URL,Player_DBPedia_Data,ID.Pick,Round,Round.Pick,Pick_2,Draft_Franchise,Postdraft_Franchise,Player_Drafted_From,Player_Birthday
Aaron Brown,2010,2010,"6'4""",76,NA,NA,6.43333076,77.2,201,"6'10""",82,"8'2""",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-BrownNA47/,draftexpress.com/profile/Aaron-BrownNA47/stats,live.dbpedia.org/page/Aaron_Brown,live.dbpedia.org/data/Aaron_Brown.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Bruce,2008,2008,"6'1.75""",73.75,"6'2.5""",74.5,6.20833085,74.5,182,"6'4""",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Bruce-344/,draftexpress.com/profile/Aaron-Bruce-344/stats,live.dbpedia.org/page/Aaron_Bruce,live.dbpedia.org/data/Aaron_Bruce.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2011,2011,NA,NA,"6'8""",80,6.666664,80,207,"6'11""",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Gordon-6458/,draftexpress.com/profile/Aaron-Gordon-6458/stats,live.dbpedia.org/page/Aaron_Gordon,live.dbpedia.org/data/Aaron_Gordon.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gordon,2013,2013,NA,NA,"6'9""",81,6.7499973,81,212,"6'11.5""",83.5,"8'10.5""",106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Gordon-6458/,draftexpress.com/profile/Aaron-Gordon-6458/stats,live.dbpedia.org/page/Aaron_Gordon,live.dbpedia.org/data/Aaron_Gordon.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gray,2006,2006,"7'0""",84,"7'1""",85,7.0833305,85,280,"7'3""",87,"9'1""",109,0.15,NA,NA,26.5,"11'3.5""",135.5,30.5,"11'7.5""",139.5,17,12.63,3.71,75,49,draftexpress.com/profile/Aaron-Gray-453/,draftexpress.com/profile/Aaron-Gray-453/stats,live.dbpedia.org/page/Aaron_Gray,live.dbpedia.org/data/Aaron_Gray.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Gray,2007,2007,"7'0""",84,"7'1.75""",85.75,7.145830475,85.75,271,"7'3.25""",87.25,"9'0.5""",108.5,0.15,NA,NA,27,"11'3.5""",135.5,32.5,"11'9""",141,17,12.07,3.7,65,49,draftexpress.com/profile/Aaron-Gray-453/,draftexpress.com/profile/Aaron-Gray-453/stats,live.dbpedia.org/page/Aaron_Gray,live.dbpedia.org/data/Aaron_Gray.json,2.19,2,19,49,Bulls,Bulls,Pittsburgh,12/7/84
Aaron Harrison,2011,2011,NA,NA,"6'6""",78,6.4999974,78,200,"6'8""",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Harrison-6459/,draftexpress.com/profile/Aaron-Harrison-6459/stats,live.dbpedia.org/page/Aaron_Harrison,live.dbpedia.org/data/Aaron_Harrison.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Harrison,2012,2012,NA,NA,"6'5""",77,6.4166641,77,212,"6'7.5""",79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Harrison-6459/,draftexpress.com/profile/Aaron-Harrison-6459/stats,live.dbpedia.org/page/Aaron_Harrison,live.dbpedia.org/data/Aaron_Harrison.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Harrison,2013,2013,NA,NA,"6'5""",77,6.4166641,77,210,"6'8""",80,"8'2""",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Harrison-6459/,draftexpress.com/profile/Aaron-Harrison-6459/stats,live.dbpedia.org/page/Aaron_Harrison,live.dbpedia.org/data/Aaron_Harrison.json,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jackson,2009,2009,"6'3""",75,"6'4.5""",76.5,6.37499745,76.5,182,"6'3.5""",75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,draftexpress.com/profile/Aaron-Jackson-5677/,draftexpress.com/profile/Aaron-Jackson-5677/stats,live.dbpedia.org/page/Aaron_Jackson,live.dbpedia.org/data/Aaron_Jackson.json,NA,NA,NA,NA,NA,NA,NA,NA
