"","player","league","team","player_off_roster_13_14","season","id_contract_type","salary","agency","agent","salary_amnesty"
"61","Andrew Bynum","nba","Cavaliers",FALSE,"2013-2014","U",12250000,"David Lee Services","David Lee",FALSE
"62","Andrew Bynum","nba","Cavaliers",FALSE,"2014-2015","U",12540000,"David Lee Services","David Lee",FALSE
"63","Andrew Nicholson","nba","Magic",FALSE,"2016-2017","QO",3394726,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"64","Andrew Nicholson","nba","Magic",FALSE,"2015-2016","TO",2380594,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"65","Andrew Nicholson","nba","Magic",FALSE,"2014-2015","TO",1545840,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"66","Andrew Nicholson","nba","Magic",FALSE,"2013-2014","G",1482000,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"67","Andris Biedrins","nba","Jazz",FALSE,"2013-2014","G",9000000,"BDA Sports Management","Bill Duffy",FALSE
"68","Antawn Jamison","nba","Clippers",FALSE,"2013-2014","G",884293,"Wasserman Media Group","Arn Tellem",FALSE
"69","Anthony Bennett","nba","Cavaliers",FALSE,"2014-2015","G",5563920,"Excel Sports Management","Jeff Schwartz",FALSE
"70","Anthony Bennett","nba","Cavaliers",FALSE,"2013-2014","G",5324280,"Excel Sports Management","Jeff Schwartz",FALSE
"71","Anthony Bennett","nba","Cavaliers",FALSE,"2015-2016","TO",5803560,"Excel Sports Management","Jeff Schwartz",FALSE
"72","Anthony Bennett","nba","Cavaliers",FALSE,"2017-2018","QO",9513776,"Excel Sports Management","Jeff Schwartz",FALSE
"73","Anthony Bennett","nba","Cavaliers",FALSE,"2016-2017","TO",7318289,"Excel Sports Management","Jeff Schwartz",FALSE
"74","Anthony Davis","nba","Pelicans",FALSE,"2016-2017","QO",9191949,"Wasserman Media Group","Arn Tellem",FALSE
"75","Anthony Davis","nba","Pelicans",FALSE,"2014-2015","TO",5607240,"Wasserman Media Group","Arn Tellem",FALSE
"76","Anthony Davis","nba","Pelicans",FALSE,"2015-2016","TO",7070730,"Wasserman Media Group","Arn Tellem",FALSE
"77","Anthony Davis","nba","Pelicans",FALSE,"2013-2014","G",5375760,"Wasserman Media Group","Arn Tellem",FALSE
"78","Anthony Morrow","nba","Pelicans",FALSE,"2014-2015","PO",1145685,"Perennial","Wallace Prather",FALSE
"79","Anthony Morrow","nba","Pelicans",FALSE,"2013-2014","G",1027424,"Perennial","Wallace Prather",FALSE
"80","Anthony Randolph","nba","Nuggets",FALSE,"2013-2014","G",1750000,"BDA Sports Management","Bill Duffy",FALSE
"81","Anthony Randolph","nba","Nuggets",FALSE,"2014-2015","G",1825359,"BDA Sports Management","Bill Duffy",FALSE
"82","Anthony Tolliver","nba","Bobcats",FALSE,"2013-2014","G",884293,"Lee Basketball Services LTD","Larry Fox",FALSE
"83","Archie Goodwin","nba","Suns",FALSE,"2016-2017","TO",2094089,"Briscoe Sports Management","Charlie Briscoe",FALSE
"84","Archie Goodwin","nba","Suns",FALSE,"2017-2018","QO",3141133,"Briscoe Sports Management","Charlie Briscoe",FALSE
"85","Archie Goodwin","nba","Suns",FALSE,"2014-2015","G",1112280,"Briscoe Sports Management","Charlie Briscoe",FALSE
"86","Archie Goodwin","nba","Suns",FALSE,"2015-2016","TO",1160160,"Briscoe Sports Management","Charlie Briscoe",FALSE
"87","Archie Goodwin","nba","Suns",FALSE,"2013-2014","G",1064400,"Briscoe Sports Management","Charlie Briscoe",FALSE
"88","Arinze Onuaku","nba","Pelicans",FALSE,"2013-2014","U",490180,"Assist Sports","Eric Fleisher",FALSE
"89","Arinze Onuaku","nba","Pelicans",FALSE,"2014-2015","U",816482,"Assist Sports","Eric Fleisher",FALSE
"90","Arinze Onuaku","nba","Pelicans",FALSE,"2015-2016","QO",1147276,"Assist Sports","Eric Fleisher",FALSE
"91","Arnett Moultrie","nba","Sixers",FALSE,"2015-2016","TO",2049633,"The Alliance Management Group","Derek Lafayette",FALSE
"92","Arnett Moultrie","nba","Sixers",FALSE,"2016-2017","QO",3039605,"The Alliance Management Group","Derek Lafayette",FALSE
"93","Arnett Moultrie","nba","Sixers",FALSE,"2013-2014","G",1089240,"The Alliance Management Group","Derek Lafayette",FALSE
"94","Arnett Moultrie","nba","Sixers",FALSE,"2014-2015","TO",1136160,"The Alliance Management Group","Derek Lafayette",FALSE
"95","Aron Baynes","nba","Spurs",FALSE,"2014-2015","QO",1115243,"Entersport","Marc Fleisher",FALSE
"96","Aron Baynes","nba","Spurs",FALSE,"2013-2014","G",788872,"Entersport","Marc Fleisher",FALSE
"97","Arron Afflalo","nba","Magic",FALSE,"2014-2015","G",7500000,"Excel Sports Management","Jeff Schwartz",FALSE
"98","Arron Afflalo","nba","Magic",FALSE,"2013-2014","G",7500000,"Excel Sports Management","Jeff Schwartz",FALSE
"99","Arron Afflalo","nba","Magic",FALSE,"2015-2016","PO",7500000,"Excel Sports Management","Jeff Schwartz",FALSE
"100","Austin Daye","nba","Raptors",FALSE,"2013-2014","G",947907,"Landmark Sports Agency","Rob Pelinka",FALSE
"101","Austin Daye","nba","Raptors",FALSE,"2014-2015","U",1063384,"Landmark Sports Agency","Rob Pelinka",FALSE
"102","Austin Rivers","nba","Pelicans",FALSE,"2013-2014","G",2339040,"FAME","David Falk",FALSE
"103","Austin Rivers","nba","Pelicans",FALSE,"2016-2017","QO",4236904,"FAME","David Falk",FALSE
"104","Austin Rivers","nba","Pelicans",FALSE,"2014-2015","TO",2439840,"FAME","David Falk",FALSE
"105","Austin Rivers","nba","Pelicans",FALSE,"2015-2016","TO",3110796,"FAME","David Falk",FALSE
"106","Avery Bradley","nba","Celtics",FALSE,"2014-2015","QO",3581302,"Lagardere Unlimited","Mitchell Butler",FALSE
"107","Avery Bradley","nba","Celtics",FALSE,"2013-2014","G",2511432,"Lagardere Unlimited","Mitchell Butler",FALSE
"108","B.J. Young","nba","Rockets",FALSE,"2015-2016","U",947276,"Briscoe Sports Management","Charlie Briscoe",FALSE
"109","B.J. Young","nba","Rockets",FALSE,"2016-2017","QO",1215696,"Briscoe Sports Management","Charlie Briscoe",FALSE
"110","B.J. Young","nba","Rockets",FALSE,"2013-2014","U",490180,"Briscoe Sports Management","Charlie Briscoe",FALSE
"111","B.J. Young","nba","Rockets",FALSE,"2014-2015","U",816482,"Briscoe Sports Management","Charlie Briscoe",FALSE
"112","Ben Gordon","nba","Bobcats",FALSE,"2013-2014","G",13200000,"IAM Sports","Raymond Brothers",FALSE
"113","Ben McLemore","nba","Kings",FALSE,"2017-2018","QO",5375911,"Rival Sports Group","Tony Dutt",FALSE
"114","Ben McLemore","nba","Kings",FALSE,"2013-2014","G",2895960,"Rival Sports Group","Tony Dutt",FALSE
"115","Ben McLemore","nba","Kings",FALSE,"2016-2017","TO",4008882,"Rival Sports Group","Tony Dutt",FALSE
"116","Ben McLemore","nba","Kings",FALSE,"2015-2016","TO",3156600,"Rival Sports Group","Tony Dutt",FALSE
"117","Ben McLemore","nba","Kings",FALSE,"2014-2015","G",3026280,"Rival Sports Group","Tony Dutt",FALSE
"118","Beno Udrih","nba","Knicks",FALSE,"2013-2014","G",884293,"Pinnacle Management Corporation","Marc Cornstein",FALSE
"119","Bernard James","nba","Mavericks",FALSE,"2013-2014","G",788872,"Relativity Sports","Dan Fegan",FALSE
"120","Bernard James","nba","Mavericks",FALSE,"2014-2015","QO",1115243,"Relativity Sports","Dan Fegan",FALSE
"121","Bismack Biyombo","nba","Bobcats",FALSE,"2013-2014","G",3049920,"Wasserman Media Group","Arn Tellem",FALSE
"122","Bismack Biyombo","nba","Bobcats",FALSE,"2015-2016","QO",5194227,"Wasserman Media Group","Arn Tellem",FALSE
"123","Bismack Biyombo","nba","Bobcats",FALSE,"2014-2015","TO",3873398,"Wasserman Media Group","Arn Tellem",FALSE
"124","Blake Griffin","nba","Clippers",FALSE,"2015-2016","G",18907725,"Excel Sports Management","Jeff Schwartz",FALSE
"125","Blake Griffin","nba","Clippers",FALSE,"2014-2015","G",17674613,"Excel Sports Management","Jeff Schwartz",FALSE
"126","Blake Griffin","nba","Clippers",FALSE,"2017-2018","ETO",21373950,"Excel Sports Management","Jeff Schwartz",FALSE
"127","Blake Griffin","nba","Clippers",FALSE,"2013-2014","G",16441500,"Excel Sports Management","Jeff Schwartz",FALSE
"128","Blake Griffin","nba","Clippers",FALSE,"2016-2017","G",20140838,"Excel Sports Management","Jeff Schwartz",FALSE
"129","Boris Diaw","nba","Spurs",FALSE,"2013-2014","G",4702500,"The Neustadt Group","Doug Neustadt",FALSE
"130","Bradley Beal","nba","Wizards",FALSE,"2015-2016","TO",5694674,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"131","Bradley Beal","nba","Wizards",FALSE,"2016-2017","U",7471412,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"132","Bradley Beal","nba","Wizards",FALSE,"2013-2014","G",4319280,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"133","Bradley Beal","nba","Wizards",FALSE,"2014-2015","TO",4505280,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"134","Brandan Wright","nba","Mavericks",FALSE,"2014-2015","G",5000000,"Williams & Connolly","Jim Tanner",FALSE
"135","Brandan Wright","nba","Mavericks",FALSE,"2013-2014","G",5000000,"Williams & Connolly","Jim Tanner",FALSE
"136","Brandon Bass","nba","Celtics",FALSE,"2013-2014","G",6450000,"Rival Sports Group","Tony Dutt",FALSE
"137","Brandon Bass","nba","Celtics",FALSE,"2014-2015","G",6900000,"Rival Sports Group","Tony Dutt",FALSE
"138","Brandon Davies","nba","Clippers",FALSE,"2013-2014","U",490180,"BDA Sports Management","Bill Duffy",FALSE
"139","Brandon Davies","nba","Clippers",FALSE,"2015-2016","QO",1147276,"BDA Sports Management","Bill Duffy",FALSE
"140","Brandon Davies","nba","Clippers",FALSE,"2014-2015","U",816482,"BDA Sports Management","Bill Duffy",FALSE
"141","Brandon Jennings","nba","Pistons",FALSE,"2013-2014","G",7655503,"Excel Sports Management","Jeff Schwartz",FALSE
"142","Brandon Jennings","nba","Pistons",FALSE,"2014-2015","G",8000000,"Excel Sports Management","Jeff Schwartz",FALSE
"143","Brandon Jennings","nba","Pistons",FALSE,"2015-2016","G",8344497,"Excel Sports Management","Jeff Schwartz",FALSE
"144","Brandon Knight","nba","Bucks",FALSE,"2014-2015","TO",3553917,"Wasserman Media Group","Arn Tellem",FALSE
"145","Brandon Knight","nba","Bucks",FALSE,"2013-2014","G",2793960,"Wasserman Media Group","Arn Tellem",FALSE
"146","Brandon Knight","nba","Bucks",FALSE,"2015-2016","QO",4790680,"Wasserman Media Group","Arn Tellem",FALSE
"147","Brandon Rush","nba","Jazz",FALSE,"2013-2014","G",4000000,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"148","Brendan Haywood","nba","Bobcats",FALSE,"2013-2014","G",2050000,"ASM Sports","Andy Miller",FALSE
"149","Brendan Haywood","nba","Bobcats",FALSE,"2014-2015","G",2213688,"ASM Sports","Andy Miller",FALSE
"150","Brendan Haywood","nba","Bobcats",FALSE,"2015-2016","U",10522500,"ASM Sports","Andy Miller",FALSE
"151","Brian Roberts","nba","Pelicans",FALSE,"2014-2015","QO",1115243,"ASM Sports","Andy Miller",FALSE
"152","Brian Roberts","nba","Pelicans",FALSE,"2013-2014","G",788872,"ASM Sports","Andy Miller",FALSE
"153","Brook Lopez","nba","Nets",FALSE,"2013-2014","G",14693906,"Wasserman Media Group","Arn Tellem",FALSE
"154","Brook Lopez","nba","Nets",FALSE,"2014-2015","G",15719063,"Wasserman Media Group","Arn Tellem",FALSE
"155","Brook Lopez","nba","Nets",FALSE,"2015-2016","PO",16744218,"Wasserman Media Group","Arn Tellem",FALSE
"156","Byron Mullens","nba","Clippers",FALSE,"2013-2014","G",947907,"Wasserman Media Group","Arn Tellem",FALSE
"157","Byron Mullens","nba","Clippers",FALSE,"2014-2015","PO",1063384,"Wasserman Media Group","Arn Tellem",FALSE
"158","C.J. Leslie","nba","Knicks",FALSE,"2013-2014","U",490180,"Creative Artists Agency","Aaron Mintz",FALSE
"159","C.J. Leslie","nba","Knicks",FALSE,"2014-2015","U",816482,"Creative Artists Agency","Aaron Mintz",FALSE
"160","C.J. Leslie","nba","Knicks",FALSE,"2015-2016","QO",1147276,"Creative Artists Agency","Aaron Mintz",FALSE
"161","C.J. McCollum","nba","Trail Blazers",FALSE,"2015-2016","TO",2525160,"Excel Sports Management","Jeff Schwartz",FALSE
"162","C.J. McCollum","nba","Trail Blazers",FALSE,"2014-2015","G",2421000,"Excel Sports Management","Jeff Schwartz",FALSE
"163","C.J. McCollum","nba","Trail Blazers",FALSE,"2013-2014","G",2316720,"Excel Sports Management","Jeff Schwartz",FALSE
"164","C.J. McCollum","nba","Trail Blazers",FALSE,"2016-2017","TO",3219579,"Excel Sports Management","Jeff Schwartz",FALSE
"165","C.J. McCollum","nba","Trail Blazers",FALSE,"2017-2018","QO",4385067,"Excel Sports Management","Jeff Schwartz",FALSE
"166","C.J. Miles","nba","Cavaliers",FALSE,"2013-2014","G",2225000,"Independent","Billy Ceisler",FALSE
"167","C.J. Watson","nba","Pacers",FALSE,"2014-2015","G",2077000,"Excel Sports Management","Jeff Schwartz",FALSE
"168","C.J. Watson","nba","Pacers",FALSE,"2013-2014","G",2016000,"Excel Sports Management","Jeff Schwartz",FALSE
"169","Carl Landry","nba","Kings",FALSE,"2013-2014","G",6500000,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"170","Carl Landry","nba","Kings",FALSE,"2016-2017","G",6500000,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"171","Carl Landry","nba","Kings",FALSE,"2014-2015","G",6500000,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"172","Carl Landry","nba","Kings",FALSE,"2015-2016","G",6500000,"Priority Sports & Entertainment","Mark Bartelstein",FALSE
"173","Carlos Boozer","nba","Bulls",FALSE,"2014-2015","G",16800000,"Landmark Sports Agency","Rob Pelinka",FALSE
"174","Carlos Boozer","nba","Bulls",FALSE,"2013-2014","G",15300000,"Landmark Sports Agency","Rob Pelinka",FALSE
"175","Carlos Delfino","nba","Bucks",FALSE,"2014-2015","G",3250000,"ASM Sports","Andy Miller",FALSE
"176","Carlos Delfino","nba","Bucks",FALSE,"2013-2014","G",3250000,"ASM Sports","Andy Miller",FALSE
"177","Carlos Delfino","nba","Bucks",FALSE,"2015-2016","U",3250000,"ASM Sports","Andy Miller",FALSE
"178","Carmelo Anthony","nba","Knicks",FALSE,"2013-2014","G",21388954,"Creative Artists Agency","Leon Rose",FALSE
"179","Carmelo Anthony","nba","Knicks",FALSE,"2014-2015","ETO",23333405,"Creative Artists Agency","Leon Rose",FALSE
"180","Caron Butler","nba","Bucks",FALSE,"2013-2014","G",8000000,"IAM Sports","Raymond Brothers",FALSE
"181","Carrick Felix","nba","Cavaliers",FALSE,"2015-2016","U",947276,"Stratosphere Sports","Todd Eley",FALSE
"182","Carrick Felix","nba","Cavaliers",FALSE,"2013-2014","G",510000,"Stratosphere Sports","Todd Eley",FALSE
"183","Carrick Felix","nba","Cavaliers",FALSE,"2014-2015","U",816482,"Stratosphere Sports","Todd Eley",FALSE
"184","Carrick Felix","nba","Cavaliers",FALSE,"2016-2017","TO",1015696,"Stratosphere Sports","Todd Eley",FALSE
"185","Chandler Parsons","nba","Rockets",FALSE,"2014-2015","U",964750,"Relativity Sports","Dan Fegan",FALSE
"186","Chandler Parsons","nba","Rockets",FALSE,"2013-2014","G",926500,"Relativity Sports","Dan Fegan",FALSE
"187","Channing Frye","nba","Suns",FALSE,"2013-2014","G",6400000,"Landmark Sports Agency","Rob Pelinka",FALSE
"188","Channing Frye","nba","Suns",FALSE,"2014-2015","PO",6800000,"Landmark Sports Agency","Rob Pelinka",FALSE
"189","Charlie Villanueva","nba","Pistons",FALSE,"2013-2014","G",8580000,"Excel Sports Management","Jeff Schwartz",FALSE
"190","Chase Budinger","nba","Timberwolves",FALSE,"2014-2015","G",5000000,"BDA Sports Management","Kevin Bradbury",FALSE
"191","Chase Budinger","nba","Timberwolves",FALSE,"2015-2016","PO",5000000,"BDA Sports Management","Kevin Bradbury",FALSE
"192","Chase Budinger","nba","Timberwolves",FALSE,"2013-2014","G",5000000,"BDA Sports Management","Kevin Bradbury",FALSE
"193","Chauncey Billups","nba","Pistons",FALSE,"2014-2015","TO",2500000,"ASM Sports","Andy Miller",FALSE
"194","Chauncey Billups","nba","Pistons",FALSE,"2013-2014","G",2500000,"ASM Sports","Andy Miller",FALSE
"195","Chris Andersen","nba","Heat",FALSE,"2014-2015","PO",1448490,"Creative Artists Agency","Steve Heumann",FALSE
"196","Chris Andersen","nba","Heat",FALSE,"2013-2014","G",1399507,"Creative Artists Agency","Steve Heumann",FALSE
"197","Chris Bosh","nba","Heat",FALSE,"2014-2015","ETO",20590000,"Creative Artists Agency","Henry Thomas",FALSE
"198","Chris Bosh","nba","Heat",FALSE,"2013-2014","G",19067500,"Creative Artists Agency","Henry Thomas",FALSE
"199","Chris Bosh","nba","Heat",FALSE,"2015-2016","PO",22112500,"Creative Artists Agency","Henry Thomas",FALSE
"200","Chris Copeland","nba","Pacers",FALSE,"2014-2015","G",3135000,"540 Sports and Entertainment LLC","John Spencer",FALSE
"201","Chris Copeland","nba","Pacers",FALSE,"2015-2016","QO",3918750,"540 Sports and Entertainment LLC","John Spencer",FALSE
"202","Chris Copeland","nba","Pacers",FALSE,"2013-2014","G",3000000,"540 Sports and Entertainment LLC","John Spencer",FALSE
"203","Chris Duhon","nba","Lakers",TRUE,"2013-2014","G",1500000,"BDA Sports Management","Kevin Bradbury",FALSE
"204","Chris Johnson","nba","Timberwolves",FALSE,"2013-2014","G",916099,"Assist Sports","Eric Fleisher",FALSE
"205","Chris Kaman","nba","Lakers",FALSE,"2013-2014","G",3183000,"Landmark Sports Agency","Rob Pelinka",FALSE
"206","Chris Paul","nba","Clippers",FALSE,"2013-2014","G",18668431,"Creative Artists Agency","Leon Rose",FALSE
"207","Chris Paul","nba","Clippers",FALSE,"2017-2018","ETO",24268959,"Creative Artists Agency","Leon Rose",FALSE
"208","Chris Paul","nba","Clippers",FALSE,"2014-2015","G",20068563,"Creative Artists Agency","Leon Rose",FALSE
"209","Chris Paul","nba","Clippers",FALSE,"2015-2016","G",21468695,"Creative Artists Agency","Leon Rose",FALSE
"210","Chris Paul","nba","Clippers",FALSE,"2016-2017","G",22868827,"Creative Artists Agency","Leon Rose",FALSE
"211","Chris Singleton","nba","Wizards",FALSE,"2015-2016","QO",3532643,"BDA Sports Management","Bill Duffy",FALSE
"212","Chris Singleton","nba","Wizards",FALSE,"2013-2014","G",1618680,"BDA Sports Management","Bill Duffy",FALSE
"213","Chris Singleton","nba","Wizards",FALSE,"2014-2015","TO",2489530,"BDA Sports Management","Bill Duffy",FALSE
"214","Chris Smith","nba","Knicks",FALSE,"2013-2014","U",490180,"Creative Artists Agency","Leon Rose",FALSE
"215","Chris Smith","nba","Knicks",FALSE,"2014-2015","U",816482,"Creative Artists Agency","Leon Rose",FALSE
"216","Chris Smith","nba","Knicks",FALSE,"2015-2016","QO",1147276,"Creative Artists Agency","Leon Rose",FALSE
"217","Chuck Hayes","nba","Kings",FALSE,"2014-2015","G",5958750,"BDA Sports Management","Bill Duffy",FALSE
"218","Chuck Hayes","nba","Kings",FALSE,"2013-2014","G",5722500,"BDA Sports Management","Bill Duffy",FALSE
"219","Cody Zeller","nba","Bobcats",FALSE,"2015-2016","TO",4204200,"Excel Sports Management","Jeff Schwartz",FALSE
"220","Cody Zeller","nba","Bobcats",FALSE,"2014-2015","G",4030560,"Excel Sports Management","Jeff Schwartz",FALSE
"221","Cody Zeller","nba","Bobcats",FALSE,"2016-2017","TO",5318313,"Excel Sports Management","Jeff Schwartz",FALSE
"222","Cody Zeller","nba","Bobcats",FALSE,"2017-2018","QO",7014855,"Excel Sports Management","Jeff Schwartz",FALSE
"223","Cody Zeller","nba","Bobcats",FALSE,"2013-2014","G",3857040,"Excel Sports Management","Jeff Schwartz",FALSE
"224","Corey Brewer","nba","Timberwolves",FALSE,"2014-2015","G",4702500,"Relativity Sports","Dan Fegan",FALSE
"225","Corey Brewer","nba","Timberwolves",FALSE,"2013-2014","G",4500000,"Relativity Sports","Dan Fegan",FALSE
