agent,agent_hoopshype_url,agent_nationality,agency,agency_url
Brian Elfus,http://hoopshype.com/agents/brian_elfus.htm,American,Impact Sports Basketball,
Derrick Powell,http://hoopshype.com/agents/derek_powell.htm,American,Excel Sports Management,www.excelsm.com
Jared Karnes,http://hoopshype.com/agents/jared_karnes.htm,American,Allegiant Athletic Agency,www.a3athletics.com
Max Ergul,http://hoopshype.com/agents/max_ergul.htm,American,Independent,
John Spencer,http://hoopshype.com/agents/john_spencer.htm,American,540 Sports and Entertainment LLC,www.540se.com
Bernie Lee,http://hoopshype.com/agents/bernie_lee.htm,Canadian,Lee Basketball Services LTD,www.leebasket.com
Kenny Grant,http://hoopshype.com/agents/kenny_grant.htm,American,Championship Sports,
Mitchell Butler,http://hoopshype.com/agents/mitchell_butler.htm,American,Lagardere Unlimited,www.lagardere-unlimited.com
Andrew Vye,http://hoopshype.com/agents/andrew_vye.htm,American,ASM Sports,www.asmsports.com
Aleksander Raskovic,http://hoopshype.com/agents/aleksander_raskovic.htm,Serbian,Wasserman Media Group,www.wmgllc.com
Makhtar Ndiaye,http://hoopshype.com/agents/makhtar_ndiaye.htm,American,Wasserman Media Group,www.wmgllc.com
Andre Buck,http://hoopshype.com/agents/andre_buck.htm,American,Arete Sports Agency,aretesportsagency.com
Jerry Hicks,http://hoopshype.com/agents/jerry_hicks.htm,American,Independent,
Kurt Schoeppler,http://hoopshype.com/agents/kurt_schoeppler.htm,American,IMG,img.com
Obrad Fimic,http://hoopshype.com/agents/obrad_fimic.htm,Russian,Alti Sport,www.altisport.net
Mark Termini,http://hoopshype.com/agents/mark_termini.htm,American,Mark Termini Associates,
Rafael Calvo,http://hoopshype.com/agents/rafael_calvo.htm,Spainish,Elite Sports,www.elitesports.es
Mitch Frankel,http://hoopshype.com/agents/mitch_frankel.htm,American,Impact Sports Basketball,
Dan Tobin,http://hoopshype.com/agents/dan_tobin.htm,American,Wasserman Media Group,www.wmgllc.com
Todd Ramasar,http://hoopshype.com/agents/todd_ramasar.htm,American,BDA Sports Management,www.bdasports.com
Seth Cohen,http://hoopshype.com/agents/seth_cohen.htm,American,Verus Management Team,www.verusteam.com
Gregory Nunn,http://hoopshype.com/agents/gregory_nunn.htm,American,Premier Sports,
Chris Patrick,http://hoopshype.com/agents/chris_patrick.htm,American,Relativity Sports,www.relativitysports.com
Ademola Okulaja,http://hoopshype.com/agents/ademola_okulaja.htm,German,Octagon Athlete Representation,www.octagon.com
Charlie Briscoe,http://hoopshype.com/agents/charlie_briscoe.htm,American,Briscoe Sports Management,www.bsmsportsllc.com
Emilio Duran,http://hoopshype.com/agents/emilio_duran.htm,American,Duran International Sports Management,
Lance Young,http://hoopshype.com/agents/lance_young.htm,American,Excel Sports Management,www.excelsm.com
Derek Lafayette,http://hoopshype.com/agents/derek_lafayette.htm,American,The Alliance Management Group,thealliancestl.com
Larry Fox,http://hoopshype.com/agents/larry_fox.htm,American,Lee Basketball Services LTD,
Merle Scott,http://hoopshype.com/agents/merle_scott.htm,American,United Sports and Entertainment Group,
Keith Kreiter,http://hoopshype.com/agents/keith_kreiter.htm,American,Edge Sports,www.edgesportsintl.com
Brian Dyke,http://hoopshype.com/agents/brian_dyke.htm,American,Shibumi Sports,www.shibumisports.com
Glenn Schwartzman,http://hoopshype.com/agents/glenn_schwartzman.htm,American,Alliance Sports Management,http://www.alliancesportsmanagement.com/
Michael Silverman,http://hoopshype.com/agents/michael_silverman.htm,American,Athlete Management,www.athletemgmt.com
Austin Walton,http://hoopshype.com/agents/austin_walton.htm,American,Walton Sports,www.wsmg.com
Ara Vartanian,http://hoopshype.com/agents/ara_vartanian.htm,American,Vartanian Sports Management,
