"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"61",3,"Chicago Bulls",329,5,117,51.7,9,2002,"NBATeamValues02.xls",32.7,NA
"62",4,"Portland Trail Blazers",283,4,101,-19.3,48,2002,"NBATeamValues02.xls",89.5,NA
"63",5,"Philadelphia 76ers",279,19,103,11.1,22,2002,"NBATeamValues02.xls",53.6,NA
"64",6,"Phoenix Suns",266,6,102,25.2,50,2002,"NBATeamValues02.xls",45.5,NA
"65",7,"Miami Heat",248,10,99,1.3,75,2002,"NBATeamValues02.xls",66.9,NA
"66",8,"Houston Rockets",234,13,81,3.8,17,2002,"NBATeamValues02.xls",52.3,NA
"67",9,"Indiana Pacers ",231,0,89,0.7,24,2002,"NBATeamValues02.xls",57.6,NA
"68",10,"Detroit Pistons",230,-2,92,18,0,2002,"NBATeamValues02.xls",40.5,NA
"69",11,"Utah Jazz",225,0,88,2.5,17,2002,"NBATeamValues02.xls",56.7,NA
"70",12,"San Antonio Spurs",221,17,82,-2.4,18,2002,"NBATeamValues02.xls",60.2,NA
"71",13,"Boston Celtics",218,3,81,9.8,25,2002,"NBATeamValues02.xls",49.5,NA
"72",14,"Washington Wizards",214,2,81,-5.7,52,2002,"NBATeamValues02.xls",62.1,NA
"73",15,"Dallas Mavericks",211,26,68,-23.4,50,2002,"NBATeamValues02.xls",59.9,NA
"74",16,"Sacramento Kings",209,17,87,10,48,2002,"NBATeamValues02.xls",49.1,NA
"75",17,"Cleveland Cavaliers",202,9,75,7.1,0,2002,"NBATeamValues02.xls",47.8,NA
"76",18,"Seattle SuperSonics",200,7,80,2.1,50,2002,"NBATeamValues02.xls",53.6,NA
"77",19,"Atlanta Hawks",199,8,76,5.8,30,2002,"NBATeamValues02.xls",42.2,NA
"78",20,"Denver Nuggets",188,7,72,-7.6,36,2002,"NBATeamValues02.xls",54.8,NA
"79",21,"Minnesota Timberwolves",185,9,77,4.2,11,2002,"NBATeamValues02.xls",50.2,NA
"80",22,"Orlando Magic",176,6,76,13.3,31,2002,"NBATeamValues02.xls",40,NA
"81",23,"Toronto Raptors",172,17,75,5.1,80,2002,"NBATeamValues02.xls",40.9,NA
"82",24,"Los Angeles Clippers",170,10,68,11.5,0,2002,"NBATeamValues02.xls",32.6,NA
"83",25,"New Jersey Nets",169,-6,73,-11.3,93,2002,"NBATeamValues02.xls",59.7,NA
"84",26,"Golden State Warriors",166,-1,69,2.9,60,2002,"NBATeamValues02.xls",44.9,NA
"85",27,"Memphis Grizzlies",160,36,53,-13.3,50,2002,"NBATeamValues02.xls",51.2,NA
"86",28,"Milwaukee Bucks",150,14,65,-16.3,13,2002,"NBATeamValues02.xls",60.4,NA
"87",29,"Charlotte Hornets",135,-6,65,-0.5,37,2002,"NBATeamValues02.xls",49.4,NA
"88",1,"Los Angeles Lakers",426,0.14,NA,44.1,NA,2003,"NBATeamValues03.xls",NA,NA
"89",2,"New York Knicks",398,6,NA,25.1,NA,2003,"NBATeamValues03.xls",NA,NA
"90",3,"Chicago Bulls",323,23,NA,39.1,NA,2003,"NBATeamValues03.xls",NA,NA
"91",4,"Dallas Mavericks",304,NA,NA,3.2,NA,2003,"NBATeamValues03.xls",NA,NA
"92",5,"Philadelphia 76ers",298,16,NA,18.1,NA,2003,"NBATeamValues03.xls",NA,NA
"93",6,"Washington Wizards",278,15,NA,12.7,NA,2003,"NBATeamValues03.xls",NA,NA
"94",7,"Boston Celtics",274,NA,NA,17.4,NA,2003,"NBATeamValues03.xls",NA,NA
