"","rank","team","value","value_change","revenue","operating_income","debt_percent","year","fname","player_expense","gate_receipt"
"267",12,"San Antonio Spurs",110,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"268",13,"Sacramento Kings",108,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"269",14,"Orlando Magic",101,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"270",15,"Minnesota Timberwolves",99,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"271",16,"Washington Bullets",96,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"272",17,"Houston Rockets",95,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"273",18,"Milwaukee Bucks",92,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"274",19,"New Jersey Nets",92,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"275",20,"Denver Nuggets",88,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"276",21,"Miami Heat",88,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"277",22,"Los Angeles Clippers",87,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"278",23,"Atlanta Hawks",84,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"279",24,"Golden State Warriors",83,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"280",25,"Dallas Mavericks",81,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"281",26,"Philadelphia 76ers",81,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"282",27,"Indiana Pacers",77,NA,NA,NA,NA,1995,"NBATeamValues95.xls",NA,NA
"283",1,"New York Knicks",205,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"284",2,"Phoenix Suns",191,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"285",3,"Detroit Pistons",186,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"286",4,"Chicago Bulls",178,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"287",5,"Los Angeles Lakers",171,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"288",6,"Cleveland Cavaliers",151,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"289",7,"Utah Jazz",142,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"290",8,"Portland Trail Blazers",137,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"291",9,"Boston Celtics",134,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"292",10,"Seattle SuperSonics",129,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"293",11,"San Antonio Spurs",126,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"294",12,"Orlando Magic",121,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"295",13,"Houston Rockets",116,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"296",14,"Sacramento Kings",114,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"297",15,"Golden State Warriors",114,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"298",16,"Washington Bullets",113,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"299",17,"Charlotte Hornets",113,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"300",18,"Minnesota Timberwolves",110,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"301",19,"New Jersey Nets",108,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"302",20,"Milwaukee Bucks",103,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"303",21,"Denver Nuggets",102,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"304",22,"Miami Heat",97,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"305",23,"Atlanta Hawks",96,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"306",24,"Indiana Pacers",94,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"307",25,"Philadelphia 76ers",93,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"308",26,"Dallas Mavericks",89,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"309",27,"Los Angeles Clippers",88,NA,NA,NA,NA,1996,"NBATeamValues96.xls",NA,NA
"310",1,"New York Knicks",250,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"311",2,"Phoenix Suns",220,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"312",3,"Chicago Bulls",214,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"313",4,"Los Angeles Lakers",211,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"314",5,"Detroit Pistons",202,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"315",6,"Cleveland Cavaliers",180,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"316",7,"Portland Trail Blazers",179,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"317",8,"Utah Jazz",163,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"318",9,"Orlando Magic",156,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"319",10,"San Antonio Spurs",156,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"320",11,"Boston Celtics",155,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"321",12,"Houston Rockets",154,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"322",13,"Toronto Raptors",138,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"323",14,"New Jersey Nets",137,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"324",15,"Seattle SuperSonics",137,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"325",16,"Charlotte Hornets",136,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"326",17,"Sacramento Kings",131,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"327",18,"Golden State Warriors",130,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"328",19,"Washington Bullets",129,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"329",20,"Vancouver Grizzlies",127,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"330",21,"Minnesota Timberwolves",123,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"331",22,"Miami Heat",118,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"332",23,"Denver Nuggets",116,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"333",24,"Indiana Pacers",114,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"334",25,"Philadelphia 76ers",113,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"335",26,"Atlanta Hawks",111,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"336",27,"Dallas Mavericks",104,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"337",28,"Milwaukee Bucks",103,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"338",29,"Los Angeles Clippers",95,NA,NA,NA,NA,1997,"NBATeamValues97.xls",NA,NA
"339",1,"Chicago Bulls",303.960396039604,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"340",2,"New York Knicks",295.575221238938,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"341",3,"Los Angeles Lakers",268.571428571429,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"342",4,"Portland Trail Blazers",244.761904761905,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"343",5,"Phoenix Suns",234.313725490196,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"344",6,"Washington Wizards",206.930693069307,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"345",7,"Detroit Pistons",205.454545454545,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"346",8,"Utah Jazz",200.934579439252,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"347",9,"Philadelphia 76ers",195.762711864407,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"348",10,"Boston Celtics",176.415094339623,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"349",11,"Seattle Supersonics",169.444444444444,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"350",12,"Houston Rockets",166.336633663366,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"351",13,"Cleveland Cavaliers",160.377358490566,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"352",14,"New Jersey Nets",156.603773584906,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"353",15,"Indiana Pacers",152.136752136752,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"354",16,"Miami Heat",144.642857142857,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"355",17,"Atlanta Hawks",140.18691588785,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"356",18,"Vancouver Grizzlies",133.684210526316,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"357",19,"Orlando Magic",133.613445378151,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"358",20,"Golden State Warriors",129.62962962963,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"359",21,"Charlotte Hornets",123.636363636364,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"360",22,"San Antonio Spurs",121.58273381295,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"361",23,"Toronto Raptors",121.052631578947,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"362",24,"Dallas Mavericks",119.491525423729,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"363",25,"Sacramento Kings",118.897637795276,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"364",26,"Minnesota Timberwolves",118.69918699187,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"365",27,"Denver Nuggets",109.734513274336,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"366",28,"Los Angeles Clippers",101.980198019802,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
"367",29,"Milwaukee Bucks",94.0677966101695,NA,NA,NA,NA,1999,"NBATeamValues99.xls",NA,NA
