"","latitude","longitude","popup","fillColor"
"13",35.2923513,-81.5356463,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>David Thompson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=David Thompson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Shelby, NC, USA<br>Years: 9<br>PPG: 22.7<br>MPG: 32.8<br>FG: 50.5<br>APG: 3.3<br>RPG: 4.1<br>3PT Percentage: 25.5<br>FT Percentage: 78.1</td></tr></table>","#0000bf"
"14",38.5653318,-86.6111026,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Larry Bird</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Larry Bird+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: West Baden, IN, USA<br>Years: 13<br>PPG: 24.3<br>MPG: 38.4<br>FG: 49.6<br>APG: 6.3<br>RPG: 10<br>3PT Percentage: 37.6<br>FT Percentage: 88.6</td></tr></table>","#0000bf"
"15",49.7915953,9.9535715,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dirk Nowitzki</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dirk Nowitzki+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Wurzburg, Germany<br>Years: 15<br>PPG: 22.6<br>MPG: 36.1<br>FG: 47.5<br>APG: 2.6<br>RPG: 8.2<br>3PT Percentage: 38.1<br>FT Percentage: 87.7</td></tr></table>","#0000bf"
"16",40.7143528,-74.0034731,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kareem Abdul-Jabbar</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kareem Abdul-Jabbar+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: New York, NY, USA<br>Years: 20<br>PPG: 24.6<br>MPG: 36.8<br>FG: 55.9<br>APG: 3.6<br>RPG: 11.2<br>3PT Percentage: 5.6<br>FT Percentage: 72.1</td></tr></table>","#0000bf"
"17",36.1772797,-87.3397319,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Oscar Robertson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Oscar Robertson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Charlotte, TN, USA<br>Years: 14<br>PPG: 25.7<br>MPG: 42.2<br>FG: 48.5<br>APG: 9.5<br>RPG: 7.5<br>3PT Percentage: NA<br>FT Percentage: 83.8</td></tr></table>","#0000bf"
"18",32.9126429,-92.8293247,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Karl Malone</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Karl Malone+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Summerfield, LA, USA<br>Years: 19<br>PPG: 25<br>MPG: 37.2<br>FG: 51.6<br>APG: 3.6<br>RPG: 10.1<br>3PT Percentage: 27.4<br>FT Percentage: 74.2</td></tr></table>","#0000bf"
"19",40.7143528,-74.0017731,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Carmelo Anthony</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Carmelo Anthony+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: New York, NY, USA<br>Years: 10<br>PPG: 25<br>MPG: 36.3<br>FG: 45.6<br>APG: 3.1<br>RPG: 6.4<br>3PT Percentage: 33.4<br>FT Percentage: 80.8</td></tr></table>","#0000bf"
"20",40.735657,-74.1603667,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Shaquille O'Neal</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Shaquille O'Neal+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Newark, NJ, USA<br>Years: 19<br>PPG: 23.7<br>MPG: 34.7<br>FG: 58.2<br>APG: 2.5<br>RPG: 10.9<br>3PT Percentage: 4.5<br>FT Percentage: 52.7</td></tr></table>","#0000bf"
"21",40.6639916,-74.1807006,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rick Barry</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rick Barry+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Elizabeth, NJ, USA<br>Years: 14<br>PPG: 24.8<br>MPG: 37.4<br>FG: 45.6<br>APG: 4.9<br>RPG: 6.7<br>3PT Percentage: 29.7<br>FT Percentage: 89.3</td></tr></table>","#0000bf"
"22",39.952335,-75.121789,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kobe Bryant</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kobe Bryant+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Philadelphia, PA, USA<br>Years: 17<br>PPG: 25.5<br>MPG: 36.6<br>FG: 45.4<br>APG: 4.8<br>RPG: 5.3<br>3PT Percentage: 33.6<br>FT Percentage: 83.8</td></tr></table>","#0000bf"
