year,team,rank,value,value_change,debt,debt_percent,revenue,expense,ebitda,player_expense,gate_receipt,revenue_multiple,ebitda_multiple,debt_yield,ebitda_yield,league
2005,Orlando Magic,27,218.00,0.10,61.04,0.28,78.00,65.80,12.20,NA,NA,2.79,17.87,0.200,0.056,NBA
2005,Seattle Supersonics,28,205.00,0.04,90.20,0.44,73.00,72.50,0.50,NA,NA,2.81,410.00,0.006,0.002,NBA
2005,Milwaukee Bucks,29,199.00,0.14,39.80,0.20,77.00,72.20,4.80,NA,NA,2.58,41.46,0.121,0.024,NBA
2004,Los Angeles Lakers,1,447.00,0.05,134.10,0.30,149.00,126.20,22.80,NA,NA,3.00,19.61,0.170,0.051,NBA
2004,New York Knicks,2,401.00,0.01,248.62,0.62,160.00,146.50,13.50,NA,NA,2.51,29.70,0.054,0.034,NBA
2004,Chicago Bulls,3,356.00,0.10,24.92,0.07,119.00,70.00,49.00,NA,NA,2.99,7.27,1.966,0.138,NBA
2004,Dallas Mavericks,4,338.00,0.11,148.72,0.44,117.00,134.70,-17.70,NA,NA,2.89,0.00,0.000,NA,NBA
2004,Philadelphia 76ers,5,328.00,0.10,65.60,0.20,109.00,107.00,2.00,NA,NA,3.01,164.00,0.030,0.006,NBA
2004,Boston Celtics,6,290.00,0.06,179.80,0.62,97.00,71.40,25.60,NA,NA,2.99,11.33,0.142,0.088,NBA
2004,Detroit Pistons,7,284.00,0.10,0.00,0.00,102.00,78.50,23.50,NA,NA,2.78,12.09,NA,0.083,NBA
2004,San Antonio Spurs,8,283.00,0.24,130.18,0.46,105.00,86.50,18.50,NA,NA,2.70,15.30,0.142,0.065,NBA
2004,Phoenix Suns,9,282.00,0.04,129.72,0.46,109.00,87.50,21.50,NA,NA,2.59,13.12,0.166,0.076,NBA
2004,Indiana Pacers,10,280.00,0.14,50.40,0.18,94.00,83.90,10.10,NA,NA,2.98,27.72,0.200,0.036,NBA
2004,Houston Rockets,11,278.00,0.09,38.92,0.14,82.00,66.80,15.20,NA,NA,3.39,18.29,0.391,0.055,NBA
2004,Sacramento Kings,12,275.00,0.06,66.00,0.24,102.00,118.80,-16.80,NA,NA,2.70,0.00,0.000,NA,NBA
2004,Washington Wizards,13,274.00,-0.02,65.76,0.24,98.00,69.50,28.50,NA,NA,2.80,9.61,0.433,0.104,NBA
2004,Portland Trail Blazers,14,272.00,0.01,136.00,0.50,97.00,182.10,-85.10,NA,NA,2.80,0.00,0.000,NA,NBA
2004,Cleveland Cavaliers,15,258.00,0.16,30.96,0.12,72.00,68.20,3.80,NA,NA,3.58,67.89,0.123,0.015,NBA
2004,Toronto Raptors,16,249.00,0.15,62.25,0.25,96.00,85.40,10.60,NA,NA,2.59,23.49,0.170,0.043,NBA
2004,New Jersey Nets,17,244.00,0.12,100.04,0.41,94.00,95.60,-1.60,NA,NA,2.60,0.00,0.000,NA,NBA
2004,Utah Jazz,18,239.00,0.06,31.07,0.13,85.00,71.20,13.80,NA,NA,2.81,17.32,0.444,0.058,NBA
2004,Miami Heat,19,236.00,-0.06,184.08,0.78,91.00,83.10,7.90,NA,NA,2.59,29.87,0.043,0.033,NBA
2004,Minnesota Timberwolves,20,230.00,0.08,50.60,0.22,85.00,78.10,6.90,NA,NA,2.71,33.33,0.136,0.030,NBA
2004,Memphis Grizzlies,21,227.00,0.14,90.80,0.40,63.00,82.70,-19.70,NA,NA,3.60,0.00,0.000,NA,NBA
2004,Denver Nuggets,22,218.00,0.04,56.68,0.26,75.00,67.10,7.90,NA,NA,2.91,27.59,0.139,0.036,NBA
2004,New Orleans Hornets,23,216.00,0.25,75.60,0.35,80.00,58.10,21.90,NA,NA,2.70,9.86,0.290,0.101,NBA
2004,Los Angeles Clippers,24,208.00,0.01,0.00,0.00,72.00,56.10,15.90,NA,NA,2.89,13.08,NA,0.076,NBA
2004,Atlanta Hawks,25,202.00,-0.02,70.70,0.35,78.00,86.40,-8.40,NA,NA,2.59,0.00,0.000,NA,NBA
2004,Orlando Magic,26,199.00,0.01,59.70,0.30,80.00,66.90,13.10,NA,NA,2.49,15.19,0.219,0.066,NBA
2004,Seattle Supersonics,27,196.00,-0.06,90.16,0.46,70.00,67.60,2.40,NA,NA,2.80,81.67,0.027,0.012,NBA
2004,Golden State Warriors,28,188.00,0.06,54.52,0.29,70.00,62.20,7.80,NA,NA,2.69,24.10,0.143,0.041,NBA
2004,Milwaukee Bucks,29,174.00,0.04,29.58,0.17,70.00,85.10,-15.10,NA,NA,2.49,0.00,0.000,NA,NBA
2003,Los Angeles Lakers,1,426.00,0.00,NA,NA,NA,NA,44.10,NA,NA,NA,9.66,NA,0.104,NBA
2003,New York Knicks,2,398.00,0.06,NA,NA,NA,NA,25.10,NA,NA,NA,15.86,NA,0.063,NBA
2003,Chicago Bulls,3,323.00,0.23,NA,NA,NA,NA,39.10,NA,NA,NA,8.26,NA,0.121,NBA
2003,Dallas Mavericks,4,304.00,NA,NA,NA,NA,NA,3.20,NA,NA,NA,95.00,NA,0.011,NBA
2003,Philadelphia 76ers,5,298.00,0.16,NA,NA,NA,NA,18.10,NA,NA,NA,16.46,NA,0.061,NBA
2003,Washington Wizards,6,278.00,0.15,NA,NA,NA,NA,12.70,NA,NA,NA,21.89,NA,0.046,NBA
2003,Boston Celtics,7,274.00,NA,NA,NA,NA,NA,17.40,NA,NA,NA,15.75,NA,0.063,NBA
2003,Phoenix Suns,8,272.00,0.13,NA,NA,NA,NA,18.50,NA,NA,NA,14.70,NA,0.068,NBA
2003,Portland Trail Blazers,9,270.00,0.10,NA,NA,NA,NA,-22.80,NA,NA,NA,0.00,NA,NA,NBA
2003,Sacramento Kings,10,259.00,0.14,NA,NA,NA,NA,13.50,NA,NA,NA,19.19,NA,0.052,NBA
2003,Detroit Pistons,11,258.00,0.13,NA,NA,NA,NA,12.90,NA,NA,NA,20.00,NA,0.050,NBA
2003,Houston Rockets,12,255.00,0.13,NA,NA,NA,NA,6.70,NA,NA,NA,38.06,NA,0.026,NBA
2003,Miami Heat,13,250.00,0.20,NA,NA,NA,NA,8.10,NA,NA,NA,30.86,NA,0.032,NBA
2003,Indiana Pacers,14,246.00,0.18,NA,NA,NA,NA,3.10,NA,NA,NA,79.35,NA,0.013,NBA
2003,San Antonio Spurs,15,242.00,0.14,NA,NA,NA,NA,8.30,NA,NA,NA,29.16,NA,0.034,NBA
2003,Utah Jazz,16,226.00,0.14,NA,NA,NA,NA,1.90,NA,NA,NA,118.95,NA,0.008,NBA
2003,Cleveland Cavaliers,17,222.00,0.14,NA,NA,NA,NA,5.90,NA,NA,NA,37.63,NA,0.027,NBA
2003,New Jersey Nets,18,218.00,0.10,NA,NA,NA,NA,4.50,NA,NA,NA,48.44,NA,0.021,NBA
2003,Toronto Raptors,19,217.00,0.15,NA,NA,NA,NA,4.50,NA,NA,NA,48.22,NA,0.021,NBA
2003,Minnesota Timberwolves,20,213.00,0.13,NA,NA,NA,NA,8.80,NA,NA,NA,24.20,NA,0.041,NBA
2003,Denver Nuggets,21,209.00,NA,NA,NA,NA,NA,-5.00,NA,NA,NA,0.00,NA,NA,NBA
2003,Seattle Supersonics,22,207.00,NA,NA,NA,NA,NA,6.30,NA,NA,NA,32.86,NA,0.030,NBA
2003,Atlanta Hawks,23,206.00,NA,NA,NA,NA,NA,4.20,NA,NA,NA,49.05,NA,0.020,NBA
2003,Los Angeles Clippers,24,205.00,0.14,NA,NA,NA,NA,16.30,NA,NA,NA,12.58,NA,0.079,NBA
2003,Memphis Grizzlies,25,198.00,NA,NA,NA,NA,NA,0.60,NA,NA,NA,330.00,NA,0.003,NBA
2003,Orlando Magic,26,197.00,0.08,NA,NA,NA,NA,8.20,NA,NA,NA,24.02,NA,0.042,NBA
2003,Golden State Warriors,27,176.00,0.06,NA,NA,NA,NA,-0.60,NA,NA,NA,0.00,NA,NA,NBA
2003,New Orleans Hornets,28,172.00,0.13,NA,NA,NA,NA,-8.30,NA,NA,NA,0.00,NA,NA,NBA
2003,Milwaukee Bucks,29,168.00,0.14,NA,NA,NA,NA,-8.50,NA,NA,NA,0.00,NA,NA,NBA
2002,Los Angeles Lakers,1,403.00,0.12,52.39,0.13,144.00,112.90,31.10,65.10,NA,2.80,12.96,0.594,0.077,NBA
2002,New York Knicks,2,392.00,-0.01,148.96,0.38,157.00,128.50,28.50,81.60,NA,2.50,13.75,0.191,0.073,NBA
2002,Chicago Bulls,3,329.00,0.05,29.61,0.09,117.00,65.30,51.70,32.70,NA,2.81,6.36,1.746,0.157,NBA
2002,Portland Trail Blazers,4,283.00,0.04,135.84,0.48,101.00,120.30,-19.30,89.50,NA,2.80,0.00,0.000,NA,NBA
2002,Philadelphia 76ers,5,279.00,0.19,61.38,0.22,103.00,91.90,11.10,53.60,NA,2.71,25.14,0.181,0.040,NBA
2002,Phoenix Suns,6,266.00,0.06,133.00,0.50,102.00,76.80,25.20,45.50,NA,2.61,10.56,0.189,0.095,NBA
2002,Miami Heat,7,248.00,0.10,186.00,0.75,99.00,97.70,1.30,66.90,NA,2.51,190.77,0.007,0.005,NBA
2002,Houston Rockets,8,234.00,0.13,39.78,0.17,81.00,77.20,3.80,52.30,NA,2.89,61.58,0.096,0.016,NBA
2002,Indiana Pacers,9,231.00,0.00,55.44,0.24,89.00,88.30,0.70,57.60,NA,2.60,330.00,0.013,0.003,NBA
2002,Detroit Pistons,10,230.00,-0.02,0.00,0.00,92.00,74.00,18.00,40.50,NA,2.50,12.78,NA,0.078,NBA
2002,Utah Jazz,11,225.00,0.00,38.25,0.17,88.00,85.50,2.50,56.70,NA,2.56,90.00,0.065,0.011,NBA
2002,San Antonio Spurs,12,221.00,0.17,39.78,0.18,82.00,84.40,-2.40,60.20,NA,2.70,0.00,0.000,NA,NBA
2002,Boston Celtics,13,218.00,0.03,54.50,0.25,81.00,71.20,9.80,49.50,NA,2.69,22.24,0.180,0.045,NBA
2002,Washington Wizards,14,214.00,0.02,111.28,0.52,81.00,86.70,-5.70,62.10,NA,2.64,0.00,0.000,NA,NBA
2002,Dallas Mavericks,15,211.00,0.26,105.50,0.50,68.00,91.40,-23.40,59.90,NA,3.10,0.00,0.000,NA,NBA
2002,Sacramento Kings,16,209.00,0.17,100.32,0.48,87.00,77.00,10.00,49.10,NA,2.40,20.90,0.100,0.048,NBA
2002,Cleveland Cavaliers,17,202.00,0.09,0.00,0.00,75.00,67.90,7.10,47.80,NA,2.69,28.45,NA,0.035,NBA
2002,Seattle Supersonics,18,200.00,0.07,100.00,0.50,80.00,77.90,2.10,53.60,NA,2.50,95.24,0.021,0.010,NBA
2002,Atlanta Hawks,19,199.00,0.08,59.70,0.30,76.00,70.20,5.80,42.20,NA,2.62,34.31,0.097,0.029,NBA
2002,Denver Nuggets,20,188.00,0.07,67.68,0.36,72.00,79.60,-7.60,54.80,NA,2.61,0.00,0.000,NA,NBA
2002,Minnesota Timberwolves,21,185.00,0.09,20.35,0.11,77.00,72.80,4.20,50.20,NA,2.40,44.05,0.206,0.023,NBA
2002,Orlando Magic,22,176.00,0.06,54.56,0.31,76.00,62.70,13.30,40.00,NA,2.32,13.23,0.244,0.076,NBA
2002,Toronto Raptors,23,172.00,0.17,137.60,0.80,75.00,69.90,5.10,40.90,NA,2.29,33.73,0.037,0.030,NBA
2002,Los Angeles Clippers,24,170.00,0.10,0.00,0.00,68.00,56.50,11.50,32.60,NA,2.50,14.78,NA,0.068,NBA
2002,New Jersey Nets,25,169.00,-0.06,157.17,0.93,73.00,84.30,-11.30,59.70,NA,2.32,0.00,0.000,NA,NBA
2002,Golden State Warriors,26,166.00,-0.01,99.60,0.60,69.00,66.10,2.90,44.90,NA,2.41,57.24,0.029,0.017,NBA
2002,Memphis Grizzlies,27,160.00,0.36,80.00,0.50,53.00,66.30,-13.30,51.20,NA,3.02,0.00,0.000,NA,NBA
2002,Milwaukee Bucks,28,150.00,0.14,19.50,0.13,65.00,81.30,-16.30,60.40,NA,2.31,0.00,0.000,NA,NBA
2002,Charlotte Hornets,29,135.00,-0.06,49.95,0.37,65.00,65.50,-0.50,49.40,NA,2.08,0.00,0.000,NA,NBA
2001,New York Knicks,1,395.00,0.18,150.10,0.38,152.00,121.30,30.70,74.80,43.50,2.60,12.87,0.205,0.078,NBA
2001,Los Angeles Lakers,2,360.00,0.28,54.00,0.15,133.20,96.60,36.60,57.70,50.20,2.70,9.84,0.678,0.102,NBA
2001,Chicago Bulls,3,314.00,0.02,31.40,0.10,112.20,64.00,48.20,29.50,30.50,2.80,6.51,1.535,0.154,NBA
2001,Portland Trail Blazers,4,272.00,0.06,149.60,0.55,97.30,110.10,-12.80,76.40,44.00,2.80,0.00,0.000,NA,NBA
2001,Phoenix Suns,5,252.00,0.05,25.20,0.10,96.80,80.30,16.50,49.00,24.00,2.60,15.27,0.655,0.065,NBA
2001,Detroit Pistons,6,236.00,0.04,0.00,0.00,90.60,79.00,11.60,44.60,17.90,2.60,20.34,NA,0.049,NBA
2001,Philadelphia 76ers,7,233.00,0.01,69.90,0.30,86.30,79.80,6.50,44.80,22.20,2.70,35.85,0.093,0.028,NBA
2001,Indiana Pacers,8,232.00,0.31,58.00,0.25,86.10,85.20,0.90,56.70,32.00,2.69,257.78,0.016,0.004,NBA
2001,Utah Jazz,9,226.00,0.05,42.94,0.19,87.00,81.80,5.20,51.70,33.80,2.60,43.46,0.121,0.023,NBA
2001,Miami Heat,10,225.00,0.39,184.50,0.82,89.90,80.20,9.70,53.50,29.90,2.50,23.20,0.053,0.043,NBA
2001,Boston Celtics,11,212.00,0.13,93.28,0.44,81.50,69.10,12.40,48.70,24.90,2.60,17.10,0.133,0.058,NBA
2001,Washington Wizards,12,210.00,0.00,111.30,0.53,75.00,81.10,-6.10,55.10,20.30,2.80,0.00,0.000,NA,NBA
2001,Houston Rockets,13,206.00,0.23,39.14,0.19,79.40,80.40,-1.00,54.80,33.10,2.59,0.00,0.000,NA,NBA
2001,San Antonio Spurs,14,189.00,0.12,39.69,0.21,67.40,68.80,-1.40,46.30,26.90,2.80,0.00,0.000,NA,NBA
2001,Seattle Supersonics,15,187.00,0.02,72.93,0.39,74.70,68.00,6.70,43.80,28.50,2.50,27.91,0.092,0.036,NBA
2001,Cleveland Cavaliers,16,185.00,0.09,0.00,0.00,68.60,70.60,-2.00,49.00,15.30,2.70,0.00,NA,NA,NBA
2001,Atlanta Hawks,17,184.00,0.23,60.72,0.33,70.80,72.60,-1.80,45.60,16.70,2.60,0.00,0.000,NA,NBA
2001,New Jersey Nets,18,179.00,0.08,139.62,0.78,78.00,69.30,8.70,45.30,27.10,2.29,20.57,0.062,0.049,NBA
2001,Sacramento Kings,19,178.00,0.18,64.08,0.36,71.30,68.50,2.80,42.60,27.20,2.50,63.57,0.044,0.016,NBA
2001,Denver Nuggets,20,175.00,0.42,68.25,0.39,67.50,70.20,-2.70,45.70,15.00,2.59,0.00,0.000,NA,NBA
2001,Minnesota Timberwolves,21,169.00,0.16,20.28,0.12,70.40,64.60,5.80,44.60,22.80,2.40,29.14,0.286,0.034,NBA
2001,Golden State Warriors,22,168.00,0.20,112.56,0.67,67.20,61.20,6.00,38.60,19.30,2.50,28.00,0.053,0.036,NBA
2001,Dallas Mavericks,23,167.00,0.19,106.88,0.64,59.70,66.40,-6.70,42.00,21.30,2.80,0.00,0.000,NA,NBA
2001,Orlando Magic,24,165.00,0.04,54.45,0.33,66.00,66.20,-0.20,44.10,21.60,2.50,0.00,0.000,NA,NBA
2001,Los Angeles Clippers,25,154.00,0.50,0.00,0.00,61.80,50.30,11.50,28.80,15.00,2.49,13.39,NA,0.075,NBA
2001,Toronto Raptors,26,148.00,0.07,137.64,0.93,61.50,60.30,1.20,37.20,19.40,2.41,123.33,0.009,0.008,NBA
2001,Charlotte Hornets,27,144.00,0.06,50.40,0.35,57.80,59.90,-2.10,41.10,20.00,2.49,0.00,0.000,NA,NBA
2001,Milwaukee Bucks,28,131.00,0.18,24.89,0.19,54.70,67.70,-13.00,48.30,15.30,2.39,0.00,0.000,NA,NBA
2001,Vancouver Grizzlies,29,118.00,-0.07,80.24,0.68,51.30,59.80,-8.50,40.20,11.60,2.30,0.00,0.000,NA,NBA
2000,New York Knicks,1,334.00,0.13,163.66,0.49,92.90,88.90,4.00,NA,NA,3.60,83.50,0.024,0.012,NBA
2000,Chicago Bulls,2,307.00,0.01,30.70,0.10,66.80,46.40,20.40,NA,NA,4.60,15.05,0.664,0.066,NBA
2000,Los Angeles Lakers,3,282.00,0.05,157.92,0.56,58.70,59.60,-0.90,NA,NA,4.80,0.00,0.000,NA,NBA
2000,Portland Trail Blazers,4,257.00,0.05,149.06,0.58,57.10,70.60,-13.50,NA,NA,4.50,0.00,0.000,NA,NBA
2000,Phoenix Suns,5,239.00,0.02,54.97,0.23,58.30,52.50,5.80,NA,NA,4.10,41.21,0.106,0.024,NBA
2000,Philadelphia 76ers,6,231.00,0.18,69.30,0.30,57.70,55.90,1.80,NA,NA,4.00,128.33,0.026,0.008,NBA
2000,Detroit Pistons,7,226.00,0.10,0.00,0.00,51.30,53.00,-1.70,NA,NA,4.41,0.00,NA,NA,NBA
2000,Utah Jazz,8,215.00,0.07,47.30,0.22,47.70,48.40,-0.70,NA,NA,4.51,0.00,0.000,NA,NBA
2000,Washington Wizards,9,209.00,0.01,110.77,0.53,48.60,51.40,-2.80,NA,NA,4.30,0.00,0.000,NA,NBA
2000,Boston Celtics,10,187.00,0.06,87.89,0.47,41.50,39.20,2.30,NA,NA,4.51,81.30,0.026,0.012,NBA
2000,Seattle Supersonics,11,183.00,0.08,73.20,0.40,43.60,45.90,-2.30,NA,NA,4.20,0.00,0.000,NA,NBA
2000,Indiana Pacers,12,178.00,0.17,56.96,0.32,34.20,53.60,-19.40,NA,NA,5.20,0.00,0.000,NA,NBA
2000,Cleveland Cavaliers,13,170.00,0.06,0.00,0.00,37.80,37.90,-0.10,NA,NA,4.50,0.00,NA,NA,NBA
2000,San Antonio Spurs,14,169.00,0.39,25.35,0.15,42.30,49.00,-6.70,NA,NA,4.00,0.00,0.000,NA,NBA
2000,Houston Rockets,15,168.00,0.01,40.32,0.24,44.30,47.90,-3.60,NA,NA,3.79,0.00,0.000,NA,NBA
2000,New Jersey Nets,16,166.00,0.06,19.92,0.12,38.60,47.20,-8.60,NA,NA,4.30,0.00,0.000,NA,NBA
2000,Miami Heat,17,162.00,0.12,184.68,1.14,33.10,53.80,-20.70,NA,NA,4.89,0.00,0.000,NA,NBA
2000,Orlando Magic,18,159.00,0.19,55.65,0.35,37.90,47.00,-9.10,NA,NA,4.20,0.00,0.000,NA,NBA
2000,Sacramento Kings,19,151.00,0.27,64.93,0.43,34.30,46.80,-12.50,NA,NA,4.40,0.00,0.000,NA,NBA
2000,Atlanta Hawks,20,150.00,0.07,66.00,0.44,28.80,48.10,-19.30,NA,NA,5.21,0.00,0.000,NA,NBA
2000,Minnesota Timberwolves,21,146.00,0.23,20.44,0.14,41.70,37.50,4.20,NA,NA,3.50,34.76,0.205,0.029,NBA
2000,Dallas Mavericks,22,141.00,0.18,107.16,0.76,26.10,40.80,-14.70,NA,NA,5.40,0.00,0.000,NA,NBA
2000,Golden State Warriors,23,140.00,0.08,112.00,0.80,31.80,39.50,-7.70,NA,NA,4.40,0.00,0.000,NA,NBA
2000,Toronto Raptors,24,138.00,0.14,132.48,0.96,33.60,41.60,-8.00,NA,NA,4.11,0.00,0.000,NA,NBA
2000,Charlotte Hornets,25,136.00,0.10,50.32,0.37,30.30,32.50,-2.20,NA,NA,4.49,0.00,0.000,NA,NBA
2000,Vancouver Grizzlies,26,127.00,-0.05,59.69,0.47,28.20,40.60,-12.40,NA,NA,4.50,0.00,0.000,NA,NBA
2000,Denver Nuggets,27,124.00,0.13,69.44,0.56,23.80,33.60,-9.80,NA,NA,5.21,0.00,0.000,NA,NBA
2000,Milwaukee Bucks,28,111.00,0.18,25.53,0.23,25.80,40.70,-14.90,NA,NA,4.30,0.00,0.000,NA,NBA
2000,Los Angeles Clippers,29,103.00,0.01,0.00,0.00,23.00,36.20,-13.20,NA,NA,4.48,0.00,NA,NA,NBA
1999,Chicago Bulls,1,303.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,New York Knicks,2,295.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Los Angeles Lakers,3,268.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Portland Trail Blazers,4,244.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Phoenix Suns,5,234.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Washington Wizards,6,206.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Detroit Pistons,7,205.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Utah Jazz,8,200.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Philadelphia 76ers,9,195.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Boston Celtics,10,176.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Seattle Supersonics,11,169.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Houston Rockets,12,166.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Cleveland Cavaliers,13,160.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,New Jersey Nets,14,156.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Indiana Pacers,15,152.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Miami Heat,16,144.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Atlanta Hawks,17,140.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Vancouver Grizzlies,18,133.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Orlando Magic,19,133.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Golden State Warriors,20,129.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Charlotte Hornets,21,123.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,San Antonio Spurs,22,121.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Toronto Raptors,23,121.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Dallas Mavericks,24,119.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Sacramento Kings,25,118.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Minnesota Timberwolves,26,118.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Denver Nuggets,27,109.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Los Angeles Clippers,28,101.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1999,Milwaukee Bucks,29,94.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,New York Knicks,1,250.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Phoenix Suns,2,220.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Chicago Bulls,3,214.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Los Angeles Lakers,4,211.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Detroit Pistons,5,202.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Cleveland Cavaliers,6,180.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Portland Trail Blazers,7,179.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Utah Jazz,8,163.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,San Antonio Spurs,10,156.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Orlando Magic,9,156.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Boston Celtics,11,155.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Houston Rockets,12,154.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Toronto Raptors,13,138.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,New Jersey Nets,14,137.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Seattle Supersonics,15,137.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Charlotte Hornets,16,136.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Sacramento Kings,17,131.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Golden State Warriors,18,130.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Washington Bullets,19,129.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Vancouver Grizzlies,20,127.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Minnesota Timberwolves,21,123.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Miami Heat,22,118.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Denver Nuggets,23,116.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Indiana Pacers,24,114.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Philadelphia 76ers,25,113.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Atlanta Hawks,26,111.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Dallas Mavericks,27,104.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Milwaukee Bucks,28,103.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1997,Los Angeles Clippers,29,95.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,New York Knicks,1,205.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Phoenix Suns,2,191.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Detroit Pistons,3,186.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Chicago Bulls,4,178.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Los Angeles Lakers,5,171.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Cleveland Cavaliers,6,151.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Utah Jazz,7,142.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
1996,Portland Trail Blazers,8,137.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBA
