player,agency,agent,season,salary,salary_amnesty,,player
Arnett Moultrie,The Alliance Management Group,Derek Lafayette,2013-2014,1089240,FALSE,,
Arron Afflalo,Excel Sports Management,Jeff Schwartz,2013-2014,7562500,FALSE,,
Austin Daye,Landmark Sports Agency,Rob Pelinka,2013-2014,947907,FALSE,,
Austin Rivers,FAME,David Falk,2013-2014,2339040,FALSE,,
Avery Bradley,Lagardere Unlimited,Mitchell Butler,2013-2014,2511432,FALSE,,
Byron Mullens,Wasserman Media Group,Arn Tellem,2013-2014,947907,FALSE,,
B.J. Young,Briscoe Sports Management,Charlie Briscoe,2013-2014,490180,FALSE,,
Ben Gordon,IAM Sports,Raymond Brothers,2013-2014,13200000,FALSE,,
Beno Udrih,Pinnacle Management Corporation,Marc Cornstein,2013-2014,884293,FALSE,,
Bernard James,Relativity Sports,Dan Fegan,2013-2014,788872,FALSE,,
Bismack Biyombo,Wasserman Media Group,Arn Tellem,2013-2014,3217680,FALSE,,
Blake Griffin,Excel Sports Management,Jeff Schwartz,2013-2014,16402500,FALSE,,
Boris Diaw,The Neustadt Group,Doug Neustadt,2013-2014,4702500,FALSE,,
Bradley Beal,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,4319280,FALSE,,
Brandan Wright,Williams & Connolly,Jim Tanner,2013-2014,5000000,FALSE,,
Brandon Bass,Rival Sports Group,Tony Dutt,2013-2014,6750000,FALSE,,
Brandon Davies,BDA Sports Management,Bill Duffy,2013-2014,490180,FALSE,,
Brandon Jennings,Excel Sports Management,Jeff Schwartz,2013-2014,7655503,FALSE,,
Brandon Knight,Wasserman Media Group,Arn Tellem,2013-2014,2947800,FALSE,,
Brandon Roy,Wasserman Media Group,Arn Tellem,2013-2014,17779458,TRUE,,
Brandon Rush,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,4000000,FALSE,,
Brendan Haywood,ASM Sports,Andy Miller,2013-2014,2000000,FALSE,,
Brendan Haywood,ASM Sports,Andy Miller,2013-2014,7073500,TRUE,,
Brian Roberts,ASM Sports,Andy Miller,2013-2014,788872,FALSE,,
Brook Lopez,Wasserman Media Group,Arn Tellem,2013-2014,14694000,FALSE,,
C.J. Leslie,Creative Artists Agency,Aaron Mintz,2013-2014,TBD,FALSE,,
C.J. McCollum,Excel Sports Management,Jeff Schwartz,2013-2014,2316720,FALSE,,
C.J. Watson,Excel Sports Management,Jeff Schwartz,2013-2014,2016000,FALSE,,
Carl Landry,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,6750000,FALSE,,
Carlos Boozer,Landmark Sports Agency,Rob Pelinka,2013-2014,15300000,FALSE,,
Carlos Delfino,ASM Sports,Andy Miller,2013-2014,3250000,FALSE,,
Carmelo Anthony,Creative Artists Agency,Leon Rose,2013-2014,21490000,FALSE,,
Caron Butler,IAM Sports,Raymond Brothers,2013-2014,8000000,FALSE,,
Carrick Felix,Stratosphere Sports,Todd Eley,2013-2014,TBD,FALSE,,
Chandler Parsons,Relativity Sports,Dan Fegan,2013-2014,926500,FALSE,,
Channing Frye,Landmark Sports Agency,Rob Pelinka,2013-2014,6400000,FALSE,,
Charlie Villanueva,Excel Sports Management,Jeff Schwartz,2013-2014,8580000,FALSE,,
Chase Budinger,BDA Sports Management,Kevin Bradbury,2013-2014,5000000,FALSE,,
Chauncey Billups,ASM Sports,Andy Miller,2013-2014,2500000,FALSE,,
Chris Andersen,Creative Artists Agency,Steve Heumann,2013-2014,4818000,TRUE,,
Chris Andersen,Creative Artists Agency,Steve Heumann,2013-2014,1399507,FALSE,,
Chris Bosh,Creative Artists Agency,Henry Thomas,2013-2014,19067500,FALSE,,
Chris Copeland,540 Sports and Entertainment LLC,John Spencer,2013-2014,3000000,FALSE,,
Chris Duhon,BDA Sports Management,Kevin Bradbury,2013-2014,1500000,FALSE,,
