player,agency,agent,season,salary,salary_amnesty,,player
Marco Belinelli,Excel Sports Management,Jeff Schwartz,2013-2014,2750000,FALSE,,
Marcus Morris,Rival Sports Group,Tony Dutt,2013-2014,2096760,FALSE,,
Marcus Thornton,Rival Sports Group,Tony Dutt,2013-2014,8165000,FALSE,,
Mario Chalmers,Excel Sports Management,Jeff Schwartz,2013-2014,4000000,FALSE,,
Markieff Morris,Rival Sports Group,Tony Dutt,2013-2014,2207040,FALSE,,
Marquis Teague,ASM Sports,Andy Miller,2013-2014,1074720,FALSE,,
Marreese Speights,ASM Sports,Andy Miller,2013-2014,3500000,FALSE,,
MarShon Brooks,Verus Management Team,Seth Cohen,2013-2014,1276560,FALSE,,
Martell Webster,Relativity Sports,Dan Fegan,2013-2014,TBD,FALSE,,
Marvin Williams,Williams & Connolly,Jim Tanner,2013-2014,7500000,FALSE,,
Mason Plumlee,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1298640,FALSE,,
Matt Barnes,Goodwin Management Group,Aaron Goodwin,2013-2014,TBD,FALSE,,
Matt Bonner,Championship Sports,Kenny Grant,2013-2014,3945000,FALSE,,
Mo Williams,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,2652000,FALSE,,
Metta World Peace,Pinnacle Management Corporation,Marc Cornstein,2013-2014,7727280,TRUE,,
Metta World Peace,Pinnacle Management Corporation,Marc Cornstein,2013-2014,1590000,FALSE,,
Meyers Leonard,Excel Sports Management,Jeff Schwartz,2013-2014,2222160,FALSE,,
Michael Beasley,Excel Sports Management,Jeff Schwartz,2013-2014,6000000,TRUE,,
Michael Beasley,Excel Sports Management,Jeff Schwartz,2013-2014,1027000,FALSE,,
Michael Carter-Williams,Excel Sports Management,Jeff Schwartz,2013-2014,2200920,FALSE,,
Michael Kidd-Gilchrist,Creative Artists Agency,Leon Rose,2013-2014,4809840,FALSE,,
Mike Conley,BDA Sports Management,Mike Conley,2013-2014,7900000,FALSE,,
Mike Dunleavy Jr,Wasserman Media Group,Arn Tellem,2013-2014,3000000,FALSE,,
Mike James,Lee Basketball Services LTD,Bernie Lee,2013-2014,1399507,FALSE,,
Mike Miller,Wasserman Media Group,Arn Tellem,2013-2014,6200000,TRUE,,
Mike Miller,Wasserman Media Group,Arn Tellem,2013-2014,1399507,FALSE,,
Mike Scott,Creative Artists Agency,Aaron Mintz,2013-2014,788872,FALSE,,
Miles Plumlee,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1121520,FALSE,,
Mirza Teletovic,Excel Sports Management,Jeff Schwartz,2013-2014,3229050,FALSE,,
Maurice Harkless,Relativity Sports,Dan Fegan,2013-2014,1809840,FALSE,,
Monta Ellis,Relativity Sports,Happy Walters,2013-2014,8360000,FALSE,,
Nando De Colo,Creative Artists Agency,Steve Heumann,2013-2014,1463000,FALSE,,
Nate Robinson,Goodwin Management Group,Aaron Goodwin,2013-2014,TBD,FALSE,,
Nate Wolters,Allegiant Athletic Agency,Jared Karnes,2013-2014,TBD,FALSE,,
Nazr Mohammed,Excel Sports Management,Mike Higgins,2013-2014,1399507,FALSE,,
Nemanja Nedovic,Excel Sports Management,Jeff Schwartz,2013-2014,1056720,FALSE,,
Nene,Relativity Sports,Dan Fegan,2013-2014,13000000,FALSE,,
Nerlens Noel,ASM Sports,Andy Miller,2013-2014,3172320,FALSE,,
Nick Calathes,Relativity Sports,Dan Fegan,2013-2014,TBD,FALSE,,
Nick Collison,Excel Sports Management,Mike Higgins,2013-2014,2585668,FALSE,,
Nick Young,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1106942,FALSE,,
Nicolas Batum,Comsport,Bouna Ndiaye,2013-2014,10920250,FALSE,,
Nikola Pekovic,Excel Sports Management,Jeff Schwartz,2013-2014,12100000,FALSE,,
Nikola Vucevic,BDA Sports Management,Rade Filipovich,2013-2014,1892280,FALSE,,
Norris Cole,Bell Management,Joel Bell,2013-2014,1191240,FALSE,,
O.J. Mayo,Landmark Sports Agency,Rob Pelinka,2013-2014,8000000,FALSE,,
Omer Asik,ASM Sports,Andy Miller,2013-2014,5225000,FALSE,,
Omri Casspi,Creative Artists Agency,Steve Heumann,2013-2014,947907,FALSE,,
Orlando Johnson,BDA Sports Management,Bill Duffy,2013-2014,788872,FALSE,,
Otto Porter,FAME,David Falk,2013-2014,4278000,FALSE,,
Pablo Prigioni,AAI Sports,George Bass,2013-2014,1591350,FALSE,,
Patrick Christopher,Relativity Sports,Chris Patrick,2013-2014,490180,FALSE,,
Patrick Mills,Creative Artists Agency,Steve Heumann,2013-2014,1133950,FALSE,,
Patrick Patterson,Excel Sports Management,Sam Goldfeder,2013-2014,3105301,FALSE,,
Pau Gasol,Wasserman Media Group,Arn Tellem,2013-2014,19285850,FALSE,,
Paul George,Creative Artists Agency,Aaron Mintz,2013-2014,3282003,FALSE,,
Paul Millsap,BDS Sports,DeAngelo Simmons,2013-2014,9500000,FALSE,,
Paul Pierce,Excel Sports Management,Jeff Schwartz,2013-2014,15333334,FALSE,,
Pero Antic,Excel Sports Management,Michael Lindeman,2013-2014,1200000,FALSE,,
Perry Jones,BDA Sports Management,Bill Duffy,2013-2014,1082520,FALSE,,
Peyton Siva,ASM Sports,Andy Miller,2013-2014,490180,FALSE,,
Phil Pressey,Creative Artists Agency,Aaron Mintz,2013-2014,TBD,FALSE,,
Quentin Richardson,24/7 Sports Management,Jeff Wechsler,2013-2014,2808600,FALSE,,
Quincy Acy,Athlete Management,Michael Silverman,2013-2014,788872,FALSE,,
Quincy Pondexter,Wasserman Media Group,Arn Tellem,2013-2014,2225478,FALSE,,
Rajon Rondo,BDA Sports Management,Bill Duffy,2013-2014,12000000,FALSE,,
Ramon Sessions,Allegiant Athletic Agency,Jared Karnes,2013-2014,5000000,FALSE,,
Randy Foye,Creative Artists Agency,Steve Heumann,2013-2014,TBD,FALSE,,
Rashard Lewis,Rival Sports Group,Tony Dutt,2013-2014,1399507,FALSE,,
Ray Allen,Williams & Connolly,Jim Tanner,2013-2014,3229050,FALSE,,
Ray McCallum,Wasserman Media Group,Thaddeus Foucher,2013-2014,524616,FALSE,,
Raymond Felton,Rival Sports Group,Colin Bryant,2013-2014,4180000,FALSE,,
Reggie Bullock,Excel Sports Management,Jeff Schwartz,2013-2014,1149000,FALSE,,
Reggie Evans,ASM Sports,Andy Miller,2013-2014,1695636,FALSE,,
Reggie Jackson,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1329720,FALSE,,
Richard Hamilton,Creative Artists Agency,Leon Rose,2013-2014,1000000,FALSE,,
Richard Howell,ASM Sports,Andy Miller,2013-2014,TBD,FALSE,,
Richard Jefferson,Stratosphere Sports,Todd Eley,2013-2014,11046000,FALSE,,
Ricky Ledo,Verus Management Team,Seth Cohen,2013-2014,550000,FALSE,,
Ricky Rubio,Relativity Sports,Dan Fegan,2013-2014,4002120,FALSE,,
Robert Covington,Relativity Sports,Happy Walters,2013-2014,490180,FALSE,,
Robert Sacre,Edge Sports,Keith Kreiter,2013-2014,788873,FALSE,,
Robin Lopez,Wasserman Media Group,Arn Tellem,2013-2014,5119761,FALSE,,
Rodney Stuckey,Creative Artists Agency,Leon Rose,2013-2014,8500000,FALSE,,
Rodney Williams,BDA Sports Management,Kevin Bradbury,2013-2014,490180,FALSE,,
Roger Mason,ASM Sports,Andy Miller,2013-2014,1272279,FALSE,,
Romero Osby,Relativity Sports,Happy Walters,2013-2014,490180,FALSE,,
Ron Howard,Lee Basketball Services LTD,Bernie Lee,2013-2014,490180,FALSE,,
Ronnie Brewer,Creative Artists Agency,Henry Thomas,2013-2014,1186459,FALSE,,
Ronnie Price,Excel Sports Management,Mike Higgins,2013-2014,1265977,FALSE,,
Ronny Turiaf,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1600000,FALSE,,
Roy Hibbert,FAME,David Falk,2013-2014,14283844,FALSE,,
Royce White,ASM Sports,Andy Miller,2013-2014,1719480,FALSE,,
Rudy Gay,Octagon Athlete Representation,Jeff Austin,2013-2014,17888932,FALSE,,
Rudy Gobert,Comsport,Bouna Ndiaye,2013-2014,1078800,FALSE,,
Russell Westbrook,Wasserman Media Group,Arn Tellem,2013-2014,14693906,FALSE,,
Ryan Anderson,Octagon Athlete Representation,Jeff Austin,2013-2014,8308500,FALSE,,
Ryan Gomes,Wasserman Media Group,Dan Tobin,2013-2014,1186459,FALSE,,
Ryan Hollins,BDA Sports Management,Todd Ramasar,2013-2014,1186459,FALSE,,
Ryan Kelly,Octagon Athlete Representation,Alex Saratsis,2013-2014,490180,FALSE,,
Samuel Dalembert,Pinnacle Management Corporation,Marc Cornstein,2013-2014,TBD,FALSE,,
Scott Machado,Relativity Sports,Dan Fegan,2013-2014,TBD,FALSE,,
Serge Ibaka,ASM Sports,Andy Miller,2013-2014,12250000,FALSE,,
Sergey Karasev,ASM Sports,Andy Miller,2013-2014,1467840,FALSE,,
Seth Curry,Octagon Athlete Representation,Alex Saratsis,2013-2014,TBD,FALSE,,
Shabazz Muhammad,BDA Sports Management,Bill Duffy,2013-2014,1887120,FALSE,,
Shane Battier,Williams & Connolly,Jim Tanner,2013-2014,3270000,FALSE,,
Shane Larkin,Relativity Sports,Happy Walters,2013-2014,1536960,FALSE,,
Shannon Brown,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,3500000,FALSE,,
Shaun Livingston,Creative Artists Agency,Henry Thomas,2013-2014,1265977,FALSE,,
Shawn Marion,Relativity Sports,Dan Fegan,2013-2014,9316796,FALSE,,
Shawne Williams,Relativity Sports,Dan Fegan,2013-2014,1027424,FALSE,,
Shelvin Mack,The Neustadt Group,Doug Neustadt,2013-2014,884293,FALSE,,
Solomon Hill,Octagon Athlete Representation,Chris Emens,2013-2014,1246680,FALSE,,
Solomon Jones,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1186459,FALSE,,
Spencer Hawes,Wasserman Media Group,Arn Tellem,2013-2014,6500000,FALSE,,
Stephen Curry,Octagon Athlete Representation,Jeff Austin,2013-2014,9887642,FALSE,,
Steve Blake,Bell Management,Joel Bell,2013-2014,4000000,FALSE,,
Steve Nash,BDA Sports Management,Bill Duffy,2013-2014,9300500,FALSE,,
Steve Novak,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,3750001,FALSE,,
Steven Adams,Wasserman Media Group,Arn Tellem,2013-2014,2090880,FALSE,,
Taj Gibson,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,7550000,FALSE,,
Tayshaun Prince,BDA Sports Management,Bill Duffy,2013-2014,7235955,FALSE,,
Terrel Harris,Impact Sports Basketball,Brian Elfus,2013-2014,884293,FALSE,,
Terrence Jones,Wasserman Media Group,Arn Tellem,2013-2014,1551840,FALSE,,
Terrence Ross,Creative Artists Agency,Aaron Mintz,2013-2014,2678640,FALSE,,
Thabo Sefolosha,Zucker International,Guy Zucker,2013-2014,3900000,FALSE,,
Thaddeus Young,Williams & Connolly,Jim Tanner,2013-2014,8600000,FALSE,,
Thomas Robinson,BDA Sports Management,Bill Duffy,2013-2014,3526440,FALSE,,
Tiago Splitter,Wasserman Media Group,Arn Tellem,2013-2014,10000000,FALSE,,
Tim Duncan,Williams & Connolly,Jim Tanner,2013-2014,10361446,FALSE,,
Tim Hardaway Jr,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,1196760,FALSE,,
Timofey Mozgov,ASM Sports,Andy Miller,2013-2014,4400000,FALSE,,
Tobias Harris,Creative Artists Agency,Henry Thomas,2013-2014,1630800,FALSE,,
Toney Douglas,FAME,David Falk,2013-2014,1600000,FALSE,,
Tony Allen,IAM Sports,Raymond Brothers,2013-2014,5000000,FALSE,,
Tony Mitchell,Wasserman Media Group,Arn Tellem,2013-2014,490180,FALSE,,
Tony Parker,Creative Artists Agency,Steve Heumann,2013-2014,12500000,FALSE,,
Tony Snell,Lagardere Unlimited,Mitchell Butler,2013-2014,1409040,FALSE,,
Tony Wroten,Wasserman Media Group,Greg Lawrence,2013-2014,1160040,FALSE,,
Tornike Shengelia,Zucker International,Guy Zucker,2013-2014,788872,FALSE,,
Toure Murry,Lee Basketball Services LTD,Bernie Lee,2013-2014,490180,FALSE,,
Travis Outlaw,BDA Sports Management,Bill Duffy,2013-2014,4000000,TRUE,,
Travis Outlaw,BDA Sports Management,Bill Duffy,2013-2014,3000000,FALSE,,
Trent Lockett,CGL Sports,Chris Grier Luchey,2013-2014,TBD,FALSE,,
Trevor Ariza,David Lee Services,David Lee,2013-2014,7727280,FALSE,,
Trevor Booker,ASM Sports,Andy Miller,2013-2014,2350820,FALSE,,
Tristan Thompson,Klutch Sports Management,Rich Paul,2013-2014,4285560,FALSE,,
Ty Lawson,Relativity Sports,Happy Walters,2013-2014,10786517,FALSE,,
Tyler Hansbrough,Excel Sports Management,Jeff Schwartz,2013-2014,3183000,FALSE,,
Tyler Zeller,Excel Sports Management,Jeff Schwartz,2013-2014,1633440,FALSE,,
Tyreke Evans,Wasserman Media Group,Arn Tellem,2013-2014,11796247,FALSE,,
Tyrus Thomas,Performance Sports Management,John Hamilton,2013-2014,8694215,TRUE,,
Tyshawn Taylor,Excel Sports Management,Mike Higgins,2013-2014,788872,FALSE,,
Tyson Chandler,Excel Sports Management,Jeff Schwartz,2013-2014,14100538,FALSE,,
Udonis Haslem,Creative Artists Agency,Henry Thomas,2013-2014,4340000,FALSE,,
Vander Blue,Wasserman Media Group,Makhtar Ndiaye,2013-2014,490180,FALSE,,
Victor Oladipo,IAM Sports,Raymond Brothers,2013-2014,4763760,FALSE,,
Vince Carter,IMG,Kurt Schoeppler,2013-2014,3180000,FALSE,,
Vitor Faverani,Interperformances,Herb Rudoy,2013-2014,TBD,FALSE,,
Vyacheslav Kravtsov,Excel Sports Management,Jeff Schwartz,2013-2014,1500000,FALSE,,
Wayne Ellington,Wasserman Media Group,Arn Tellem,2013-2014,2500000,FALSE,,
Wesley Johnson,Landmark Sports Agency,Rob Pelinka,2013-2014,916099,FALSE,,
Wesley Matthews,Octagon Athlete Representation,Jeff Austin,2013-2014,6875480,FALSE,,
Will Barton,Impact Sports Basketball,Brian Elfus,2013-2014,788872,FALSE,,
Will Bynum,Priority Sports & Entertainment,Mark Bartelstein,2013-2014,2790343,FALSE,,
Wilson Chandler,Relativity Sports,Dan Fegan,2013-2014,6344164,FALSE,,
Xavier Henry,Wasserman Media Group,Arn Tellem,2013-2014,916099,FALSE,,
Zach Randolph,IAM Sports,Raymond Brothers,2013-2014,17800000,FALSE,,
Zaza Pachulia,Williams & Connolly,Jim Tanner,2013-2014,5200000,FALSE,,
Aaron Brooks,Creative Artists Agency,Leon Rose,2014-2015,0,FALSE,,
Aaron Gray,ASM Sports,Andy Miller,2014-2015,0,FALSE,,
Adonis Thomas,Relativity Sports,Happy Walters,2014-2015,0,FALSE,,
Al Harrington,Relativity Sports,Dan Fegan,2014-2015,7609800,FALSE,,
Al Horford,Wasserman Media Group,Arn Tellem,2014-2015,12000000,FALSE,,
Al Jefferson,Excel Sports Management,Jeff Schwartz,2014-2015,13500000,FALSE,,
Al-Farouq Aminu,IAM Sports,Raymond Brothers,2014-2015,0,FALSE,,
Alan Anderson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Alec Burks,ASM Sports,Andy Miller,2014-2015,3201369,FALSE,,
Aleksandar Pavlovic,Relativity Sports,Dan Fegan,2014-2015,0,FALSE,,
Alexey Shved,Alti Sport,Obrad Fimic,2014-2015,3198723,FALSE,,
Allen Crabbe,Excel Sports Management,Sam Goldfeder,2014-2015,862000,FALSE,,
Alonzo Gee,Relativity Sports,Happy Walters,2014-2015,3250000,FALSE,,
Amar'e Stoudemire,Relativity Sports,Dan Fegan,2014-2015,23410988,FALSE,,
Amir Johnson,BDA Sports Management,Kevin Bradbury,2014-2015,7000000,FALSE,,
Anderson Varejao,Relativity Sports,Dan Fegan,2014-2015,9800000,FALSE,,
Andray Blatche,ASM Sports,Andy Miller,2014-2015,8471339,TRUE,,
Andray Blatche,ASM Sports,Andy Miller,2014-2015,1437506,FALSE,,
Andre Drummond,Landmark Sports Agency,Rob Pelinka,2014-2015,2568360,FALSE,,
Andre Iguodala,Landmark Sports Agency,Rob Pelinka,2014-2015,12289544,FALSE,,
Andre Miller,ASM Sports,Andy Miller,2014-2015,4625000,FALSE,,
Andre Roberson,BDA Sports Management,Bill Duffy,2014-2015,773920,FALSE,,
Andrea Bargnani,Creative Artists Agency,Leon Rose,2014-2015,12000000,FALSE,,
Andrew Bogut,Lagardere Unlimited,David Bauman,2014-2015,0,FALSE,,
Andrew Bynum,David Lee Services,David Lee,2014-2015,TBD,FALSE,,
Andrew Nicholson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,1545840,FALSE,,
Andris Biedrins,BDA Sports Management,Bill Duffy,2014-2015,0,FALSE,,
Antawn Jamison,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Anthony Bennett,Excel Sports Management,Jeff Schwartz,2014-2015,5563920,FALSE,,
Anthony Davis,Wasserman Media Group,Arn Tellem,2014-2015,5607240,FALSE,,
Anthony Morrow,Perennial,Wallace Prather,2014-2015,1145685,FALSE,,
Anthony Randolph,BDA Sports Management,Bill Duffy,2014-2015,1825359,FALSE,,
Anthony Tolliver,Lee Basketball Services LTD,Larry Fox,2014-2015,0,FALSE,,
Archie Goodwin,Briscoe Sports Management,Charlie Briscoe,2014-2015,1112280,FALSE,,
Arnett Moultrie,The Alliance Management Group,Derek Lafayette,2014-2015,1136160,FALSE,,
Arron Afflalo,Excel Sports Management,Jeff Schwartz,2014-2015,7562500,FALSE,,
Austin Daye,Landmark Sports Agency,Rob Pelinka,2014-2015,1063384,FALSE,,
Austin Rivers,FAME,David Falk,2014-2015,2439840,FALSE,,
Avery Bradley,Lagardere Unlimited,Mitchell Butler,2014-2015,3581302,FALSE,,
Byron Mullens,Wasserman Media Group,Arn Tellem,2014-2015,1063384,FALSE,,
B.J. Young,Briscoe Sports Management,Charlie Briscoe,2014-2015,816482,FALSE,,
Ben Gordon,IAM Sports,Raymond Brothers,2014-2015,0,FALSE,,
Beno Udrih,Pinnacle Management Corporation,Marc Cornstein,2014-2015,,FALSE,,
Bernard James,Relativity Sports,Dan Fegan,2014-2015,0,FALSE,,
Bismack Biyombo,Wasserman Media Group,Arn Tellem,2014-2015,4086453,FALSE,,
Blake Griffin,Excel Sports Management,Jeff Schwartz,2014-2015,17632688,FALSE,,
Boris Diaw,The Neustadt Group,Doug Neustadt,2014-2015,0,FALSE,,
Bradley Beal,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,4505280,FALSE,,
Brandan Wright,Williams & Connolly,Jim Tanner,2014-2015,5000000,FALSE,,
Brandon Bass,Rival Sports Group,Tony Dutt,2014-2015,6950000,FALSE,,
Brandon Davies,BDA Sports Management,Bill Duffy,2014-2015,816482,FALSE,,
Brandon Jennings,Excel Sports Management,Jeff Schwartz,2014-2015,8000000,FALSE,,
Brandon Knight,Wasserman Media Group,Arn Tellem,2014-2015,3749601,FALSE,,
Brandon Roy,Wasserman Media Group,Arn Tellem,2014-2015,14399332,TRUE,,
Brandon Rush,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Brendan Haywood,ASM Sports,Andy Miller,2014-2015,2000000,FALSE,,
Brendan Haywood,ASM Sports,Andy Miller,2014-2015,7798000,TRUE,,
Brian Roberts,ASM Sports,Andy Miller,2014-2015,1115243,FALSE,,
Brook Lopez,Wasserman Media Group,Arn Tellem,2014-2015,15719000,FALSE,,
C.J. Leslie,Creative Artists Agency,Aaron Mintz,2014-2015,TBD,FALSE,,
C.J. McCollum,Excel Sports Management,Jeff Schwartz,2014-2015,2421000,FALSE,,
C.J. Watson,Excel Sports Management,Jeff Schwartz,2014-2015,2077000,FALSE,,
Carl Landry,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,6750000,FALSE,,
Carlos Boozer,Landmark Sports Agency,Rob Pelinka,2014-2015,16800000,FALSE,,
Carlos Delfino,ASM Sports,Andy Miller,2014-2015,3250000,FALSE,,
Carmelo Anthony,Creative Artists Agency,Leon Rose,2014-2015,23530000,FALSE,,
Caron Butler,IAM Sports,Raymond Brothers,2014-2015,0,FALSE,,
Carrick Felix,Stratosphere Sports,Todd Eley,2014-2015,TBD,FALSE,,
Chandler Parsons,Relativity Sports,Dan Fegan,2014-2015,964750,FALSE,,
Channing Frye,Landmark Sports Agency,Rob Pelinka,2014-2015,6800000,FALSE,,
Charlie Villanueva,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Chase Budinger,BDA Sports Management,Kevin Bradbury,2014-2015,5000000,FALSE,,
Chauncey Billups,ASM Sports,Andy Miller,2014-2015,2500000,FALSE,,
Chris Andersen,Creative Artists Agency,Steve Heumann,2014-2015,0,FALSE,,
Chris Andersen,Creative Artists Agency,Steve Heumann,2014-2015,1399507,FALSE,,
Chris Bosh,Creative Artists Agency,Henry Thomas,2014-2015,20590000,FALSE,,
Chris Copeland,540 Sports and Entertainment LLC,John Spencer,2014-2015,3130000,FALSE,,
Chris Duhon,BDA Sports Management,Kevin Bradbury,2014-2015,0,FALSE,,
Chris Kaman,Landmark Sports Agency,Rob Pelinka,2014-2015,0,FALSE,,
Chris Paul,Creative Artists Agency,Leon Rose,2014-2015,20068563,FALSE,,
Chris Singleton,BDA Sports Management,Bill Duffy,2014-2015,2626473,FALSE,,
Chuck Hayes,BDA Sports Management,Bill Duffy,2014-2015,5958750,FALSE,,
Cody Zeller,Excel Sports Management,Jeff Schwartz,2014-2015,4030560,FALSE,,
Cole Aldrich,Excel Sports Management,Jeff Schwartz,2014-2015,TBD,FALSE,,
Corey Brewer,Relativity Sports,Dan Fegan,2014-2015,4702500,FALSE,,
Cory Joseph,Klutch Sports Management,Rich Paul,2014-2015,2134593,FALSE,,
Courtney Lee,Relativity Sports,Dan Fegan,2014-2015,5450000,FALSE,,
D.J. Augustin,IAM Sports,Raymond Brothers,2014-2015,0,FALSE,,
Damian Lillard,Goodwin Management Group,Aaron Goodwin,2014-2015,3340920,FALSE,,
Damien Wilkins,Perennial,Wallace Prather,2014-2015,0,FALSE,,
Daniel Orton,Vartanian Sports Management,Ara Vartanian,2014-2015,981084,FALSE,,
Danilo Gallinari,Wasserman Media Group,Arn Tellem,2014-2015,10854850,FALSE,,
Danny Granger,Creative Artists Agency,Aaron Mintz,2014-2015,0,FALSE,,
Dante Cunningham,Bell Management,Joel Bell,2014-2015,0,FALSE,,
Darius Johnson-Odom,Octagon Athlete Representation,Chris Emens,2014-2015,0,FALSE,,
Darius Morris,Shibumi Sports,Brian Dyke,2014-2015,0,FALSE,,
Darrell Arthur,Independent,Jerry Hicks,2014-2015,3457149,FALSE,,
Darren Collison,BDA Sports Management,Rade Filipovich,2014-2015,1985500,FALSE,,
David Lee,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,15012000,FALSE,,
David West,Octagon Athlete Representation,Jeff Austin,2014-2015,12000000,FALSE,,
DeAndre Jordan,Wasserman Media Group,Arn Tellem,2014-2015,11440123,FALSE,,
Dee Bost,540 Sports and Entertainment LLC,John Spencer,2014-2015,816482,FALSE,,
DeJuan Blair,Relativity Sports,Dan Fegan,2014-2015,0,FALSE,,
DeMar Derozan,Goodwin Management Group,Aaron Goodwin,2014-2015,9500000,FALSE,,
DeMarcus Cousins,Relativity Sports,Dan Fegan,2014-2015,6519198,FALSE,,
DeMarre Carroll,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,2500000,FALSE,,
Dennis Schroeder,Octagon Athlete Representation,Jeff Austin,2014-2015,1690680,FALSE,,
Derek Fisher,Landmark Sports Agency,Rob Pelinka,2014-2015,0,FALSE,,
Deron Williams,Excel Sports Management,Jeff Schwartz,2014-2015,19754465,FALSE,,
Derrick Favors,Perennial,Wallace Prather,2014-2015,7882663,FALSE,,
Derrick Rose,Wasserman Media Group,Arn Tellem,2014-2015,18862876,FALSE,,
Derrick Williams,Landmark Sports Agency,Rob Pelinka,2014-2015,6679866,FALSE,,
DeShawn Stevenson,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Devin Ebanks,Lagardere Unlimited,David Bauman,2014-2015,TBD,FALSE,,
Devin Harris,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Diante Garrett,Wasserman Media Group,Arn Tellem,2014-2015,0,FALSE,,
Dion Waiters,Landmark Sports Agency,Rob Pelinka,2014-2015,4062000,FALSE,,
Dominic McGuire,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,TBD,FALSE,,
Donald Sloan,Impact Sports Basketball,Brian Elfus,2014-2015,948163,FALSE,,
Donatas Motiejunas,Wasserman Media Group,Arn Tellem,2014-2015,1483920,FALSE,,
Dorell Wright,Wasserman Media Group,Arn Tellem,2014-2015,3145000,FALSE,,
Doron Lamb,Wasserman Media Group,Arn Tellem,2014-2015,915243,FALSE,,
Drew Gooden,Relativity Sports,Dan Fegan,2014-2015,6680000,TRUE,,
Dwight Buycks,Relativity Sports,Chris Patrick,2014-2015,816482,FALSE,,
Dwight Howard,Relativity Sports,Dan Fegan,2014-2015,21436271,FALSE,,
Dwyane Wade,Creative Artists Agency,Henry Thomas,2014-2015,20048000,FALSE,,
E'Twaun Moore,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Earl Clark,BDA Sports Management,Kevin Bradbury,2014-2015,4250000,FALSE,,
Earl Watson,Priority Sports & Entertainment,Mark Bartelstein,2014-2015,0,FALSE,,
Ed Davis,Landmark Sports Agency,Rob Pelinka,2014-2015,4361788,FALSE,,
EJ Singler,Wasserman Media Group,Greg Lawrence,2014-2015,TBD,FALSE,,
Ekpe Udoh,CGL Sports,Chris Grier Luchey,2014-2015,5962375,FALSE,,
Elias Harris,Priority Sports & Entertainment,Brad Ames,2014-2015,816482,FALSE,,
Elton Brand,FAME,David Falk,2014-2015,0,FALSE,,
Emeka Okafor,Excel Sports Management,Jeff Schwartz,2014-2015,0,FALSE,,
Enes Kanter,Independent,Max Ergul,2014-2015,6008106,FALSE,,
Eric Bledsoe,Klutch Sports Management,Rich Paul,2014-2015,3726965,FALSE,,
Eric Gordon,Landmark Sports Agency,Rob Pelinka,2014-2015,14898938,FALSE,,
Eric Maynor,ASM Sports,Andy Miller,2014-2015,2106720,FALSE,,
Ersan Ilyasova,ASM Sports,Andy Miller,2014-2015,7900000,FALSE,,
Evan Fournier,Comsport,Bouna Ndiaye,2014-2015,1483920,FALSE,,
Evan Turner,FAME,David Falk,2014-2015,8717225,FALSE,,
Fab Melo,Wasserman Media Group,BJ Armstrong,2014-2015,0,FALSE,,
Festus Ezeli,BDA Sports Management,Bill Duffy,2014-2015,1112880,FALSE,,
Francisco Garcia,Goodwin Management Group,Aaron Goodwin,2014-2015,1316809,FALSE,,
Garrett Temple,Performance Sports Management,John Hamilton,2014-2015,0,FALSE,,
Gary Neal,Lagardere Unlimited,David Bauman,2014-2015,TBD,FALSE,,
George Hill,Saga Sports,Bill Neff,2014-2015,8000000,FALSE,,
Gerald Green,Rival Sports Group,Colin Bryant,2014-2015,3500000,FALSE,,
Gerald Henderson,Wasserman Media Group,Arn Tellem,2014-2015,6000000,FALSE,,
Gerald Wallace,Landmark Sports Agency,Rob Pelinka,2014-2015,10105855,FALSE,,
Giannis Antetokounmpo,Octagon Athlete Representation,Alex Saratsis,2014-2015,1873200,FALSE,,
Gigi Datome,Excel Sports Management,Sam Goldfeder,2014-2015,1750000,FALSE,,
Glen Davis,Performance Sports Management,John Hamilton,2014-2015,6600000,FALSE,,
Glen Rice Jr,24/7 Sports Management,Jeff Wechsler,2014-2015,TBD,FALSE,,
Goran Dragic,BDA Sports Management,Rade Filipovich,2014-2015,7500000,FALSE,,
